Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
076361-M1-S1_BDSW190602952-1a_1	1.2524575066581234	0.7648910196955644	1.054681106443341	1.0759332887773474	0.7263421354138251	0.6394238638223579	0.8860276065251786	2.2806634657354867	11.282722513089006	55.03496503496503	181.52777777777777	455.55555555555554	1817.5	1975.0	1632.5	2152.5	1987.5	1542.5	1497.5	1612.5	1635.0	1280.0	1565.0	1697.5	1425.0	1420.0	1502.5	1177.5	1812.5	1225.0	1260.0	1215.0	1560.0	1505.0	1480.0	1175.0	1325.0	1255.0	1430.0	1612.5	1282.5	1265.0	1637.5	1920.0	1532.5	875.0	885.0	1362.5	1195.0	1175.0	1495.0	1237.5	902.5	922.5	1225.0	1055.0	1027.5	1022.5	1175.0	702.5	642.5	952.5	732.5	655.0	765.0	1087.5	770.0	982.5	730.0	705.0	322.5	342.5	372.5	500.0	537.5	600.0	617.5	612.5	600.0	642.5	675.0	632.5	590.0	645.0	610.0	530.0	615.0	652.5	677.5	570.0	565.0	547.5	575.0	557.5	497.5	522.5	450.0	477.5	520.0	505.0	495.0	442.5	402.5	422.5	377.5	367.5	375.0	427.5	372.5	352.5	317.5	290.0	310.0	320.0	272.5	312.5	240.0	260.0	260.0	277.5	215.0	262.5	212.5	160.0	155.0	182.5	160.0	125.0	115.0	127.5	107.5	115.0	70.0	75.0	55.0	40.0	52.5	40.0	17.5	30.0	80.0	42.5	50.0	47.5	35.0	37.5	27.5	35.0	45.0	252.5
076361-M1-S1_BDSW190602952-1a_2	1.2318378871107032	0.7679775091726225	1.0495087191063341	1.0823438949206174	0.7278424900431011	0.7038027170058377	1.1069889246549183	2.9790484504583152	14.68586387434555	73.46153846153845	271.38888888888886	804.4444444444445	2845.0	3027.5	2552.5	2540.0	2925.0	1995.0	2787.5	2655.0	2497.5	2235.0	2217.5	3085.0	2215.0	2375.0	2672.5	2240.0	2442.5	2390.0	1887.5	2007.5	3447.5	3122.5	2257.5	3280.0	2967.5	4590.0	1985.0	2310.0	1687.5	3460.0	1817.5	4160.0	3215.0	1982.5	2037.5	897.5	1685.0	635.0	1067.5	507.5	1240.0	1982.5	947.5	1642.5	3192.5	1447.5	757.5	2605.0	1015.0	612.5	2055.0	2270.0	727.5	905.0	522.5	560.0	622.5	907.5	542.5	550.0	497.5	510.0	530.0	540.0	670.0	840.0	820.0	1025.0	1135.0	1060.0	1097.5	1127.5	1090.0	952.5	965.0	1117.5	1002.5	1035.0	942.5	1017.5	917.5	885.0	912.5	885.0	807.5	800.0	865.0	865.0	810.0	730.0	747.5	680.0	687.5	630.0	657.5	692.5	595.0	562.5	537.5	477.5	535.0	480.0	427.5	472.5	420.0	445.0	395.0	357.5	322.5	320.0	312.5	265.0	282.5	247.5	220.0	167.5	162.5	135.0	90.0	102.5	95.0	57.5	55.0	50.0	52.5	37.5	32.5	22.5	60.0	42.5	27.5	45.0	30.0	42.5	20.0	47.5	30.0	55.0
076361-M1-S2_BDSW190602953-1a_1	1.295026060517123	0.7408868736268931	0.9869766789943507	1.0097417440694452	0.6035806204000541	0.5449948074231272	0.7381095725466587	2.1502528292800385	9.76878612716763	44.38461538461539	142.30769230769232	381.875	1235.0	1457.5	1122.5	1382.5	1382.5	1300.0	1042.5	1097.5	880.0	895.0	1002.5	1030.0	987.5	877.5	915.0	832.5	922.5	772.5	770.0	847.5	880.0	767.5	997.5	765.0	902.5	782.5	780.0	740.0	675.0	732.5	927.5	807.5	902.5	435.0	470.0	760.0	647.5	537.5	797.5	550.0	400.0	607.5	742.5	487.5	477.5	432.5	570.0	220.0	317.5	457.5	335.0	262.5	332.5	410.0	335.0	470.0	272.5	262.5	122.5	150.0	200.0	262.5	245.0	255.0	300.0	315.0	295.0	282.5	305.0	307.5	277.5	295.0	275.0	315.0	297.5	292.5	250.0	300.0	270.0	217.5	225.0	217.5	250.0	187.5	205.0	210.0	217.5	175.0	150.0	182.5	172.5	175.0	157.5	170.0	170.0	135.0	155.0	160.0	157.5	135.0	117.5	167.5	112.5	122.5	107.5	130.0	92.5	95.0	122.5	95.0	75.0	85.0	77.5	65.0	72.5	57.5	70.0	70.0	62.5	60.0	37.5	32.5	47.5	42.5	45.0	47.5	30.0	40.0	17.5	37.5	22.5	12.5	45.0	32.5	42.5	20.0	30.0	115.0
076361-M1-S2_BDSW190602953-1a_2	1.2922832272475213	0.7427382603620041	0.9937919457563088	1.0297031006891466	0.6150193404674824	0.5580891317108412	0.8085490668272125	2.3163977847339274	10.038535645472061	54.5	164.0	510.625	1450.0	1712.5	1342.5	1377.5	1757.5	1150.0	1655.0	1060.0	1212.5	1135.0	1200.0	1507.5	1230.0	1035.0	1140.0	1240.0	1105.0	1265.0	922.5	1302.5	932.5	1462.5	960.0	1597.5	882.5	985.0	1737.5	575.0	830.0	1542.5	772.5	2367.5	1280.0	432.5	820.0	292.5	467.5	330.0	357.5	250.0	482.5	750.0	472.5	582.5	975.0	650.0	402.5	857.5	600.0	360.0	777.5	1010.0	480.0	340.0	440.0	210.0	320.0	307.5	262.5	150.0	140.0	185.0	125.0	165.0	242.5	242.5	307.5	352.5	360.0	380.0	445.0	385.0	362.5	492.5	372.5	377.5	362.5	375.0	360.0	317.5	317.5	327.5	302.5	295.0	312.5	335.0	287.5	285.0	270.0	217.5	257.5	235.0	227.5	225.0	235.0	245.0	177.5	222.5	210.0	195.0	127.5	187.5	142.5	152.5	155.0	160.0	145.0	127.5	125.0	122.5	102.5	95.0	85.0	72.5	110.0	72.5	95.0	55.0	47.5	52.5	30.0	42.5	35.0	40.0	30.0	37.5	25.0	27.5	30.0	25.0	20.0	12.5	22.5	32.5	10.0	10.0	30.0	47.5
081090-M1-S1_BDSW190602954-1a_1	1.232921252056549	0.7670153352823642	1.1033652170180521	1.085247544896511	0.7285062664004224	0.8117506947201271	1.2245934959349594	3.9634146341463414	17.865853658536583	73.9430894308943	250.32786885245903	832.0	2480.0	2587.5	2132.5	2750.0	2667.5	2230.0	2102.5	2097.5	2037.5	1822.5	1917.5	1995.0	1847.5	1750.0	1675.0	1807.5	1805.0	1472.5	1547.5	1532.5	1732.5	1700.0	1125.0	1617.5	2072.5	1510.0	1497.5	1257.5	1260.0	1405.0	1707.5	1602.5	1632.5	807.5	752.5	1415.0	1142.5	945.0	1407.5	1212.5	705.0	732.5	1265.0	925.0	810.0	742.5	940.0	465.0	462.5	940.0	592.5	405.0	537.5	977.5	547.5	702.5	535.0	435.0	217.5	300.0	472.5	450.0	530.0	487.5	562.5	500.0	540.0	612.5	602.5	635.0	540.0	530.0	517.5	585.0	505.0	505.0	475.0	512.5	512.5	525.0	470.0	577.5	495.0	535.0	512.5	472.5	455.0	497.5	465.0	442.5	510.0	410.0	427.5	435.0	425.0	445.0	412.5	390.0	392.5	325.0	392.5	385.0	315.0	340.0	345.0	332.5	332.5	250.0	205.0	275.0	245.0	267.5	245.0	260.0	220.0	187.5	185.0	152.5	122.5	97.5	95.0	97.5	120.0	80.0	45.0	52.5	35.0	57.5	37.5	45.0	70.0	40.0	57.5	17.5	37.5	52.5	45.0	175.0
081090-M1-S1_BDSW190602954-1a_2	1.2070395363711524	0.7785427871671622	1.0996558884412606	1.1119646286454379	0.7522856382915374	0.8625645097260818	1.4627794715447153	4.70020325203252	19.07520325203252	93.69918699186991	298.3606557377049	1110.0	2992.5	3447.5	2622.5	2817.5	3672.5	2017.5	3460.0	2235.0	2270.0	2285.0	2332.5	3050.0	2465.0	2045.0	2062.5	2277.5	2102.5	2157.5	1805.0	1977.5	2340.0	2140.0	2122.5	1905.0	1937.5	2962.5	1207.5	1257.5	1642.5	2360.0	1457.5	2552.5	2115.0	1677.5	2922.5	912.5	1602.5	640.0	985.0	512.5	1292.5	1805.0	837.5	1432.5	3750.0	1277.5	530.0	2560.0	657.5	437.5	2332.5	1862.5	572.5	855.0	480.0	462.5	580.0	907.5	445.0	517.5	545.0	385.0	457.5	447.5	607.5	752.5	742.5	897.5	865.0	937.5	787.5	900.0	790.0	822.5	757.5	757.5	770.0	760.0	790.0	812.5	705.0	837.5	710.0	735.0	822.5	715.0	682.5	727.5	592.5	605.0	632.5	622.5	617.5	607.5	647.5	570.0	527.5	522.5	435.0	447.5	495.0	517.5	492.5	432.5	485.0	467.5	427.5	350.0	310.0	370.0	297.5	370.0	285.0	292.5	287.5	207.5	200.0	177.5	137.5	102.5	107.5	77.5	95.0	95.0	72.5	67.5	42.5	45.0	42.5	42.5	35.0	37.5	37.5	35.0	30.0	42.5	35.0	47.5
081090-M1-S2_BDSW190602955-1a_1	1.2136666071703868	0.8055890865555713	1.102497780805191	1.0540291507622426	0.7330329119755824	0.6828587059805926	0.9041695461875143	2.755125547108961	13.013824884792626	59.372693726937264	196.91176470588235	659.4117647058823	1975.0	2275.0	1995.0	2590.0	2390.0	2100.0	1585.0	1917.5	1757.5	1642.5	1927.5	1782.5	1712.5	1542.5	1765.0	1495.0	1840.0	1787.5	1477.5	1582.5	1757.5	1487.5	2447.5	1767.5	1692.5	2102.5	1537.5	2010.0	1775.0	1570.0	2417.5	1802.5	2037.5	1025.0	935.0	1897.5	1355.0	1865.0	2330.0	2060.0	1087.5	1247.5	2077.5	1715.0	1237.5	1385.0	1332.5	842.5	1017.5	1825.0	877.5	865.0	865.0	1810.0	1145.0	1732.5	1427.5	1445.0	565.0	705.0	975.0	1005.0	997.5	1152.5	1082.5	1200.0	1370.0	1385.0	1245.0	1192.5	1095.0	1225.0	1312.5	1387.5	1217.5	1275.0	1230.0	1247.5	1420.0	1445.0	1307.5	1182.5	1190.0	1287.5	1460.0	1445.0	1290.0	1350.0	1225.0	1310.0	1530.0	1500.0	1415.0	1282.5	1150.0	1297.5	1422.5	1385.0	1230.0	1197.5	1080.0	1112.5	1315.0	1240.0	1012.5	1020.0	955.0	972.5	1092.5	912.5	847.5	770.0	795.0	720.0	717.5	710.0	530.0	510.0	335.0	362.5	362.5	302.5	257.5	157.5	140.0	117.5	95.0	52.5	77.5	52.5	47.5	67.5	75.0	40.0	50.0	35.0	42.5	240.0
081090-M1-S2_BDSW190602955-1a_2	1.1857669526260812	0.814783054304923	1.1033863585543944	1.0564316861119059	0.7336087995623254	0.7352644763742118	1.1431697765491822	3.241188666205943	14.847926267281107	76.34686346863468	264.2647058823529	978.2352941176471	2840.0	3292.5	2585.0	2417.5	3480.0	1710.0	3555.0	1980.0	1895.0	2175.0	2177.5	3402.5	2217.5	1935.0	2332.5	2542.5	2020.0	2722.5	1960.0	2607.5	2400.0	2890.0	2110.0	4635.0	2635.0	2192.5	2662.5	1682.5	2030.0	3742.5	1875.0	5295.0	3160.0	1697.5	3315.0	1157.5	1705.0	730.0	1177.5	612.5	1767.5	2945.0	1402.5	2402.5	4952.5	1822.5	870.0	4097.5	1755.0	832.5	3280.0	3822.5	927.5	1802.5	1310.0	722.5	1057.5	1437.5	772.5	687.5	672.5	677.5	625.0	1007.5	1290.0	1592.5	2035.0	1935.0	1807.5	1900.0	1745.0	2085.0	2132.5	2017.5	2010.0	2027.5	2017.5	1962.5	2230.0	2285.0	1885.0	1887.5	1825.0	1947.5	2237.5	2072.5	1975.0	1982.5	1822.5	1832.5	2130.0	2055.0	1935.0	1825.0	1642.5	1690.0	1935.0	1935.0	1712.5	1565.0	1462.5	1462.5	1735.0	1685.0	1367.5	1347.5	1232.5	1312.5	1452.5	1345.0	1250.0	1025.0	1057.5	1007.5	932.5	912.5	605.0	577.5	347.5	355.0	377.5	320.0	252.5	167.5	127.5	120.0	115.0	85.0	92.5	32.5	42.5	50.0	60.0	55.0	77.5	55.0	72.5	75.0
123545-M1-S1_BDSW190602956-1a_1	1.2412338044355449	0.7803467384808386	1.0341067919865496	1.0707658962464806	0.705491522677092	0.6747800158809898	0.8731444869384845	2.41897848068447	11.576763485477178	54.315352697095435	168.33333333333334	536.0	1605.0	1640.0	1465.0	1710.0	1575.0	1465.0	1202.5	1420.0	1365.0	1200.0	1242.5	1330.0	1242.5	1230.0	1162.5	1042.5	1430.0	1095.0	907.5	1095.0	927.5	1012.5	795.0	925.0	940.0	1110.0	1077.5	1077.5	935.0	1127.5	1187.5	1120.0	1030.0	520.0	412.5	1072.5	852.5	680.0	925.0	887.5	672.5	615.0	1047.5	752.5	665.0	695.0	672.5	477.5	430.0	820.0	562.5	420.0	430.0	907.5	492.5	635.0	340.0	307.5	172.5	265.0	342.5	442.5	422.5	457.5	482.5	462.5	477.5	500.0	450.0	490.0	407.5	447.5	535.0	497.5	490.0	477.5	460.0	437.5	510.0	492.5	445.0	440.0	430.0	460.0	520.0	422.5	427.5	420.0	382.5	372.5	392.5	447.5	377.5	355.0	295.0	352.5	437.5	390.0	327.5	297.5	340.0	310.0	355.0	370.0	307.5	260.0	227.5	305.0	322.5	300.0	222.5	212.5	205.0	182.5	195.0	200.0	142.5	132.5	132.5	70.0	110.0	127.5	67.5	57.5	55.0	65.0	62.5	20.0	30.0	37.5	22.5	22.5	35.0	40.0	17.5	35.0	65.0	370.0
123545-M1-S1_BDSW190602956-1a_2	1.2351673147015683	0.7843328276184514	1.0436577065651143	1.0860595134401523	0.7079628091640164	0.676886677794163	0.9878783950217151	2.9064039408866997	12.831950207468878	62.572614107883815	215.83333333333334	746.6666666666666	1980.0	2140.0	1772.5	1782.5	2117.5	1245.0	2155.0	1442.5	1505.0	1535.0	1442.5	2002.5	1557.5	1382.5	1415.0	1585.0	1455.0	1727.5	1097.5	1400.0	1267.5	1575.0	1580.0	2820.0	1195.0	1135.0	1820.0	1060.0	805.0	1867.5	1030.0	2757.5	1512.5	677.5	1125.0	422.5	827.5	387.5	462.5	307.5	722.5	1270.0	635.0	807.5	1480.0	752.5	490.0	1265.0	772.5	370.0	1152.5	1470.0	505.0	700.0	507.5	275.0	372.5	517.5	312.5	292.5	312.5	245.0	270.0	365.0	470.0	472.5	570.0	625.0	567.5	620.0	610.0	605.0	702.5	637.5	607.5	600.0	552.5	592.5	625.0	685.0	590.0	577.5	600.0	600.0	627.5	597.5	565.0	520.0	497.5	512.5	547.5	520.0	487.5	450.0	407.5	437.5	490.0	455.0	427.5	385.0	427.5	392.5	405.0	412.5	387.5	310.0	290.0	342.5	372.5	370.0	270.0	260.0	262.5	217.5	230.0	230.0	155.0	137.5	125.0	82.5	122.5	95.0	62.5	57.5	50.0	37.5	60.0	47.5	37.5	25.0	45.0	17.5	37.5	22.5	37.5	50.0	32.5	65.0
