Sample	Sum of remaining over-represented sequences	Top over-represented sequence
076361-M1-S1_BDSW190602952-1a_1_val_1	0.0	0.0
076361-M1-S1_BDSW190602952-1a_2_val_2	0.0	0.22179938965699078
076361-M1-S2_BDSW190602953-1a_1_val_1	0.0	0.0
076361-M1-S2_BDSW190602953-1a_2_val_2	0.0	0.1469028372204724
081090-M1-S1_BDSW190602954-1a_1_val_1	0.0	0.0
081090-M1-S1_BDSW190602954-1a_2_val_2	0.0	0.10554014633819307
081090-M1-S2_BDSW190602955-1a_1_val_1	0.0	0.1294161285650782
081090-M1-S2_BDSW190602955-1a_2_val_2	0.0	0.10120465096974343
123545-M1-S1_BDSW190602956-1a_1_val_1	0.0	0.0
123545-M1-S1_BDSW190602956-1a_2_val_2	0.0	0.13183185123324506
123545-M1-S2_BDSW190602957-1a_1_val_1	0.0	0.0
123545-M1-S2_BDSW190602957-1a_2_val_2	0.0	0.0
124031-M1-S1_BDSW190602958-1a_1_val_1	0.0	0.0
124031-M1-S1_BDSW190602958-1a_2_val_2	0.0	0.21296108055684151
124031-M1-S2_BDSW190602959-1a_1_val_1	0.6215788241968822	0.1615085252918077
124031-M1-S2_BDSW190602959-1a_2_val_2	0.4574071640213777	0.13669187898620816
124031-M2-S1_BDSW190602960-1a_1_val_1	0.0	0.0
124031-M2-S1_BDSW190602960-1a_2_val_2	0.0	0.11969566968525536
124031-M2-S2_BDSW190602961-1a_1_val_1	0.821845691853681	0.26374540672649033
124031-M2-S2_BDSW190602961-1a_2_val_2	0.870321456840588	0.1935952169869114
128101-M1-S1_BDSW190602962-1a_1_val_1	0.7527974663218095	0.2073050913503471
128101-M1-S1_BDSW190602962-1a_2_val_2	0.3742774363862283	0.16344732186860883
128101-M1-S2_BDSW190602963-1a_1_val_1	0.7071261409123868	0.2726199095245595
128101-M1-S2_BDSW190602963-1a_2_val_2	0.6107886131692192	0.19979643299654315
129276-M1-S1_BDSW190602964-1a_1_val_1	0.11924032646275481	0.1213469334393035
129276-M1-S1_BDSW190602964-1a_2_val_2	0.0	0.10217242948451724
129276-M1-S2_BDSW190602965-1a_1_val_1	0.596498272348732	0.22294868032034995
129276-M1-S2_BDSW190602965-1a_2_val_2	0.5203660736097304	0.1709196972691559
130101-M1-S1_BDSW190602966-1a_1_val_1	0.0	0.0
130101-M1-S1_BDSW190602966-1a_2_val_2	0.0	0.0
130101-M1-S2_BDSW190602967-1a_1_val_1	0.0	0.0
130101-M1-S2_BDSW190602967-1a_2_val_2	0.0	0.1261761393061697
130102-M1-S1_BDSW190602968-1a_1_val_1	0.2188414644431076	0.11551281341852827
130102-M1-S1_BDSW190602968-1a_2_val_2	0.0	0.0
130102-M1-S2_BDSW190602969-1a_1_val_1	1.2057010096056124	0.39907655006057413
130102-M1-S2_BDSW190602969-1a_2_val_2	0.9828929798367294	0.3118034365766167
130102-M2-S1_BDSW190602970-1a_1_val_1	0.0	0.0
130102-M2-S1_BDSW190602970-1a_2_val_2	0.0	0.0
131067-M1-S1_BDSW190602971-1a_1_val_1	0.0	0.10443822973438416
131067-M1-S1_BDSW190602971-1a_2_val_2	0.0	0.0
131067-M1-S2_BDSW190602972-1a_1_val_1	1.2877380760888466	0.4304751083399296
131067-M1-S2_BDSW190602972-1a_2_val_2	1.141665978108579	0.3365663783849149
134101-M1-S1_BDSW190602973-1a_1_val_1	0.0	0.0
134101-M1-S1_BDSW190602973-1a_2_val_2	0.0	0.0
134101-M1-S2_BDSW190602974-1a_1_val_1	0.0	0.0
134101-M1-S2_BDSW190602974-1a_2_val_2	0.0	0.0
134101-M2-S1_BDSW190602975-1a_1_val_1	0.0	0.0
134101-M2-S1_BDSW190602975-1a_2_val_2	0.0	0.0
135431-M1-S1_BDSW190602976-1a_1_val_1	0.0	0.0
135431-M1-S1_BDSW190602976-1a_2_val_2	0.0	0.12629257265675353
135431-M1-S2_BDSW190602977-1a_1_val_1	0.5559748236774428	0.21697700172551446
135431-M1-S2_BDSW190602977-1a_2_val_2	0.4993889569528912	0.16506670272219218
146764-M1-S1-1_BDSW190602979-1a_1_val_1	1.0191396100517573	0.19286493011252756
146764-M1-S1-1_BDSW190602979-1a_2_val_2	0.8866167611466955	0.14924029091630953
146764-M1-S1_BDSW190602978-1a_1_val_1	0.0	0.0
146764-M1-S1_BDSW190602978-1a_2_val_2	0.0	0.10418524308204913
146764-M1-S2_BDSW190602980-1a_1_val_1	0.0	0.0
146764-M1-S2_BDSW190602980-1a_2_val_2	0.0	0.0
150732-M1-S1_BDSW190602981-1a_1_val_1	0.0	0.11995739628508856
150732-M1-S1_BDSW190602981-1a_2_val_2	0.0	0.0
150732-M1-S2_BDSW190602982-1a_1_val_1	1.1318279513683573	0.37544495157264896
150732-M1-S2_BDSW190602982-1a_2_val_2	1.0131481526844892	0.2957598880721001
150732-M2-S1_BDSW190602983-1a_1_val_1	0.4969403638625645	0.17342778958854072
150732-M2-S1_BDSW190602983-1a_2_val_2	0.4540956621750026	0.1336116470857625
150732-M2-S2_BDSW190602984-1a_1_val_1	0.725301414934425	0.2631869738534431
150732-M2-S2_BDSW190602984-1a_2_val_2	0.6398738939599748	0.19888612344951434
150801-M1-S1_BDSW190602985-1a_1_val_1	0.0	0.0
150801-M1-S1_BDSW190602985-1a_2_val_2	0.0	0.11333537307528828
150801-M1-S2_BDSW190602986-1a_1_val_1	0.5632756706229775	0.15868036639785185
150801-M1-S2_BDSW190602986-1a_2_val_2	0.3033581012089223	0.11632268493297492
150801-M2-S1_BDSW190602987-1a_1_val_1	0.0	0.0
150801-M2-S1_BDSW190602987-1a_2_val_2	0.0	0.16366877359492943
150801-M2-S2_BDSW190602988-1a_1_val_1	0.0	0.0
150801-M2-S2_BDSW190602988-1a_2_val_2	0.0	0.10789462619687593
150802-M1-S1_BDSW190602989-1a_1_val_1	0.0	0.0
150802-M1-S1_BDSW190602989-1a_2_val_2	0.0	0.0
150802-M1-S2_BDSW190602990-1a_1_val_1	0.0	0.10767293323545254
150802-M1-S2_BDSW190602990-1a_2_val_2	0.0	0.0
155365-M1-S1_BDSW190602991-1a_1_val_1	0.0	0.10154447991509746
155365-M1-S1_BDSW190602991-1a_2_val_2	0.0	0.10050644721333513
155365-M1-S2_BDSW190602992-1a_1_val_1	0.0	0.0
155365-M1-S2_BDSW190602992-1a_2_val_2	0.0	0.11661364833657581
159408-M1-S1_BDSW190602993-1a_1_val_1	0.0	0.0
159408-M1-S1_BDSW190602993-1a_2_val_2	0.0	0.12110495414421892
159408-M1-S2_BDSW190602994-1a_1_val_1	0.0	0.0
159408-M1-S2_BDSW190602994-1a_2_val_2	0.0	0.0
159408-M2-S1_BDSW190602995-1a_1_val_1	0.0	0.0
159408-M2-S1_BDSW190602995-1a_2_val_2	0.0	0.12103575790811599
159408-M2-S2_BDSW190602996-1a_1_val_1	0.0	0.0
159408-M2-S2_BDSW190602996-1a_2_val_2	0.0	0.1155304735574352
161191-M1-S1_BDSW190602997-1a_1_val_1	0.0	0.0
161191-M1-S1_BDSW190602997-1a_2_val_2	0.0	0.29784452484179347
161191-M2-S2_BDSW190602998-1a_1_val_1	0.0	0.0
161191-M2-S2_BDSW190602998-1a_2_val_2	0.0	0.0
179439-M1-S1_BDSW190602999-1a_1_val_1	0.0	0.13235712519040008
179439-M1-S1_BDSW190602999-1a_2_val_2	0.0	0.0
179439-M1-S2_BDSW190603000-1a_1_val_1	0.513350095293222	0.1956482188935163
179439-M1-S2_BDSW190603000-1a_2_val_2	0.46676860975941925	0.1451500615978855
207446-M1-S1_BDSW190603001-1a_1_val_1	1.356959689911222	0.2674942625257826
207446-M1-S1_BDSW190603001-1a_2_val_2	1.0943595275520894	0.20399419309733827
207746-M1-S2_BDSW190603002-1a_1_val_1	1.2982375858332997	0.43344780947629885
207746-M1-S2_BDSW190603002-1a_2_val_2	1.1541993897296905	0.3393928295197159
207746-M2-S1_BDSW190603003-1a_1_val_1	0.11129966097418803	0.1284207382260393
207746-M2-S1_BDSW190603003-1a_2_val_2	0.10054914352048402	0.1072994684332749
207746-M2-S2_BDSW190603004-1a_1_val_1	0.5999770921561236	0.1880244261586615
207746-M2-S2_BDSW190603004-1a_2_val_2	0.42409026931353966	0.18178696301533726
217961-M1-S1_BDSW190603005-1a_1_val_1	0.0	0.0
217961-M1-S1_BDSW190603005-1a_2_val_2	0.0	0.2056173496824621
217961-M1-S2_BDSW190603006-1a_1_val_1	0.0	0.0
217961-M1-S2_BDSW190603006-1a_2_val_2	0.0	0.18180445854238275
248762-M1-S1_BDSW190603007-1a_1_val_1	0.0	0.0
248762-M1-S1_BDSW190603007-1a_2_val_2	0.0	0.0
