Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
076361-M1-S1_BDSW190602952-1a_1	30030234	11533707	4504535100	11265823	0.619125867173285	4476646358
076361-M1-S1_BDSW190602952-1a_2	30030234	11410604	4504535100	16247145	0.7550573198996718	4470523278
076361-M1-S2_BDSW190602953-1a_1	27214195	10645446	4082129250	5613038	0.48686385910000274	4062254838
076361-M1-S2_BDSW190602953-1a_2	27214195	10641921	4082129250	7161033	0.5317865180285509	4060421037
081090-M1-S1_BDSW190602954-1a_1	25794426	9817442	3869163900	8989734	0.6092199919470974	3845592180
081090-M1-S1_BDSW190602954-1a_2	25794426	9687891	3869163900	11429827	0.6921947917481605	3842381749
081090-M1-S2_BDSW190602955-1a_1	28449958	10772557	4267493700	7627320	0.6016067932332273	4241820168
081090-M1-S2_BDSW190602955-1a_2	28449958	10619580	4267493700	14840074	0.807685410291291	4233025776
123545-M1-S1_BDSW190602956-1a_1	25275902	9650189	3791385300	6846374	0.5471371374468325	3770641223
123545-M1-S1_BDSW190602956-1a_2	25275902	9632766	3791385300	7577464	0.5767495326840034	3769518503
123545-M1-S2_BDSW190602957-1a_1	30830625	12090410	4624593750	9125186	0.5700773824727847	4598229987
123545-M1-S2_BDSW190602957-1a_2	30830625	11954282	4624593750	13816716	0.6896455931939968	4592700443
124031-M1-S1_BDSW190602958-1a_1	28614422	11044346	4292163300	8347758	0.5429063241838912	4268860874
124031-M1-S1_BDSW190602958-1a_2	28614422	11015651	4292163300	10216046	0.5937044380394381	4266680536
124031-M1-S2_BDSW190602959-1a_1	25706883	9792447	3856032450	10083653	0.750365132430356	3827098127
124031-M1-S2_BDSW190602959-1a_2	25706883	9598470	3856032450	15399263	0.9555050813952564	3819187864
124031-M2-S1_BDSW190602960-1a_1	29131020	11282728	4369653000	10341262	0.6318277904446875	4342044318
124031-M2-S1_BDSW190602960-1a_2	29131020	11161667	4369653000	13686538	0.7283523886221629	4337826528
124031-M2-S2_BDSW190602961-1a_1	26467013	10104595	3970051950	8537444	0.6234681639367465	3945299940
124031-M2-S2_BDSW190602961-1a_2	26467013	10060440	3970051950	11049851	0.6997393573149591	3942271934
128101-M1-S1_BDSW190602962-1a_1	30524721	11591108	4578708150	16205439	0.8173977631660145	4541281892
128101-M1-S1_BDSW190602962-1a_2	30524721	11436186	4578708150	17503025	0.8566468469932944	4539484791
128101-M1-S2_BDSW190602963-1a_1	27560497	10514867	4134074550	9435501	0.634875585395527	4107828320
128101-M1-S2_BDSW190602963-1a_2	27560497	10351604	4134074550	14057363	0.7704837833657354	4102222176
129276-M1-S1_BDSW190602964-1a_1	25289035	9602931	3793355250	9945976	0.6727722377175194	3767834609
129276-M1-S1_BDSW190602964-1a_2	25289035	9548159	3793355250	11533438	0.723142605744611	3765923882
129276-M1-S2_BDSW190602965-1a_1	28959467	11012026	4343920050	6183982	0.5160999912970313	4321501079
129276-M1-S2_BDSW190602965-1a_2	28959467	10968188	4343920050	8301669	0.5718757415896731	4319078225
130101-M1-S1_BDSW190602966-1a_1	27797848	10636507	4169677200	13708040	0.7570562776418279	4138110397
130101-M1-S1_BDSW190602966-1a_2	27797848	10465435	4169677200	15675633	0.8235533196670477	4135337685
130101-M1-S2_BDSW190602967-1a_1	29367890	11145325	4405183500	7525582	0.5310387637654594	4381790268
