Sample	Sequences flagged as poor quality	avg_sequence_length	Encoding	Total Sequences	per_base_n_content	per_sequence_quality_scores	per_base_sequence_quality	per_base_sequence_content	per_tile_sequence_quality	File type	sequence_duplication_levels	%GC	Filename	total_deduplicated_percentage	per_sequence_gc_content	adapter_content	sequence_length_distribution	basic_statistics	Sequence length	overrepresented_sequences
076361-M1-S1_BDSW190602952-1a_1_val_1	0.0	148.9932228355328	Sanger / Illumina 1.9	29833716.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	076361-M1-S1_BDSW190602952-1a_1_val_1.fq.gz	83.24635547907809	pass	pass	warn	pass	100-150	pass
076361-M1-S1_BDSW190602952-1a_2_val_2	0.0	148.87734702576105	Sanger / Illumina 1.9	29833716.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	076361-M1-S1_BDSW190602952-1a_2_val_2.fq.gz	83.8504830826493	pass	pass	warn	pass	100-150	warn
076361-M1-S2_BDSW190602953-1a_1_val_1	0.0	149.05622041470968	Sanger / Illumina 1.9	27128135.0	pass	pass	pass	fail	pass	Conventional base calls	pass	33.0	076361-M1-S2_BDSW190602953-1a_1_val_1.fq.gz	84.11158200262236	pass	pass	warn	pass	100-150	pass
076361-M1-S2_BDSW190602953-1a_2_val_2	0.0	149.02080117191986	Sanger / Illumina 1.9	27128135.0	pass	pass	pass	fail	pass	Conventional base calls	pass	33.0	076361-M1-S2_BDSW190602953-1a_2_val_2.fq.gz	84.43603351333645	warn	pass	warn	pass	100-150	warn
081090-M1-S1_BDSW190602954-1a_1_val_1	0.0	148.9801715334328	Sanger / Illumina 1.9	25655640.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	081090-M1-S1_BDSW190602954-1a_1_val_1.fq.gz	84.37363669890536	pass	pass	warn	pass	100-150	pass
081090-M1-S1_BDSW190602954-1a_2_val_2	0.0	148.89149387814922	Sanger / Illumina 1.9	25655640.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	081090-M1-S1_BDSW190602954-1a_2_val_2.fq.gz	84.79272500555915	pass	pass	warn	pass	100-150	warn
081090-M1-S2_BDSW190602955-1a_1_val_1	0.0	149.01374068447137	Sanger / Illumina 1.9	28261547.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	081090-M1-S2_BDSW190602955-1a_1_val_1.fq.gz	84.38104827518855	pass	pass	warn	pass	100-150	warn
081090-M1-S2_BDSW190602955-1a_2_val_2	0.0	148.86285757817856	Sanger / Illumina 1.9	28261547.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	081090-M1-S2_BDSW190602955-1a_2_val_2.fq.gz	84.87002855641505	pass	pass	warn	pass	100-150	warn
123545-M1-S1_BDSW190602956-1a_1_val_1	0.0	149.0430253643703	Sanger / Illumina 1.9	25167666.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	123545-M1-S1_BDSW190602956-1a_1_val_1.fq.gz	85.75947352852457	pass	pass	warn	pass	100-150	pass
123545-M1-S1_BDSW190602956-1a_2_val_2	0.0	149.01680084279567	Sanger / Illumina 1.9	25167666.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	123545-M1-S1_BDSW190602956-1a_2_val_2.fq.gz	86.06580048455373	pass	pass	warn	pass	100-150	warn
123545-M1-S2_BDSW190602957-1a_1_val_1	0.0	148.97926821983185	Sanger / Illumina 1.9	30684051.0	pass	pass	pass	fail	pass	Conventional base calls	pass	33.0	123545-M1-S2_BDSW190602957-1a_1_val_1.fq.gz	82.51829678188801	pass	pass	warn	pass	100-150	pass
123545-M1-S2_BDSW190602957-1a_2_val_2	0.0	148.86945514462872	Sanger / Illumina 1.9	30684051.0	pass	pass	pass	fail	pass	Conventional base calls	pass	33.0	123545-M1-S2_BDSW190602957-1a_2_val_2.fq.gz	82.9402246126477	pass	pass	warn	pass	100-150	pass
124031-M1-S1_BDSW190602958-1a_1_val_1	0.0	149.03643771741474	Sanger / Illumina 1.9	28485017.0	pass	pass	pass	fail	pass	Conventional base calls	pass	34.0	124031-M1-S1_BDSW190602958-1a_1_val_1.fq.gz	81.9974831869514	pass	pass	warn	pass	100-150	pass
124031-M1-S1_BDSW190602958-1a_2_val_2	0.0	149.0012531851394	Sanger / Illumina 1.9	28485017.0	pass	pass	pass	fail	pass	Conventional base calls	pass	34.0	124031-M1-S1_BDSW190602958-1a_2_val_2.fq.gz	82.31806383411697	pass	pass	warn	pass	100-150	warn
124031-M1-S2_BDSW190602959-1a_1_val_1	0.0	148.9405049382298	Sanger / Illumina 1.9	25458718.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	124031-M1-S2_BDSW190602959-1a_1_val_1.fq.gz	81.63129028236021	pass	pass	warn	pass	100-150	warn
124031-M1-S2_BDSW190602959-1a_2_val_2	0.0	148.8205274122601	Sanger / Illumina 1.9	25458718.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	124031-M1-S2_BDSW190602959-1a_2_val_2.fq.gz	81.9991658061939	pass	pass	warn	pass	100-150	warn
124031-M2-S1_BDSW190602960-1a_1_val_1	0.0	148.9600214253315	Sanger / Illumina 1.9	28960112.0	pass	pass	pass	fail	pass	Conventional base calls	pass	34.0	124031-M2-S1_BDSW190602960-1a_1_val_1.fq.gz	83.70835915570339	pass	pass	warn	pass	100-150	pass
124031-M2-S1_BDSW190602960-1a_2_val_2	0.0	148.8649691686275	Sanger / Illumina 1.9	28960112.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	124031-M2-S1_BDSW190602960-1a_2_val_2.fq.gz	84.06269961730656	pass	pass	warn	pass	100-150	warn
124031-M2-S2_BDSW190602961-1a_1_val_1	0.0	148.9866737062624	Sanger / Illumina 1.9	26312117.0	pass	pass	pass	fail	pass	Conventional base calls	pass	35.0	124031-M2-S2_BDSW190602961-1a_1_val_1.fq.gz	81.74553530925014	pass	pass	warn	pass	100-150	warn
124031-M2-S2_BDSW190602961-1a_2_val_2	0.0	148.9327972355854	Sanger / Illumina 1.9	26312117.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	124031-M2-S2_BDSW190602961-1a_2_val_2.fq.gz	82.12358497395057	pass	pass	warn	pass	100-150	warn
128101-M1-S1_BDSW190602962-1a_1_val_1	0.0	148.87951345156776	Sanger / Illumina 1.9	30240936.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	128101-M1-S1_BDSW190602962-1a_1_val_1.fq.gz	77.7408748070766	pass	pass	warn	pass	100-150	warn
128101-M1-S1_BDSW190602962-1a_2_val_2	0.0	148.84814907845444	Sanger / Illumina 1.9	30240936.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	128101-M1-S1_BDSW190602962-1a_2_val_2.fq.gz	78.30855674492913	pass	pass	warn	pass	100-150	warn
128101-M1-S2_BDSW190602963-1a_1_val_1	0.0	148.95743047851022	Sanger / Illumina 1.9	27396385.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	128101-M1-S2_BDSW190602963-1a_1_val_1.fq.gz	80.78412835946581	pass	pass	warn	pass	100-150	warn
128101-M1-S2_BDSW190602963-1a_2_val_2	0.0	148.82779220689153	Sanger / Illumina 1.9	27396385.0	pass	pass	pass	fail	pass	Conventional base calls	pass	36.0	128101-M1-S2_BDSW190602963-1a_2_val_2.fq.gz	81.61550055359439	pass	pass	warn	pass	100-150	warn
