R1;size=80745
R1_3;size=18243
R559_6;size=6673
R2952_2;size=2060
R91_184;size=2018
R1_114;size=1155
R1_26;size=939
R536_69;size=583
R662_152;size=481
R1_117;size=411
R1289_42;size=265
R614_134;size=230
R305_152;size=200
R1112_54;size=158
R1692_37;size=109
R498_93;size=96
R1322_42;size=89
R1869_13;size=61
R59_89;size=57
R1747_26;size=47
R1969_27;size=44
R3324_3;size=39
R1434_36;size=33
R1503_34;size=33
R3812_3;size=32
R691_8;size=23
R1794_14;size=21
R719_181;size=21
R2563_6;size=17
R1749_42;size=15
R1902_21;size=12
R1850_22;size=10
R3687_3;size=10
R679_167;size=9
R1937_21;size=8
R1747_46;size=7
R3800_3;size=7
R1781_59;size=6
R1099_75;size=4
R1131_75;size=4
R1528_80;size=4
R1985_12;size=4
R1559_77;size=3
R566_36;size=3
R832_105;size=3
R1124_75;size=2
R1827_10;size=2
R669_147;size=2
R835_105;size=2
R1073_27;size=1
R1141_75;size=1
R1142_49;size=1
R1143_49;size=1
R1255_118;size=1
R1269_116;size=1
R1335_108;size=1
R1336_108;size=1
R1751_46;size=1
R1780_59;size=1
R1924_12;size=1
R1954_21;size=1
R3844_3;size=1
R673_147;size=1
R1226_50;size=80
R1286_76;size=20
R1310_55;size=3
R1301_55;size=1
R807_174;size=2
R768_177;size=1
R1382_98;size=9
R1672_67;size=3
R1755_26;size=605
R1110_79;size=54
R551_169;size=11
R1138_124;size=3
R1194_108;size=2
R1432_10;size=1
R849_48;size=1
R1580_45;size=6
R2096_5;size=2
R409_20;size=2
R1312_12;size=1
R2761_8;size=1
R1727_13;size=2
R572_162;size=2
R1083_49;size=35
R1118_49;size=24
R3678_3;size=2
R3774_3;size=2
R1138_75;size=2
R2399_6;size=5
R1365_69;size=2
R1371_90;size=2
R1454_101;size=1
R1041_32;size=1
R2027_48;size=2
R668_51;size=127
R1196_80;size=118
R1515_66;size=57
R906_76;size=5
R1503_68;size=1
R1436_102;size=3
R1125_118;size=1
R1936_45;size=1
R921_178;size=1
R2324_15;size=8
R679_190;size=6
R851_49;size=1
R2418_6;size=2
R954_134;size=1
R361_20;size=8
R1155_103;size=278
R1305_55;size=4
R1266_57;size=3
R1093_90;size=1
R1096_90;size=1
R1302_55;size=5
R2392_3;size=753
R2353_4;size=6
R948_134;size=1
R1097_120;size=96
R1377_88;size=1
R955_134;size=1
R1681_14;size=144
R1233_92;size=89
R1730_46;size=7
R2359_4;size=4
R943_28;size=9
R282_205;size=40
R1066_156;size=35
R402_88;size=4
R1491_50;size=20
R1576_45;size=1
R986_12;size=1768
R447_24;size=391
R228_69;size=6
R2009_16;size=1
R2520_10;size=1
R1027_32;size=5
R1321_12;size=1
R744_53;size=467
R1986_7;size=104
R1977_19;size=6
R2102_5;size=1
R2119_4;size=1
R1911_38;size=7
R1837_25;size=5
R710_102;size=90
R1253_16;size=2
R930_46;size=3
R1630_76;size=1
R2010_16;size=1
R1429_10;size=1
R1440_10;size=2
R1256_118;size=1
R1270_117;size=1
R1452_66;size=1
R1528_91;size=5
R1368_112;size=2
R1087_128;size=3
R1540_71;size=2
R1539_71;size=1
R605_82;size=1
R1736_17;size=3
R1556_82;size=1
R538_85;size=4
R1135_75;size=1
R1366_120;size=2
R1463_63;size=1
R983_45;size=2
R1106_75;size=1
R1524_99;size=1
R1977_12;size=1
R921;size=4
R941;size=1
R2448_12;size=1
R641_64;size=1
R2492_11;size=1
R1381_4;size=1268
R2646_14;size=143
R1270_46;size=97
R3383_2;size=60
R1726_15;size=38
R1163_114;size=23
R1143_119;size=20
R1736_14;size=12
R1125_80;size=3
R1781_13;size=3
R1128_80;size=2
R1022_86;size=1
R1784_13;size=1
R726;size=1036
R1117_4;size=1000
R859_7;size=164
R1366_51;size=87
R1179_45;size=84
R1239_11;size=82
R404_169;size=70
R1914_21;size=41
R24_60;size=32
R796_146;size=26
R1145_50;size=17
R1032_76;size=10
R675_191;size=4
R2102_3;size=1
R2996_6;size=2
R3008_6;size=2
R1009_33;size=14
R1135_80;size=4
R1130_80;size=3
R356_97;size=454
R1082_111;size=12
R1306_55;size=2
R1504_68;size=2
R278_4;size=315
R775_41;size=277
R1252_7;size=127
R658_106;size=67
R379_95;size=66
R1569_50;size=59
R1647_40;size=45
R688_12;size=30
R1009_182;size=27
R11_4;size=20
R2478_10;size=19
R1676_52;size=13
R1347_119;size=12
R1241_85;size=10
R668_60;size=5
R1565_50;size=4
R793_11;size=4
R783_87;size=2
R861_11;size=2
R519_114;size=1
R2029_13;size=41
R1414_62;size=25
R2385_7;size=7
R2413_6;size=1
R1497_35;size=75
R2210_6;size=40
R1345_29;size=39
R806_98;size=20
R3124_3;size=14
R188_19;size=13
R3175_3;size=12
R3060_3;size=4
R3103_3;size=4
R3075_3;size=1
R3188_3;size=1
R523_72;size=37
R1712_67;size=3
R1117_70;size=15
R1148_19;size=67
R974_51;size=13
R1195_12;size=30
R786_49;size=3
R449_59;size=28
R434_72;size=3
R1219_74;size=4
R2043_3;size=1
R1333_108;size=1
R1334_108;size=1
R1219_12;size=17
R1647_70;size=2
R1251_118;size=1
R1268_116;size=1
