rownumber,SiteName,UTM_E,UTM_N,o,y,point.ID,poly.ID,AGENCY,UNIT_NAME,TS_NAME,YEAR,YrsSinceDi,TREATMENT_,class,e,ht,mint,maxt,p,r.d,s.d,YrsSinceDist,hja
1,SM-04,564940,4900934,47,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2825.98999,76.77001953,3.589999914,14.51000023,2053.75,259.893207,413.4766159,200,1
2,HOBO-315,565090,4901358,54,0,2,NA,NA,NA,NA,NA,NA,NA,NA,3100.040039,160.8200684,3.460000038,14.38000011,2008.75,113.2891492,504.3506606,200,1
3,HOBO-308,565355,4900444,26,0,3,212,USFS,WIL,NA,1953,65,Clearcut,2,2599.169922,47.75,3.589999914,14.51000023,2053.75,21.40075765,13.3859796,65,1
4,HOBO-310,566025,4900660,5,0,4,198,USFS,WIL,SNOWBRUSH,1982,36,Clearcut,1,2803.300049,51.45996094,3.589999914,14.53999996,2137.429932,38.4012433,238.3852651,36,1
5,HOBO-312,566147,4901320,20,0,5,190,USFS,WIL,NA,1963,55,Clearcut,2,3014.669922,100.5200195,3.049999952,13.89000034,2197.879883,46.62758734,250.8495414,55,1
6,HOBO-317,565892,4901708,61,0,6,NA,NA,NA,NA,NA,NA,NA,NA,3094.669922,163.4301758,3.059999943,13.90999985,2165.870117,22.75530437,201.5549148,200,1
7,622337,564488,4892832,53,0,7,1044,USFS,WIL,NA,1940,78,Clearcut,2,1709.800049,114.2799072,4.260000229,16.59000015,1839.189941,74.01065241,603.3825986,78,0
8,594580,562541,4893290,25,0,8,1485,USFS,WIL,NA,1947,71,Clearcut,2,1767.609985,130.1300049,3.769999981,15.72999954,1987.22998,81.96069406,164.7817491,71,0
9,544292,562145,4894663,0,0,9,841,USFS,WIL,MILL CREEK,1946,72,Clearcut,2,2506.639893,81.45019531,4.150000095,14.97000027,2099.659912,48.48843329,246.3599646,72,0
10,700239,563893,4892954,22,25,10,1028,USFS,WIL,AMBUSH,1993,25,Clearcut,1,1691.930054,35.26989746,4.260000229,16.59000015,1839.189941,46.54327365,1173.840415,25,0
