"RowNumber","SiteName","UTM_E","UTM_N","ogsi","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi_cuts","TREATMENT_","class","elevation","canopy_ht","avg_min_temp","avg_max_temp","avg_precip","distance_rd","distance_stream","YrsSinceDist","in_hja"
"1","076361",559358,4908130,9,0,1,1321,"USFS","WIL","BEAR PASS",1975,43,"Clearcut",2,4273.189453125,8.712890625,2.05999994277954,12.3100004196167,2612.60009765625,38.2852788472772,829.336680465466,200,0
"2","081090",567480,4904834,1,29,2,95,"USFS","WIL","LOOK UP",1990,28,"Clearcut",1,3252.22998046875,44.780029296875,3.30999994277954,14.0699996948242,2223.169921875,64.5309965018256,341.906649027247,29,0
"3","123545",559063,4906840,41,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4058.7607421875,31.864990234375,2.6800000667572,13.1099996566772,2321.89990234375,24.618624301885,718.327019692391,200,0
"4","124031",568825,4905960,35,0,4,NA,NA,NA,NA,NA,NA,NA,NA,3326.88989257812,225.050048828125,2.20000004768372,13.4099998474121,2325.080078125,44.638731279497,313.546384641401,200,0
"5","128101",562059,4898859,15,0,5,266,"USFS","WIL","BLUE RIDGE",1976,42,"Clearcut",2,2636.8701171875,36.919921875,4,14.9899997711182,2043.58996582031,82.3925366679459,1001.86430326667,200,0
"6","129276",566379,4905651,25,0,6,62,"USFS","WIL",NA,1963,55,"Clearcut",2,2770.3798828125,85,3.53999996185303,14.3199996948242,2184.6201171875,51.7814513946109,207.312229907821,200,0
"7","130101",561780,4899685,32,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2495.13232421875,44.125732421875,3.44000005722046,15.0699996948242,2030.88000488281,18.9515669343251,569.54838915501,200,0
"8","130102",561542,4898476,47,0,8,NA,NA,NA,NA,NA,NA,NA,NA,2553.42993164062,202.31005859375,3.20000004768372,15.3599996566772,2059.080078125,36.6448688688608,805.814191963391,200,0
"9","131067",560725,4904285,3,32,9,111,"USFS","WIL","UPPER QUENTIN",1985,33,"Clearcut",1,3232.59228515625,22.27880859375,3.77999997138977,14.1300001144409,2205.7900390625,39.0383990855705,525.758410052214,32,0
"10","134101",559839,4897166,4,1,10,520,"USFS","WIL","BLUE RIVER LEAVE #1",1972,46,"Clearcut",2,2212.6201171875,80.489990234375,3.94000005722046,15.9399995803833,2047.56005859375,61.2095882458739,381.922397788595,1,0
"11","135431",568423,4905510,4,3,11,64,"USFS","WIL",NA,1962,56,"Clearcut",2,3342.10009765625,37.559814453125,2.44000005722046,13.539999961853,2256.27001953125,71.3668939595705,163.617483783549,3,0
"12","146764",565951,4904959,9,0,12,83,"USFS","WIL","LOBO",1982,36,"Clearcut",1,2591.2099609375,43.469970703125,3.55999994277954,14.3199996948242,2170.4599609375,46.9850665154041,94.8580920403417,200,0
"13","150732",562678,4901170,23,0,13,205,"USFS","WIL","BLUE TITAN",1984,34,"Clearcut",1,1932.2099609375,19.72998046875,3.11999988555908,15.1099996566772,2040.59997558594,39.4878447636619,32.5053739500206,200,0
"14","150801",566717,4904521,41,0,14,NA,NA,NA,NA,NA,NA,NA,NA,2991.47998046875,109.409912109375,3.5699999332428,14.3900003433228,2180.89990234375,42.5470593141421,85.5960816701323,200,0
"16","150802",565613,4903947,33,13,15,1509,"USFS","WIL",NA,2005,13,"Clearcut",1,2666.25,3.2099609375,3.50999999046326,14.3800001144409,2140.8798828125,35.1815980144518,513.811876771133,13,0
"17","155365",559521,4905961,24,0,16,461,"USFS","WIL","WEST QUENTIN",1972,46,"Clearcut",2,3763.99975585938,54.889892578125,2.6800000667572,13.1099996566772,2321.89990234375,29.1439137671295,850.825378559954,200,0
"18","159408",557639,4905910,4,0,17,1381,"USFS","WIL",NA,1975,43,"Clearcut",2,4086.59301757812,0.8466796875,2.30999994277954,12.5200004577637,2463.18994140625,44.4436840949612,774.696343321884,200,0
"19","161191",565024,4904353,32,0,18,NA,NA,NA,NA,NA,NA,NA,NA,2403.57006835938,155.679931640625,3.69000005722046,14.4899997711182,2123.8798828125,38.6715618471553,105.540102416057,200,0
"20","179439",564607,4903607,46,0,19,NA,NA,NA,NA,NA,NA,NA,NA,2341.86010742188,186.18994140625,3.91000008583069,14.7299995422363,2091.669921875,42.825536131949,92.6995183671721,200,0
"21","207746",561237,4904353,11,32,20,109,"USFS","WIL","UPPER QUENTIN",1985,33,"Clearcut",1,3041.310546875,11.826416015625,3.77999997138977,14.1300001144409,2205.7900390625,49.1019256160744,336.063649241657,32,0
"22","217961",559881,4904134,35,0,21,NA,NA,NA,NA,NA,NA,NA,NA,3749.04248046875,112.029541015625,3.17000007629395,13.8400001525879,2207.9599609375,26.0047107230818,987.959220726725,200,0
"23","248762",564140,4900868,39,12,22,1504,"USFS","WIL",NA,2006,12,"Clearcut",1,2725.15991210938,6.14013671875,3.79999995231628,14.6700000762939,2001.65002441406,52.1911475056339,1105.2364683283,12,0
"24","252447",563238,4900688,15,0,23,213,"USFS","WIL","BLUE EXTENSION",1981,37,"Clearcut",1,2393.22998046875,48.2099609375,4.03000020980835,14.9899997711182,2019.53002929688,58.5621244284991,682.542131824848,200,0
"25","257002",561524,4903055,19,0,24,136,"USFS","WIL","WEST QUENTIN",1972,46,"Clearcut",2,3282.71069335938,60.94189453125,3.77999997138977,13.9799995422363,2065.40991210938,10.9783184861406,814.834777566188,200,0
"26","258173",565873,4903181,31,0,25,137,"USFS","WIL","WEST CARPENTER",1980,38,"Clearcut",1,3160.55004882812,43.119873046875,3.29999995231628,13.9700002670288,2151.419921875,19.553559978424,1213.01267265525,200,0
"27","268355",560984,4899958,45,0,26,516,"USFS","WIL",NA,1964,54,"Clearcut",2,2218.0107421875,58.439208984375,3.69000005722046,15.7399997711182,2056.59008789062,81.3931974098429,244.389683978695,200,0
"28","268413",562799,4900041,51,0,27,1656,"USFS","WIL","BLUE RIVER FACE",2004,14,"Single-tree selectio",1,2292.13989257812,144.280029296875,4.01999998092651,14.9899997711182,2007.02001953125,50.4633698041279,794.277116377722,200,0
"29","279822",562379,4899571,1,0,28,235,"USFS","WIL","BLUE RIDGE #2",1976,42,"Clearcut",2,2510.7099609375,71.5400390625,4.01999998092651,14.9899997711182,2007.02001953125,63.3581325339584,1038.62609664702,200,0
"30","280500",560510,4899490,16,2,29,NA,NA,NA,NA,NA,NA,NA,NA,2148.68139648438,50.60400390625,3.91000008583069,14.9399995803833,2182.42993164062,4.48746325781065,604.012004042822,2,0
"31","286789",562490,4902253,50,0,30,NA,NA,NA,NA,NA,NA,NA,NA,2344.41040039062,103.14990234375,3.11999988555908,15.1099996566772,2040.59997558594,69.6022172626572,263.734306625858,200,0
"32","287338",559774,4899181,30,0,31,NA,NA,NA,NA,NA,NA,NA,NA,2807.46630859375,78.291748046875,3.45000004768372,14.2200002670288,2211.830078125,40.7473341575109,900.438668978702,200,0
