,fastq_files,sample,site,period,trap,UTM_E,UTM_N
1,076361-M1-S1_BDSW190602952-1a.pair1.truncated,076361-M1-S1,76361,1,1,559380,4908110
2,076361-M1-S1_BDSW190602952-1a.pair2.truncated,076361-M1-S1,76361,1,1,559380,4908110
3,076361-M1-S2_BDSW190602953-1a.pair1.truncated,076361-M1-S2,76361,2,1,559380,4908110
4,076361-M1-S2_BDSW190602953-1a.pair2.truncated,076361-M1-S2,76361,2,1,559380,4908110
5,081090-M1-S1_BDSW190602954-1a.pair1.truncated,081090-M1-S1,81090,1,1,567429,4904826
6,081090-M1-S1_BDSW190602954-1a.pair2.truncated,081090-M1-S1,81090,1,1,567429,4904826
7,081090-M1-S2_BDSW190602955-1a.pair1.truncated,081090-M1-S2,81090,2,1,567429,4904826
8,081090-M1-S2_BDSW190602955-1a.pair2.truncated,081090-M1-S2,81090,2,1,567429,4904826
9,123545-M1-S1_BDSW190602956-1a.pair1.truncated,123545-M1-S1,123545,1,1,559069,4906844
10,123545-M1-S1_BDSW190602956-1a.pair2.truncated,123545-M1-S1,123545,1,1,559069,4906844
11,123545-M1-S2_BDSW190602957-1a.pair1.truncated,123545-M1-S2,123545,2,1,559069,4906844
12,123545-M1-S2_BDSW190602957-1a.pair2.truncated,123545-M1-S2,123545,2,1,559069,4906844
13,124031-M1-S1_BDSW190602958-1a.pair1.truncated,124031-M1-S1,124031,1,1,568830,4905948
14,124031-M1-S1_BDSW190602958-1a.pair2.truncated,124031-M1-S1,124031,1,1,568830,4905948
15,124031-M1-S2_BDSW190602959-1a.pair1.truncated,124031-M1-S2,124031,2,1,568830,4905948
16,124031-M1-S2_BDSW190602959-1a.pair2.truncated,124031-M1-S2,124031,2,1,568830,4905948
17,124031-M2-S1_BDSW190602960-1a.pair1.truncated,124031-M2-S1,124031,1,2,568830,4905948
18,124031-M2-S1_BDSW190602960-1a.pair2.truncated,124031-M2-S1,124031,1,2,568830,4905948
19,124031-M2-S2_BDSW190602961-1a.pair1.truncated,124031-M2-S2,124031,2,2,568830,4905948
20,124031-M2-S2_BDSW190602961-1a.pair2.truncated,124031-M2-S2,124031,2,2,568830,4905948
21,128101-M1-S1_BDSW190602962-1a.pair1.truncated,128101-M1-S1,128101,1,1,562060,4898855
22,128101-M1-S1_BDSW190602962-1a.pair2.truncated,128101-M1-S1,128101,1,1,562060,4898855
23,128101-M1-S2_BDSW190602963-1a.pair1.truncated,128101-M1-S2,128101,2,1,562060,4898855
24,128101-M1-S2_BDSW190602963-1a.pair2.truncated,128101-M1-S2,128101,2,1,562060,4898855
25,129276-M1-S1_BDSW190602964-1a.pair1.truncated,129276-M1-S1,129276,1,1,566409,4905644
26,129276-M1-S1_BDSW190602964-1a.pair2.truncated,129276-M1-S1,129276,1,1,566409,4905644
27,129276-M1-S2_BDSW190602965-1a.pair1.truncated,129276-M1-S2,129276,2,1,566409,4905644
28,129276-M1-S2_BDSW190602965-1a.pair2.truncated,129276-M1-S2,129276,2,1,566409,4905644
29,130101-M1-S1_BDSW190602966-1a.pair1.truncated,130101-M1-S1,130101,1,1,561772,4899699
30,130101-M1-S1_BDSW190602966-1a.pair2.truncated,130101-M1-S1,130101,1,1,561772,4899699
31,130101-M1-S2_BDSW190602967-1a.pair1.truncated,130101-M1-S2,130101,2,1,561772,4899699
32,130101-M1-S2_BDSW190602967-1a.pair2.truncated,130101-M1-S2,130101,2,1,561772,4899699
33,130102-M1-S1_BDSW190602968-1a.pair1.truncated,130102-M1-S1,130102,1,1,561523,4898458
34,130102-M1-S1_BDSW190602968-1a.pair2.truncated,130102-M1-S1,130102,1,1,561523,4898458
35,130102-M1-S2_BDSW190602969-1a.pair1.truncated,130102-M1-S2,130102,2,1,561523,4898458
36,130102-M1-S2_BDSW190602969-1a.pair2.truncated,130102-M1-S2,130102,2,1,561523,4898458
37,130102-M2-S1_BDSW190602970-1a.pair1.truncated,130102-M2-S1,130102,1,2,561523,4898458
38,130102-M2-S1_BDSW190602970-1a.pair2.truncated,130102-M2-S1,130102,1,2,561523,4898458
39,131067-M1-S1_BDSW190602971-1a.pair1.truncated,131067-M1-S1,131067,1,1,560727,4904273
40,131067-M1-S1_BDSW190602971-1a.pair2.truncated,131067-M1-S1,131067,1,1,560727,4904273
41,131067-M1-S2_BDSW190602972-1a.pair1.truncated,131067-M1-S2,131067,2,1,560727,4904273
42,131067-M1-S2_BDSW190602972-1a.pair2.truncated,131067-M1-S2,131067,2,1,560727,4904273
43,134101-M1-S1_BDSW190602973-1a.pair1.truncated,134101-M1-S1,134101,1,1,559836,4897180
44,134101-M1-S1_BDSW190602973-1a.pair2.truncated,134101-M1-S1,134101,1,1,559836,4897180
45,134101-M1-S2_BDSW190602974-1a.pair1.truncated,134101-M1-S2,134101,2,1,559836,4897180
46,134101-M1-S2_BDSW190602974-1a.pair2.truncated,134101-M1-S2,134101,2,1,559836,4897180
47,134101-M2-S1_BDSW190602975-1a.pair1.truncated,134101-M2-S1,134101,1,2,559836,4897180
48,134101-M2-S1_BDSW190602975-1a.pair2.truncated,134101-M2-S1,134101,1,2,559836,4897180
49,135431-M1-S1_BDSW190602976-1a.pair1.truncated,135431-M1-S1,135431,1,1,568424,4905487
50,135431-M1-S1_BDSW190602976-1a.pair2.truncated,135431-M1-S1,135431,1,1,568424,4905487
51,135431-M1-S2_BDSW190602977-1a.pair1.truncated,135431-M1-S2,135431,2,1,568424,4905487
52,135431-M1-S2_BDSW190602977-1a.pair2.truncated,135431-M1-S2,135431,2,1,568424,4905487
53,146764-M1-S1-1_BDSW190602979-1a.pair1.truncated,146764-M1-S1-1,146764,1,1,565954,4904963
54,146764-M1-S1-1_BDSW190602979-1a.pair2.truncated,146764-M1-S1-1,146764,1,1,565954,4904963
55,146764-M1-S1_BDSW190602978-1a.pair1.truncated,146764-M1-S1,146764,1,1,565954,4904963
56,146764-M1-S1_BDSW190602978-1a.pair2.truncated,146764-M1-S1,146764,1,1,565954,4904963
57,146764-M1-S2_BDSW190602980-1a.pair1.truncated,146764-M1-S2,146764,2,1,565954,4904963
58,146764-M1-S2_BDSW190602980-1a.pair2.truncated,146764-M1-S2,146764,2,1,565954,4904963
59,150732-M1-S1_BDSW190602981-1a.pair1.truncated,150732-M1-S1,150732,1,1,562682,4901132
60,150732-M1-S1_BDSW190602981-1a.pair2.truncated,150732-M1-S1,150732,1,1,562682,4901132
61,150732-M1-S2_BDSW190602982-1a.pair1.truncated,150732-M1-S2,150732,2,1,562682,4901132
62,150732-M1-S2_BDSW190602982-1a.pair2.truncated,150732-M1-S2,150732,2,1,562682,4901132
63,150732-M2-S1_BDSW190602983-1a.pair1.truncated,150732-M2-S1,150732,1,2,562682,4901132
64,150732-M2-S1_BDSW190602983-1a.pair2.truncated,150732-M2-S1,150732,1,2,562682,4901132
65,150732-M2-S2_BDSW190602984-1a.pair1.truncated,150732-M2-S2,150732,2,2,562682,4901132
66,150732-M2-S2_BDSW190602984-1a.pair2.truncated,150732-M2-S2,150732,2,2,562682,4901132
67,150801-M1-S1_BDSW190602985-1a.pair1.truncated,150801-M1-S1,150801,1,1,566740,4904503
68,150801-M1-S1_BDSW190602985-1a.pair2.truncated,150801-M1-S1,150801,1,1,566740,4904503
69,150801-M1-S2_BDSW190602986-1a.pair1.truncated,150801-M1-S2,150801,2,1,566740,4904503
70,150801-M1-S2_BDSW190602986-1a.pair2.truncated,150801-M1-S2,150801,2,1,566740,4904503
71,150801-M2-S1_BDSW190602987-1a.pair1.truncated,150801-M2-S1,150801,1,2,566740,4904503
72,150801-M2-S1_BDSW190602987-1a.pair2.truncated,150801-M2-S1,150801,1,2,566740,4904503
73,150801-M2-S2_BDSW190602988-1a.pair1.truncated,150801-M2-S2,150801,2,2,566740,4904503
74,150801-M2-S2_BDSW190602988-1a.pair2.truncated,150801-M2-S2,150801,2,2,566740,4904503
75,150802-M1-S1_BDSW190602989-1a.pair1.truncated,150802-M1-S1,150802,1,1,565612,4903947
76,150802-M1-S1_BDSW190602989-1a.pair2.truncated,150802-M1-S1,150802,1,1,565612,4903947
77,150802-M1-S2_BDSW190602990-1a.pair1.truncated,150802-M1-S2,150802,2,1,565612,4903947
78,150802-M1-S2_BDSW190602990-1a.pair2.truncated,150802-M1-S2,150802,2,1,565612,4903947
79,155365-M1-S1_BDSW190602991-1a.pair1.truncated,155365-M1-S1,155365,1,1,559531,4905949
80,155365-M1-S1_BDSW190602991-1a.pair2.truncated,155365-M1-S1,155365,1,1,559531,4905949
81,155365-M1-S2_BDSW190602992-1a.pair1.truncated,155365-M1-S2,155365,2,1,559531,4905949
