SiteName,UTM_E,UTM_N,B1_20180717,B2_20180717,B3_20180717,B4_20180717,B5_20180717,B6_20180717,B7_20180717,B10_20180717,B11_20180717,NDVI_20180717,EVI_20180717,B_20180717,G_20180717,W_20180717,B1_20180726,B2_20180726,B3_20180726,B4_20180726,B5_20180726,B6_20180726,B7_20180726,B10_20180726,B11_20180726,NDVI_20180726,EVI_20180726,B_20180726,G_20180726,W_20180726,B1_20180802,B2_20180802,B3_20180802,B4_20180802,B5_20180802,B6_20180802,B7_20180802,B10_20180802,B11_20180802,NDVI_20180802,EVI_20180802,B_20180802,G_20180802,W_20180802,B1_20180818,B2_20180818,B3_20180818,B4_20180818,B5_20180818,B6_20180818,B7_20180818,B10_20180818,B11_20180818,NDVI_20180818,EVI_20180818,B_20180818,G_20180818,W_20180818,nor.NDVI_20180717,nor.NDVI_20180726,nor.NDVI_20180802,nor.NDVI_20180818,nor.EVI_20180717,nor.EVI_20180726,nor.EVI_20180802,nor.EVI_20180818,mean.NDVI,mean.EVI,mean.bright,mean.green,mean.wet,mean.NDVI.scale,mean.EVI.scale,mean.green.scale,mean.bright.scale,mean.wet.scale
SM-04,564940,4900934,-1,54,247,136,2505,760,273,3004,2997,897,2030,1927,1803,-190,152,163,337,192,2935,901,342,3012,3001,877,2393,2324,2064,-221,39,68,231,135,2312,678,246,2945,2939,889,2082,1780,1657,-152,-50,9,200,107,2394,706,255,2974,2968,914,1925,1797,1753,-180,0.897,0.877,0.889,0.914,2.03,2.393,2.082,1.925,0.89425,2.1075,1957,1819.25,-185.75,0.3180041,0.178326937,0.179427754,-0.030140437,0.348482758
HOBO-315,565090,4901358,-5,44,228,128,2370,695,254,3000,2992,897,1995,1810,1710,-163,148,167,328,191,2685,877,326,3011,2997,867,2417,2166,1871,-237,35,74,238,138,2335,681,256,2943,2936,888,2105,1802,1669,-154,-58,4,181,99,2315,668,246,2974,2968,917,1923,1725,1701,-168,0.897,0.867,0.888,0.917,1.995,2.417,2.105,1.923,0.89225,2.11,1875.75,1737.75,-180.5,0.273943636,0.190937903,-0.045348925,-0.228198915,0.372329241
HOBO-308,565355,4900444,-1,38,200,107,2528,655,229,3009,3003,918,2097,1858,1858,-107,163,159,310,164,2953,842,295,3011,3000,894,2539,2278,2108,-164,52,84,232,124,2593,659,226,2947,2938,908,2279,1928,1885,-85,-49,1,157,76,2413,604,206,2974,2968,938,2041,1728,1804,-96,0.918,0.894,0.908,0.938,2.097,2.539,2.279,2.041,0.9145,2.239,1948,1913.75,-113,0.764116291,0.841663735,0.440058382,-0.052079223,0.678926881
HOBO-310,566025,4900660,8,50,262,127,3239,739,239,3005,2998,924,2145,2334,2392,-38,154,168,351,170,3587,870,287,3011,3001,909,2551,2671,2596,-66,43,79,259,137,3181,704,229,2943,2937,917,2230,2298,2339,-14,-27,15,211,96,3164,689,224,2970,2964,941,2113,2227,2370,-28,0.924,0.909,0.917,0.941,2.145,2.551,2.23,2.113,0.92275,2.25975,2382.5,2424.25,-36.5,0.945865703,0.946334751,1.848015371,1.007076572,1.026404207
HOBO-312,566147,4901320,-10,27,206,98,2733,695,244,3001,2996,930,2111,1987,2023,-113,133,148,298,147,3001,795,276,3004,2994,906,2572,2270,2162,-120,24,59,207,108,2565,625,215,2939,2934,919,2216,1875,1884,-70,-58,-9,153,71,2446,583,200,2966,2960,943,2019,1733,1836,-76,0.93,0.906,0.919,0.943,2.111,2.572,2.216,2.019,0.9245,2.2295,1966.25,1976.25,-94.75,0.984418608,0.793742066,0.612433136,-0.007592242,0.761821799
HOBO-317,565892,4901708,6,45,235,127,2419,725,268,3000,2994,900,2014,1854,1745,-183,151,175,359,191,2892,956,348,3007,2995,876,2476,2329,2022,-264,30,68,243,136,2436,689,250,2941,2933,894,2096,1861,1751,-139,-46,11,202,107,2484,704,256,2970,2965,917,1951,1850,1823,-165,0.9,0.876,0.894,0.917,2.014,2.476,2.096,1.951,0.89675,2.13425,1973.5,1835.25,-187.75,0.373079679,0.313264271,0.223555691,0.010080669,0.339398383
622337,564488,4892832,146,210,471,524,2447,1963,1031,3062,3052,647,1196,2783,1368,-1311,293,342,564,603,2625,2186,1160,3064,3045,626,1374,3094,1404,-1466,222,277,545,612,2758,2267,1186,3000,2991,636,1232,3185,1517,-1519,116,189,454,549,2519,1973,1044,3014,3006,642,1120,2833,1419,-1311,0.647,0.626,0.636,0.642,1.196,1.374,1.232,1.12,0.63775,1.2305,2973.75,1427,-1401.75,-5.332750329,-4.245599845,-0.902396201,2.448332874,-5.174816957
594580,562541,4893290,29,60,197,106,2095,657,237,3018,3009,903,2179,1615,1511,-183,166,172,279,149,2496,801,290,3018,3005,887,2792,1983,1759,-216,76,96,215,121,2179,639,230,2955,2946,894,2353,1679,1561,-144,-14,20,157,78,2021,603,216,2974,2968,925,2075,1510,1487,-163,0.903,0.887,0.894,0.925,2.179,2.792,2.353,2.075,0.90225,2.34975,1696.75,1579.5,-176.5,0.494245953,1.400329518,-0.481801802,-0.664536975,0.39049799
544292,562145,4894663,20,55,243,121,2758,723,245,3006,3000,915,2145,2044,2017,-113,172,183,350,177,3283,904,305,3008,2996,897,2611,2518,2347,-146,68,90,252,135,2854,708,238,2937,2930,909,2273,2112,2079,-76,-30,17,195,93,2696,674,228,2966,2959,933,2080,1946,2003,-99,0.915,0.897,0.909,0.933,2.145,2.611,2.273,2.08,0.9135,2.27725,2155,2111.5,-108.5,0.74208606,1.034611511,0.985452103,0.452512836,0.699366724
700239,563893,4892954,62,99,312,190,3196,1175,468,3020,3010,887,2090,2564,2272,-451,200,208,402,230,3561,1343,543,3018,3005,878,2462,2925,2488,-518,106,138,320,214,3084,1103,430,2956,2951,870,2152,2493,2168,-386,3,56,257,157,3077,1075,434,2979,2969,902,2027,2407,2221,-403,0.887,0.878,0.87,0.902,2.09,2.462,2.152,2.027,0.88425,2.18275,2597.25,2287.25,-439.5,0.097701783,0.557917006,1.470169911,1.530560362,-0.804097261
601725,561397,4893019,62,106,310,222,2668,1199,551,3039,3028,846,1907,2306,1824,-592,227,229,390,262,2741,1348,592,3032,3018,825,2386,2484,1814,-674,115,148,316,251,2429,1100,499,2976,2963,812,1926,2153,1619,-519,19,70,268,209,2537,1086,476,2993,2986,847,1781,2146,1755,-504,0.846,0.825,0.812,0.847,1.907,2.386,1.926,1.781,0.8325,2,2272.25,1753,-572.25,-1.042362707,-0.363944589,-0.003289485,0.738326454,-1.40707262
647830,559534,4891481,58,79,251,135,2552,823,305,3023,3016,899,2181,1987,1831,-244,197,203,339,182,2894,944,355,3025,3014,881,2751,2321,2028,-266,84,115,254,146,2481,766,288,2956,2947,888,2339,1939,1766,-201,5,42,213,114,2520,774,285,2981,2975,913,2081,1914,1836,-219,0.899,0.881,0.888,0.913,2.181,2.751,2.339,2.081,0.89525,2.338,2040.25,1865.25,-232.5,0.340034331,1.341057979,0.306295573,0.172793325,0.136135503
652934,558826,4891351,58,80,237,128,2298,709,251,3023,3014,894,2199,1784,1645,-179,189,195,343,178,2722,950,342,3023,3012,877,2731,2219,1895,-290,97,115,254,142,2318,703,248,2951,2944,884,2356,1815,1644,-161,-1,40,196,105,2320,692,251,2981,2975,913,2088,1753,1692,-181,0.894,0.877,0.884,0.913,2.199,2.731,2.356,2.088,0.892,2.3435,1892.75,1719,-202.75,0.268436078,1.368802104,-0.097061351,-0.186758987,0.271265574
650846,557737,4891311,87,111,326,164,3974,921,322,3034,3023,920,2308,2892,2918,-69,229,221,402,184,4444,1062,356,3033,3019,920,2736,3278,3237,-86,128,136,316,159,4027,895,299,2971,2958,924,2440,2907,2964,-32,30,62,255,119,3949,879,302,2995,2987,941,2280,2795,2951,-62,0.92,0.92,0.924,0.941,2.308,2.736,2.44,2.28,0.92625,2.441,2968,3017.5,-62.25,1.022971514,1.860629767,3.484196535,2.434316428,0.909442885
642613,556854,4891361,47,85,242,142,2423,827,309,3023,3011,889,2161,1916,1727,-269,206,209,333,191,2732,992,369,3023,3005,869,2748,2249,1894,-331,101,124,256,160,2433,792,302,2948,2940,876,2306,1933,1716,-230,-2,45,186,108,2225,728,276,2980,2972,907,2086,1714,1613,-236,0.889,0.869,0.876,0.907,2.161,2.748,2.306,2.086,0.88525,2.32525,1953,1737.5,-266.5,0.119732014,1.276742054,-0.046038424,-0.039891009,-0.018298864
SM-PG,560272,4896225,11,32,142,85,1328,503,192,3012,3005,879,1943,1076,939,-191,161,154,218,122,1439,676,258,3011,3001,843,3237,1286,958,-301,60,78,158,97,1407,456,178,2944,2936,871,2330,1126,986,-130,-43,-10,100,58,1230,431,165,2967,2960,909,1771,950,897,-160,0.879,0.843,0.871,0.909,1.943,3.237,2.33,1.771,0.8755,2.32025,1109.5,945,-195.5,-0.095062745,1.251520122,-2.231750302,-2.096042706,0.304196432
700226,565581,4892903,48,87,270,155,2790,824,298,3017,3010,894,2146,2143,2005,-192,179,180,331,179,3115,964,343,3018,3005,891,2584,2441,2213,-241,70,90,241,124,2766,752,263,2956,2949,914,2328,2070,2014,-141,-10,29,207,114,2651,722,273,2975,2971,917,2033,1965,1946,-157,0.894,0.891,0.914,0.917,2.146,2.584,2.328,2.033,0.904,2.27275,2154.75,2044.5,-182.75,0.532798859,1.011911773,0.800666367,0.451903425,0.36210932
HOBO-304,563836,4899195,11,47,220,127,1982,674,262,3019,3010,879,1938,1579,1403,-217,172,185,348,203,2538,899,355,3021,3010,851,2463,2114,1735,-285,45,74,210,128,1880,606,235,2954,2946,872,2091,1495,1324,-171,-29,10,177,104,1937,626,240,2978,2972,898,1842,1495,1400,-195,0.879,0.851,0.872,0.898,1.938,2.463,2.091,1.842,0.875,2.0835,1670.75,1465.5,-217,-0.10607786,0.057261666,-0.796213353,-0.727915687,0.206539406
HOBO-335,561664,4897213,9,52,207,106,2092,648,232,3012,3004,903,2122,1612,1508,-172,152,164,301,153,2416,852,322,3015,3002,880,2687,1970,1684,-278,64,75,216,120,2127,657,245,2950,2943,893,2195,1654,1521,-174,-46,0,148,73,1902,581,214,2969,2961,926,1953,1424,1401,-170,0.903,0.88,0.893,0.926,2.122,2.687,2.195,1.953,0.9005,2.23925,1665,1528.5,-198.5,0.455693048,0.842924832,-0.622459601,-0.741932134,0.29056987
HOBO-053,567374,4899019,-36,13,167,104,1701,551,228,3005,2999,884,1791,1330,1217,-176,113,144,295,165,2059,763,296,3007,2997,851,2403,1731,1404,-256,9,47,188,114,1763,540,212,2942,2936,878,1967,1380,1252,-141,-90,-36,103,59,1415,438,187,2966,2961,919,1661,1060,1044,-148,0.884,0.851,0.878,0.919,1.791,2.403,1.967,1.661,0.883,1.9555,1375.25,1229.25,-180.25,0.070163993,-0.58841978,-1.447789922,-1.448239133,0.373464788
