SiteName,be10,tri,slope,aspect,Nss,Ess,twi,ht,ht.r250,ht.r500,ht.r1k,cov2_4,cov2_4.r250,cov2_4.r500,cov2_4.r1k,cov4_16,cov4_16.r250,cov4_16.r500,cov4_16.r1k,be500,mTopo,cut.r1k.pt,UTM_E,UTM_N,oldGrowthIndex,clearcut,elevation_f,canopyHeight_f,minT_annual,maxT_annual,precipitation_mm,distToRoad_m,distToStream_m,YrsSinceDist,insideHJA,B1_20180717,B2_20180717,B3_20180717,B4_20180717,B5_20180717,B6_20180717,B7_20180717,B10_20180717,B11_20180717,NDVI_20180717,EVI_20180717,B_20180717,G_20180717,W_20180717,B1_20180726,B2_20180726,B3_20180726,B4_20180726,B5_20180726,B6_20180726,B7_20180726,B10_20180726,B11_20180726,NDVI_20180726,EVI_20180726,B_20180726,G_20180726,W_20180726,B1_20180802,B2_20180802,B3_20180802,B4_20180802,B5_20180802,B6_20180802,B7_20180802,B10_20180802,B11_20180802,NDVI_20180802,EVI_20180802,B_20180802,G_20180802,W_20180802,B1_20180818,B2_20180818,B3_20180818,B4_20180818,B5_20180818,B6_20180818,B7_20180818,B10_20180818,B11_20180818,NDVI_20180818,EVI_20180818,B_20180818,G_20180818,W_20180818,nor.NDVI_20180717,nor.NDVI_20180726,nor.NDVI_20180802,nor.NDVI_20180818,nor.EVI_20180717,nor.EVI_20180726,nor.EVI_20180802,nor.EVI_20180818,mean.NDVI,mean.EVI,mean.bright,mean.green,mean.wet,mean.NDVI.scale,mean.EVI.scale,mean.green.scale,mean.bright.scale,mean.wet.scale,l_Cover_2m_max,l_Cover_2m_max_all,l_Cover_2m_4m,l_Cover_2m_4m_all,l_Cover_4m_16m,l_p25,l_p25_all,l_p95,l_p95_all,l_rumple
076361,1293.232666015625,1.41253662109375,10.124858164402983,166.83071245853353,-0.9737011667184837,0.22782896640037578,8.318987655279571,15.390000343322754,23.966780542081242,27.348488467474215,25.72579312402951,0.11115924268960953,0.0663007646044619,0.04964420002993866,0.05362353114612568,0.28010743856430054,0.1127771427303241,0.13500176860018584,0.13973844380104167,1324.653868794475,-31.421202778850102,0.09757489300998573,559380,4908110,5,yes,4242.602051,33.23974609,2.0599999430000002,12.31000042,2612.600098,39.67574415,800.4324215,43,no,-6,56,314,150,3844,1189,495,2999,2984,924,2135,2917,2808,-387,146,180,418,215,4365,1377,573,3004,2989,906,2409,3397,3129,-434,8,57,258,130,3404,1103,465,2949,2942,926,2178,2596,2489,-397,-78,-1,248,122,3535,1163,470,2983,2972,933,1995,2671,2608,-427,0.924,0.906,0.926,0.933,2.135,2.409,2.178,1.995,0.92225,2.17925,2895.25,2758.5,-411.25,0.934850587,0.540261654,2.769875555,2.256977915,-0.67578047,0.404955804347992,0.410142779350281,0.11115924268961,0.113080583512783,0.280107438564301,3.77999997138977,3.77250003814697,15.3900003433228,15.2399997711182,3.44257760047913
081090,971.75482177734375,3.0849380493164062,20.972818036953807,344.8953891094458,0.9654516635948552,-0.26058220442295466,7.565816285116206,14.84000015258789,21.206342578346753,25.470995411728367,26.293707399462015,0.0410010926425457,0.030119277979519177,0.028260558698210442,0.028121424249394487,0.8637806177139282,0.24801747760635554,0.22418995079242016,0.16407494904425224,975.6818006684263,-3.9269788910825127,0.30385164051355207,567429,4904826,1,yes,3193.590088,38.95996094,3.3099999430000002,14.06999969,2223.169922,55.92009946,343.8709441,28,no,-27,18,223,108,2621,629,217,2994,2989,920,2003,1907,1930,-63,118,133,293,152,2803,713,245,2998,2990,897,2437,2121,2011,-77,24,53,223,122,2627,602,209,2938,2931,911,2113,1915,1923,-34,-74,-29,139,67,2257,508,170,2960,2958,942,1902,1582,1699,-41,0.92,0.897,0.911,0.942,2.003,2.437,2.113,1.902,0.9175,2.11375,1881.25,1890.75,-53.75,0.830206986,0.209854352,0.376624473,-0.214791879,0.948051477,0.918466091156006,0.759116470813751,0.0410010926425457,0.0662373229861259,0.863780617713928,7.21000003814697,6.01000022888184,14.8400001525879,14.2799997329712,3.21345400810242
123545,1236.0965576171875,1.0487518310546875,7.823121847586992,118.4879691679062,-0.4769742178057606,0.8789172859539075,7.691187899051146,33.11000061035156,25.113546636277828,29.023417277590315,26.103355946528044,0.07926134020090103,0.08132582353581078,0.057132702168299895,0.06006283975549473,0.27821263670921326,0.09314771412926562,0.10550263103333932,0.13889651556014698,1256.6354388843442,-20.53888126715674,0.17917261055634806,559069,4906844,41,no,4056.288818,5.939941406,2.680000067,13.10999966,2321.899902,20.66578171,711.2952603,200,no,-18,33,224,123,2406,846,353,2978,2969,902,1969,1894,1730,-323,139,167,341,198,2931,1049,435,2989,2979,873,2382,2395,2043,-376,-1,41,208,120,2410,789,333,2929,2924,905,2027,1867,1740,-275,-74,-9,157,96,2137,733,301,2962,2956,914,1834,1641,1562,-280,0.902,0.873,0.905,0.914,1.969,2.382,2.027,1.834,0.8985,2.053,1949.25,1768.75,-313.5,0.411632584,-0.096592116,0.040148953,-0.049032169,-0.231781665,0.76449579000473,0.744324803352356,0.079261340200901,0.0721234902739525,0.278212636709213,10.2475004196167,9.72500038146973,33.1100006103516,32.4099998474121,5.6282057762146
124031,1011.751708984375,1.8206100463867188,12.812302200735742,190.12068451658612,-0.984439806166888,-0.1757221330228498,8.603201687671396,66.81999969482422,33.45938647157761,25.46695096796634,23.600842496515185,0.02372700534760952,0.03492550822442568,0.0535549739511671,0.0626001082701618,0.07029236853122711,0.2039697519544203,0.238576878750852,0.271581075694882,1047.2773938421021,-35.52568485772713,0.58830242510699,568830,4905948,27,no,3317.610107,20.67993164,2.200000048,13.40999985,2325.080078,34.84894743,308.894706,200,no,-40,2,145,88,1603,503,206,3006,3000,895,1789,1234,1158,-156,100,125,256,167,2019,730,312,3011,3000,847,2221,1683,1383,-258,0,44,172,117,1646,531,228,2948,2940,867,1893,1308,1160,-165,-92,-40,102,65,1474,448,186,2975,2967,915,1627,1099,1088,-144,0.895,0.847,0.867,0.915,1.789,2.221,1.893,1.627,0.881,1.8825,1331,1197.25,-180.75,0.02610353,-0.956659979,-1.536045796,-1.556104827,0.371193694,0.952190518379211,0.93615061044693,0.0237270053476095,0.0298333019018173,0.0702923685312271,31.8199996948242,27.3549995422363,66.8199996948242,65.5500030517578,13.1560678482056
128101,803.8458251953125,3.8285293579101562,23.207992346142333,286.2773366021813,0.28028703511583475,-0.95991623485905,2.834838824996362,18.308500289916992,24.344641817482284,29.057887973645283,30.102060602353394,0.05683690309524536,0.04212495747257377,0.03425085423976995,0.025344206149727475,0.7084019780158997,0.2400433644829608,0.1956351609433222,0.15503104119462027,739.302994543569,64.54283065174354,0.5158345221112696,562060,4898855,15,yes,2637.540039,46.67993164,4,14.98999977,2043.589966,78.92102043,1004.61157,42,no,-4,42,235,111,2223,633,227,3005,2998,904,2050,1693,1604,-131,146,151,310,153,2487,732,274,3008,2996,884,2566,1963,1747,-154,36,62,234,119,2170,615,225,2946,2938,896,2118,1665,1555,-123,-47,-6,166,76,1977,527,188,2968,2960,925,1917,1452,1459,-101,0.904,0.884,0.896,0.925,2.05,2.566,2.118,1.917,0.90225,2.16275,1693.25,1591.25,-127.25,0.494245953,0.45702928,-0.44939534799999997,-0.673068725,0.614200713,0.947830855846405,0.815191924571991,0.0568369030952454,0.0846762359142303,0.7084019780159,8.03750038146973,6.34000015258789,18.308500289917,17.7199993133545,3.6432991027832
129276,854.45526123046875,2.0388717651367188,14.994619187834735,262.7972519623756,-0.12538081752754707,-0.9921086889026444,NA,32.11000061035156,25.89613148910364,28.715425666479806,28.5517850365626,0.003160556312650442,0.01983540123618598,0.02023789135076113,0.030143195093939583,0.043155960738658905,0.15764127855913618,0.1810926287765988,0.19839542264871868,866.2949486512124,-11.839687420743644,0.437660485021398,566409,4905644,19,yes,2802.47998,90.16992188,3.539999962,14.31999969,2184.620117,60.06075699,236.7835545,55,no,9,59,255,163,2300,888,371,3015,3002,867,1883,1891,1610,-360,148,172,344,213,2688,1057,445,3021,3007,853,2311,2271,1840,-421,49,88,252,165,2348,863,356,2957,2948,868,2037,1913,1646,-325,-35,9,193,122,2245,783,309,2981,2973,896,1823,1754,1621,-286,0.867,0.853,0.868,0.896,1.883,2.311,2.037,1.823,0.871,2.0135,1957.25,1679.25,-348,-0.194198787,-0.295845374,-0.206691694,-0.029531027,-0.388487126,0.995230436325073,0.909518480300903,0.00316055631265044,0.0174403823912144,0.0431559607386589,22.9349994659424,18.9200000762939,32.1100006103516,31.0499992370605,3.70820879936218
130101,754.66998291015625,4.816154479980469,32.184912650445966,266.38707729351603,-0.06301561664762034,-0.9980125410326867,3.5399037253603707,46.650001525878906,27.844458448020646,33.42184066684887,30.194993321522222,0.025269929319620132,0.01580514514494114,0.024692562153535564,0.02958688265277104,0.21973352134227753,0.2152141560349214,0.1502238881367595,0.18434452968522233,684.6047410380836,70.06524187207265,0.451925820256776,561772,4899699,30,no,2479.62207,136.8269043,3.4400000569999998,15.06999969,2030.880005,27.95330285,559.1326869,200,no,16,50,229,127,2312,619,223,3005,2997,895,2023,1747,1668,-101,156,169,320,167,2611,779,273,3010,2998,879,2603,2065,1833,-158,45,79,227,120,2201,586,210,2944,2938,896,2233,1671,1581,-90,-45,2,171,84,2145,545,199,2963,2958,924,1955,1565,1584,-89,0.895,0.879,0.896,0.924,2.023,2.603,2.233,1.955,0.8985,2.2035,1762,1666.5,-109.5,0.411632584,0.662588022,-0.241856144,-0.505480782,0.694824537,0.892832517623901,0.851109027862549,0.0252699293196201,0.0315288528800011,0.219733521342278,14.2600002288818,13.9750003814697,46.6500015258789,45.9700012207031,6.58225631713867
130102,779.2979736328125,2.985076904296875,21.36912216459355,144.40855517322697,-0.8131876722215643,0.58200155476327875,4.819266201802485,48.07400131225586,31.096652324636914,31.902124899696933,31.449287035757887,0.005703740753233433,0.011655304672744948,0.02546499263520008,0.03318234485436444,0.16205334663391113,0.1286867446164201,0.1862307506479486,0.1725116073896051,706.2205694659305,73.07740416688205,0.38516405135520687,561523,4898458,43,no,2552.300049,48.48999023,3.200000048,15.35999966,2059.080078,29.37794725,791.8915596,200,no,-5,33,192,107,2036,599,219,3008,3001,900,1983,1552,1472,-143,165,181,331,182,2663,805,303,3014,3004,872,2585,2125,1858,-179,42,72,217,121,2297,625,231,2945,2937,899,2190,1738,1657,-116,-64,-14,136,71,1906,530,193,2970,2965,928,1881,1397,1414,-125,0.9,0.872,0.899,0.928,1.983,2.585,2.19,1.881,0.89975,2.15975,1703,1600.25,-140.75,0.439170374,0.441896121,-0.424573383,-0.649301707,0.552881185,0.982050001621246,0.963720381259918,0.00570374075323343,0.0079142739996314,0.162053346633911,28.9750003814697,19.9200000762939,48.0740013122559,46.310001373291,5.6903395652771
131067,989.51123046875,5.179786682128906,34.4364233231525,67.83655382586394,0.37725001877425934,0.9261114529768115,3.5215110913180063,11.82800006866455,20.925505172835088,30.381502289855227,30.05966550604382,0.13666784763336182,0.051847040721708364,0.03103251336806544,0.03827672674878227,0,0.19873842232535147,0.15605586851648542,0.16557173786830512,975.7036610881067,13.807569380643258,0.22796005706134095,560727,4904273,3,yes,3250.861328,23.80615234,3.779999971,14.13000011,2205.790039,29.13019392,534.1264758,32,no,2,54,260,120,2850,709,247,3015,3001,919,2155,2099,2085,-87,146,159,358,179,3170,879,319,3022,3011,893,2449,2448,2255,-154,30,65,259,135,2701,711,265,2960,2949,904,2121,2029,1956,-118,-50,-4,180,86,2458,596,201,2986,2982,932,1973,1765,1829,-73,0.919,0.893,0.904,0.932,2.155,2.449,2.121,1.973,0.912,2.1745,2085.25,2031.25,-108,0.709040712,0.516300819,0.764122919,0.282487251,0.701637818,0.747622430324554,0.70999675989151,0.136667847633362,0.136806234717369,0,4.65999984741211,4.55999994277954,11.8280000686646,11.7930002212524,4.5465931892395
134101,671.54632568359375,3.6624984741210938,25.631575768329256,328.950056881681,0.8567180309227438,-0.5157850477590995,3.818189841826058,24.16550064086914,23.853849463809322,27.574166656963534,29.015324801531897,0.030077848583459854,0.018716476968161085,0.021172583916924635,0.022906981794147234,0.3440670073032379,0.1848260289590619,0.18026346112958508,0.167260937711891,586.600993303638,84.94533237995574,0.5198288159771755,559836,4897180,4,yes,2199.550049,81.35986328,3.9400000569999998,15.93999958,2047.560059,64.29767924,374.4860737,1,no,70,123,338,289,2076,1203,605,3024,3011,755,1546,2032,1303,-695,211,223,412,306,2274,1278,623,3025,3012,762,2017,2234,1412,-702,95,133,341,262,2054,1074,520,2965,2956,773,1703,1948,1308,-566,13,62,270,235,1929,1051,540,2978,2972,782,1473,1814,1251,-608,0.755,0.762,0.773,0.782,1.546,2.017,1.703,1.473,0.768,1.68475,2007,1318.5,-642.75,-2.463312651,-1.95418737,-1.201638774,0.091741702,-1.727296822,0.984902083873749,0.908928990364075,0.0300778485834599,0.0687486082315445,0.344067007303238,13.0524997711182,8.5600004196167,24.1655006408691,23.1800003051758,3.35391640663147
