"RowNumber","SiteName","UTM_E","UTM_N","o","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi","TREATMENT_","class","e","ht","mint","maxt","p","r.d","s.d","YrsSinceDist","hja"
"1","SM-04",564940,4900934,47,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2825.98999023438,76.77001953125,3.58999991416931,14.5100002288818,2053.75,259.893207032497,413.47661586052,200,1
"2","HOBO-315",565090,4901358,54,0,2,NA,NA,NA,NA,NA,NA,NA,NA,3100.0400390625,160.820068359375,3.46000003814697,14.3800001144409,2008.75,113.289149246935,504.350660573312,200,1
"3","HOBO-308",565355,4900444,26,0,3,212,"USFS","WIL",NA,1953,65,"Clearcut",2,2599.169921875,47.75,3.58999991416931,14.5100002288818,2053.75,21.4007576545616,13.3859796048102,200,1
"4","HOBO-310",566025,4900660,5,0,4,198,"USFS","WIL","SNOWBRUSH",1982,36,"Clearcut",1,2803.30004882812,51.4599609375,3.58999991416931,14.539999961853,2137.42993164062,38.4012432987697,238.38526512356,200,1
"5","HOBO-312",566147,4901320,20,0,5,190,"USFS","WIL",NA,1963,55,"Clearcut",2,3014.669921875,100.52001953125,3.04999995231628,13.8900003433228,2197.8798828125,46.6275873364933,250.849541386298,200,1
"6","HOBO-317",565892,4901708,61,0,6,NA,NA,NA,NA,NA,NA,NA,NA,3094.669921875,163.43017578125,3.05999994277954,13.9099998474121,2165.8701171875,22.7553043726901,201.554914838846,200,1
"7","622337",564488,4892832,53,0,7,1044,"USFS","WIL",NA,1940,78,"Clearcut",2,1709.80004882812,114.279907226562,4.26000022888184,16.5900001525879,1839.18994140625,74.0106524142478,603.382598588362,200,0
"8","594580",562541,4893290,25,0,8,1485,"USFS","WIL",NA,1947,71,"Clearcut",2,1767.60998535156,130.130004882812,3.76999998092651,15.7299995422363,1987.22998046875,81.9606940613667,164.781749082482,200,0
"9","544292",562145,4894663,0,0,9,841,"USFS","WIL","MILL CREEK",1946,72,"Clearcut",2,2506.63989257812,81.4501953125,4.15000009536743,14.9700002670288,2099.65991210938,48.4884332932123,246.359964624622,200,0
"10","700239",563893,4892954,22,25,10,1028,"USFS","WIL","AMBUSH",1993,25,"Clearcut",1,1691.93005371094,35.2698974609375,4.26000022888184,16.5900001525879,1839.18994140625,46.5432736530954,1173.84041545741,25,0
"11","601725",561397,4893019,8,0,11,1043,"USFS","WIL","MILL CREEK",1962,56,"Clearcut",2,1829.72998046875,2.3599853515625,4.25,16.4500007629395,1852.25,26.8377790974532,241.617438020661,200,0
"12","647830",559534,4891481,48,0,12,529,"USFS","WIL",NA,1945,73,"Clearcut",2,1663.08996582031,128.280029296875,3.84999990463257,15.7799997329712,1825.19995117188,79.7838786533997,813.483391864866,200,0
"13","652934",558826,4891351,54,0,13,NA,NA,NA,NA,NA,NA,NA,NA,1508.67004394531,79.3199462890625,3.88000011444092,15.8699998855591,1841.58996582031,45.043863097676,744.967120325334,200,0
