"uniqueID","clearcut","insideHJA","oldGrowthIndex","elevation_m","canopyHeight_m","precipitation_mm","minT_annual","maxT_annual","mean.NDVI","mean.EVI","mean.green","mean.wet","mean.bright","l_p25","l_p95","l_rumple","B1_median","B2_median","B3_median","B4_median","B5_median","B6_median","B7_median","B10_median","B11_median","lg_DistStream","lg_DistRoad","lg_YrsDisturb","lg_cover2m_max","lg_cover2m_4m","lg_cover4m_16m","be10","tri","slope","aspect","Nss","Ess","twi","ht","ht.r250","ht.r500","ht.r1k","cov2_4","cov2_4.r250","cov2_4.r500","cov2_4.r1k","cov4_16","cov4_16.r250","cov4_16.r500","cov4_16.r1k","be500","mTopo","cut.r1k.pt"
"076361_M1_S1","yes","no",5,1293.1451051448,33.23974609,2612.600098,2.059999943,12.31000042,0.92225,2.17925,2758.5,-411.25,2895.25,3.77999997138977,15.3900003433228,3.44257760047913,1,56.5,286,140,3689.5,1176,482.5,2991,2978,6.68515335783482,3.6807652263788,3.7612233712371,-0.901510981591414,-2.18783560777277,-1.2690183390779,1293.23266601562,1.41253662109375,10.124858164403,166.830712458534,-0.973701166718484,0.227828966400376,8.31898765527957,15.3900003433228,23.9667805420812,27.3484884674742,25.7257931240295,0.11115924268961,0.0663007646044619,0.0496442000299387,0.0536235311461257,0.280107438564301,0.112777142730324,0.135001768600186,0.139738443801042,1324.65386879448,-31.4212027788501,0.0975748930099857
"081090_M1_S1","yes","no",1,973.4062588224,38.95996094,2223.169922,3.309999943,14.06999969,0.9175,2.11375,1890.75,-53.75,1881.25,7.21000003814697,14.8400001525879,3.21345400810242,-1.5,35.5,223,115,2624,615.5,213,2977,2973.5,5.84026933254586,4.02394175903413,3.33224022382318,-0.0839621130989856,-3.17005964573845,-0.145279425357506,971.754821777344,3.08493804931641,20.9728180369538,344.895389109446,0.965451663594855,-0.260582204422955,7.56581628511621,14.8400001525879,21.2063425783468,25.4709954117284,26.293707399462,0.0410010926425457,0.0301192779795192,0.0282605586982104,0.0281214242493945,0.863780617713928,0.248017477606356,0.22418995079242,0.164074949044252,975.681800668426,-3.92697889108251,0.303851640513552
"123545_M1_S1","no","no",41,1236.3568317264,5.939941406,2321.899902,2.680000067,13.10999966,0.8985,2.053,1768.75,-313.5,1949.25,10.2475004196167,33.1100006103516,5.6282057762146,-9.5,37,216,121.5,2408,817.5,343,2970,2962.5,6.56708902416906,3.02852766297439,5.29832236653554,-0.267231563566759,-2.5224672160408,-1.27578164869832,1236.09655761719,1.04875183105469,7.82312184758699,118.487969167906,-0.476974217805761,0.878917285953908,7.69118789905115,33.1100006103516,25.1135466362778,29.0234172775903,26.103355946528,0.079261340200901,0.0813258235358108,0.0571327021682999,0.0600628397554947,0.278212636709213,0.0931477141292656,0.105502631033339,0.138896515560147,1256.63543888434,-20.5388812671567,0.179172610556348
"124031_M1_S1","no","no",27,1011.2075606136,20.67993164,2325.080078,2.200000048,13.40999985,0.881,1.8825,1197.25,-180.75,1331,31.8199996948242,66.8199996948242,13.1560678482056,-20,23,158.5,102.5,1624.5,517,217,2990.5,2983.5,5.7330036988891,3.55105162874055,5.29832236653554,-0.047940480954305,-3.69985929869112,-2.64096599051297,1011.75170898438,1.82061004638672,12.8123022007357,190.120684516586,-0.984439806166888,-0.17572213302285,8.6032016876714,66.8199996948242,33.4593864715776,25.4669509679663,23.6008424965152,0.0237270053476095,0.0349255082244257,0.0535549739511671,0.0626001082701618,0.0702923685312271,0.20396975195442,0.238576878750852,0.271581075694882,1047.2773938421,-35.5256848577271,0.58830242510699
"128101_M1_S1","yes","no",15,803.9222038872,46.67993164,2043.589966,4,14.98999977,0.90225,2.16275,1591.25,-127.25,1693.25,8.03750038146973,18.308500289917,3.6432991027832,16,52,234.5,115,2196.5,624,226,2986.5,2978,6.91235724368043,4.36846028181506,3.73769342752374,-0.052524730350095,-2.85012824517841,-0.343332948352311,803.845825195312,3.82852935791016,23.2079923461423,286.277336602181,0.280287035115835,-0.95991623485905,2.83483882499636,18.308500289917,24.3446418174823,29.0578879736453,30.1020606023534,0.0568369030952454,0.0421249574725738,0.03425085423977,0.0253442061497275,0.7084019780159,0.240043364482961,0.195635160943322,0.15503104119462,739.302994543569,64.5428306517435,0.51583452211127
"129276_M1_S1","yes","no",19,854.195897904,90.16992188,2184.620117,3.539999962,14.31999969,0.871,2.0135,1679.25,-348,1957.25,22.9349994659424,32.1100006103516,3.70820879936218,29,73.5,253.5,164,2324,875.5,363.5,2998,2987.5,5.46715067495349,4.09537331604005,4.00735136688537,-0.00377668638538454,-5.48210648464738,-3.12002734997719,854.455261230469,2.03887176513672,14.9946191878347,262.797251962376,-0.125380817527547,-0.992108688902644,NA,32.1100006103516,25.8961314891036,28.7154256664798,28.5517850365626,0.00316055631265044,0.019835401236186,0.0202378913507611,0.0301431950939396,0.0431559607386589,0.157641278559136,0.181092628776599,0.198395422648719,866.294948651212,-11.8396874207436,0.437660485021398
"130101_M1_S1","no","no",30,755.788806936,136.8269043,2030.880005,3.440000057,15.06999969,0.8985,2.2035,1666.5,-109.5,1762,14.2600002288818,46.6500015258789,6.58225631713867,30.5,64.5,228,123.5,2256.5,602.5,216.5,2984,2977.5,6.32638859822968,3.33057113587396,5.29832236653554,-0.112236861824475,-3.63933036582428,-1.51079909079051,754.669982910156,4.81615447998047,32.184912650446,266.387077293516,-0.0630156166476203,-0.998012541032687,3.53990372536037,46.6500015258789,27.8444584480206,33.4218406668489,30.1949933215222,0.0252699293196201,0.0158051451449411,0.0246925621535356,0.029586882652771,0.219733521342278,0.215214156034921,0.150223888136759,0.184344529685222,684.604741038084,70.0652418720726,0.451925820256776
"130102_M1_S1","no","no",43,777.9410549352,48.48999023,2059.080078,3.200000048,15.35999966,0.89975,2.15975,1600.25,-140.75,1703,28.9750003814697,48.0740013122559,5.6903395652771,18.5,52.5,204.5,114,2166.5,612,225,2989,2983,6.67442572554147,3.38027833790497,5.29832236653554,-0.0170952937794373,-5.00508958701048,-1.81367785175714,779.297973632812,2.98507690429688,21.3691221645935,144.408555173227,-0.813187672221564,0.582001554763279,4.81926620180248,48.0740013122559,31.0966523246369,31.9021248996969,31.4492870357579,0.00570374075323343,0.0116553046727449,0.0254649926352001,0.0331823448543644,0.162053346633911,0.12868674461642,0.186230750647949,0.172511607389605,706.22056946593,73.077404166882,0.385164051355207
"131067_M1_S1","yes","no",3,990.8625327744,23.80615234,2205.790039,3.779999971,14.13000011,0.912,2.1745,2031.25,-108,2085.25,4.65999984741211,11.8280000686646,4.5465931892395,16,59.5,259.5,127.5,2775.5,710,256,3000.5,2991.5,6.28063452919801,3.37180955605661,3.46576715231146,-0.289520520930296,-1.98291139627544,-6.90775527898214,989.51123046875,5.17978668212891,34.4364233231525,67.8365538258639,0.377250018774259,0.926111452976812,3.52151109131801,11.8280000686646,20.9255051728351,30.3815022898552,30.0596655060438,0.136667847633362,0.0518470407217084,0.0310325133680654,0.0382767267487823,0,0.198738422325351,0.156055868516485,0.165571737868305,975.703661088107,13.8075693806433,0.227960057061341
"134101_M1_S1","yes","no",4,670.4228549352,81.35986328,2047.560059,3.940000057,15.93999958,0.768,1.68475,1318.5,-642.75,2007,13.0524997711182,24.1655006408691,3.35391640663147,82.5,128,339.5,275.5,2065,1138.5,572.5,3001,2991.5,5.9255572862067,4.16353909044163,0.000999500333083423,-0.0141982357267863,-3.47125997777504,-1.06401665674247,671.546325683594,3.66249847412109,25.6315757683293,328.950056881681,0.856718030922744,-0.5157850477591,3.81818984182606,24.1655006408691,23.8538494638093,27.5741666569635,29.0153248015319,0.0300778485834599,0.0187164769681611,0.0211725839169246,0.0229069817941472,0.344067007303238,0.184826028959062,0.180263461129585,0.167260937711891,586.600993303638,84.9453323799557,0.519828815977175
