PredictorCode,PredictorName,Description,Group,Used in model
ht30,Canopy height,canopy height in m derived from LiDAR data,Lidar - Canopy,
l_p25,Canopy height (25th percentile),"25th percentile height, for first returns",Lidar - Canopy,
l_p95,Canopy height (95th percentile),"95th percentile height, for first returns",Lidar - Canopy,
lg_cover2m_4m,Canopy cover (2-4m),"Log of vegetation cover for 2m to 4m, for first returns (+0.001 prior to logging)",Lidar - Canopy,y
lg_cover2m_max,Canopy cover (2m+),"Log of vegetation cover based on the proportion of total returns at least 2 m above ground, for first returns (+0.001 prior to logging)",Lidar - Canopy,y
lg_cover4m_16m,Canopy cover (4-16m),"Log of vegetation cover for 4m to 16m, for first returns (+0.001 prior to logging)",Lidar - Canopy,y
l_rumple,Rumple index,Rumple index (rumple) for first returns (rugosity of the canopy surface),Lidar - Canopy,y
gt4_250,Vegetation > 4m (250m),"Proportion of vegetation cover over 4m, in 250 m radius",Lidar - Canopy,
gt4_500,Vegetation > 4m (500m),"Proportion of vegetation cover over 4m, in 500 m radius",Lidar - Canopy,y
gt4_r30,Vegetation > 4m (30m),"Proportion of vegetation cover over 4m, in 30 m radius",Lidar - Canopy,
Ess30,Eastness,Eastness sin(aspect) - avoids circularity of aspect,Topography,y
be30,Elevation,elevation in m derived from LIDAR (bare earth tif) at 30 m resolution (equivalent to elevation_m),Topography,y
Nss30,Northness,Northness cos(aspect) - avoids circularity of aspect,Topography,y
slope30,Slope,"slope in degrees (calculated from be10, using raster::terrain() )",Topography,
tpi1k,Topographic Position Index (1k),Topographic position index over 1km,Topography,y
tpi250,Topographic Position Index (250m),Topographic position index over 250 m (central pixel - average elevation in surrounding window),Topography,y
tpi500,Topographic Position Index (500m),Topographic position index over 500 m,Topography,
tri30,Topographic Roughness Index,"Topographic Roughness Index (calculated from be10, using raster::terrain() )",Topography,y
twi30,Topographic Wetness Index,"Topographic Wetness Index (calculated from be10,  dynatopmodel::upslope.area(be, atb = T) )",Topography,y
LC08_045029_20180726_B1,Landsat B1,Landsat band B1 reflectance. 2018 07 26,Landsat - bands,y
LC08_045029_20180726_B10,Landsat B10,Landsat band B10 reflectance. 2018 07 26,Landsat - bands,
