"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.894552386469723,-18.0085522168225,0.451478375616904,5.03525509898218,0.268626749794604,0.564482654091645,0,0.672866589334153,-8.10681394794641,-0.422644605710654,2.59179395948764,0.100269784708441,0.223580031096941,36.8
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.778534273860256,-23.5347486356381,0.212638077577203,2.02374732474997,0.100990999489151,0.34774892045802,1.4,0.648922727822167,-7.05184432950377,-0.0178445709282727,1.51038580469974,0.0529510496161246,0.192445653558408,46.2
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.806713097075494,-22.5619023828519,0.258013136853593,2.45609767486687,0.129435470404011,0.393727463442021,1,0.664856744481057,-7.14813504861548,-0.0607880665911905,1.76491388285207,0.0633178178611299,0.210600507617163,40.4
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.780176859560988,-23.5326538512287,0.214000153637183,2.08887368061076,0.10126974797022,0.351124327465674,1.6,0.66063122599324,-7.03039900960448,-0.00928550824397623,1.67415463030011,0.0572842515804855,0.205854436503475,40
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.888736084075847,-18.4850235143557,0.431489441725871,4.60627826894715,0.241017744534121,0.549023353849773,0,0.669132475921114,-7.6855151813511,-0.250101092290151,2.17215906156319,0.0852031247422547,0.217938487952442,38.2
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.833521865974431,-21.4436421689376,0.312449264479412,3.20490893673043,0.179446325034473,0.445660375006001,0,0.646456795385663,-7.43139002229351,-0.126255175312042,2.51526757956204,0.0737436515991042,0.190533214244706,44.8
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.855457353778003,-20.4049709857545,0.350634525777153,3.3685060988107,0.191950665684496,0.477109536489823,0,0.668362226534919,-7.37245970943829,-0.143324266382174,2.10127484411159,0.0822357353015373,0.218615812270777,42.4
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.821790428533368,-21.9866434021636,0.287357192470037,2.89386360494848,0.161480895005485,0.423345652419541,0,0.645875828892657,-7.32521657588804,-0.0816300011493911,1.89635442101901,0.0665657186405939,0.188342466695324,45.6
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.847568013806794,-20.7295030613629,0.340649448615296,3.44019234327793,0.197117656974416,0.471301327577924,0,0.650242793898118,-7.52720855233352,-0.146170050634021,2.08403979695431,0.0793909435873516,0.198525057733411,43.8
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.890025993189152,-18.193010430166,0.442983183610974,5.05329998542037,0.265808482301691,0.555056807365889,0,0.656743646944843,-8.09835271207444,-0.367030262846643,2.55016013672564,0.0895764896221799,0.20144132659415,40.4
