"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.7,0.2,0.909907593479195,-17.077369351673,0.490201674655315,5.80090808464859,0.299741275174206,0.601500873038534,0,0.625481217453133,-8.13695500518828,-0.424717676819992,1.66783328165195,0.0624144193752777,0.158825693301257,49.4
2,0.6,0.6,0.5,0,2,0.4,"relu",0.1,0.5,0.730488204202278,-24.9307151067658,0.148873884607825,1.6080215577588,0.070681910900583,0.28537885985757,4.6,0.586806204423797,-7.15560343392546,-0.00127083868165686,1.20510781197244,0.0214131256934847,0.10875888542398,63
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.2,0.776274291312771,-23.8479221286028,0.199229266903535,1.89404039408259,0.0958374080818363,0.345888059153914,1.4,0.608762562362933,-7.17000212638413,-0.00584005107684697,1.19106214831579,0.0230364017203792,0.127771168413016,54
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.3,0.6,0.746533260561164,-24.9412457193223,0.143831392433579,1.50128716850421,0.0616594938485413,0.291408230671094,1.2,0.604721073327773,-7.17965983875965,-0.0165853757237027,1.16511842468416,0.0217636892862182,0.130362399589165,59.6
5,0,1,0.25,0,1,0.2,"relu",0.7,0.1,0.896353695386619,-18.0381590557295,0.450485299193947,4.65742392854145,0.256189617220849,0.568706827402451,0,0.629084443056236,-7.76536115912875,-0.253068854478824,1.5592418860409,0.054612277482374,0.162740710471419,51.6
6,0.8,0.2,0,0,1,0.4,"relu",0.5,0.3,0.81851296164071,-22.3228368136864,0.272221510726052,2.47765672650275,0.150277489003409,0.416917479806327,0.2,0.592893007640748,-7.51614408902937,-0.0902260069605,1.35906506902429,0.0399769795629669,0.123874637488413,58.6
7,0.2,0,1,0.75,2,0.2,"relu",0.4,0.7,0.874558980004541,-19.7253876042,0.381343921725198,3.4944729471776,0.214717477907674,0.508681755465646,0,0.627127494185126,-7.4742777456065,-0.128357113385119,1.46016285531374,0.0514665864710395,0.159370180672916,47.4
8,0.6,0.6,0,0.5,2,0.4,"relu",0.9,0.1,0.785733181683281,-23.3221937188181,0.224453785021573,2.15043239812944,0.115311791670951,0.363021552110826,0.4,0.588292653993313,-7.44445978588177,-0.0761895585721031,1.29330261380598,0.034603038549413,0.116564286564961,62.2
9,1,0.4,0,1,2,0.3,"relu",0,1,0.835162600721472,-22.9209215202683,0.270735711655343,2.22074010731205,0.17385458828392,0.436382117154625,0,0.59509126590602,-7.65243702147599,-0.0582191322494816,1.26413195057807,0.0451348028368836,0.130359400875545,63.6
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.5,0.908344166079936,-17.0481930050375,0.489358189837392,5.58588836571611,0.303566036410992,0.59918130788819,0,0.612647496278267,-8.24073419716105,-0.389037219415602,1.61990564010229,0.0575296380569792,0.144932006042307,51.4
11,1,0.8,0.25,0,2,0.4,"relu",0.2,0,0.726192253206982,-25.1078750884142,0.140835126501111,1.53881466886495,0.0662832864934997,0.271602810236852,2,0.585038734371644,-7.24210260544317,-0.028594803671709,1.14657549906993,0.017125229089215,0.0934391956533495,62.8
12,0,0.2,0.5,0,2,0.2,"relu",0.9,0.3,0.881788438777045,-19.244907738609,0.39932400805175,3.59727179418038,0.214857684152782,0.526184729126645,0,0.618096914422943,-7.77797905652746,-0.236875821903746,1.39072188778228,0.045578174944324,0.144972286079597,50.4
13,1,0.4,0,0.5,1,0.4,"relu",0.9,1,0.813159427752406,-22.5352612890298,0.262419118973051,2.41438335493587,0.146174699116108,0.40833915299574,0,0.591004746182535,-7.46907599382197,-0.0843830815503839,1.28476277576294,0.0369924984140189,0.117131254470267,60.8
14,0.6,0,1,0.25,1,0.1,"relu",0.2,0.3,0.91370506316465,-16.3998095873314,0.517926118546076,6.90298475987598,0.337135888659368,0.620146084666168,0,0.618815257936816,-8.65845140761523,-0.592713573401896,1.9618950100157,0.0673029750844251,0.153776577408446,54.4
15,0,1,0.5,0.5,2,0.2,"relu",0.5,0.6,0.878959723496473,-19.4006071735684,0.392410934282009,3.54149092518955,0.213403311092405,0.521155589159589,0,0.601721216985863,-7.87807288506395,-0.276955647821298,1.4735957108953,0.0468741799351313,0.134364412590535,56.8
16,0.6,0.4,0.75,0.25,1,0.4,"relu",0.4,1,0.772199343279058,-24.0606035973288,0.193392013738486,1.86672073954904,0.0981693855047265,0.342126682096992,1.6,0.597310822422595,-7.19767570839457,-0.00765824240424522,1.20744212817614,0.025955559731638,0.121981402822538,59.2
17,1,0.8,0.75,0.25,2,0.1,"relu",0.3,0.8,0.910649548975197,-16.9468374672724,0.494924389961338,6.15552142923432,0.313215469948274,0.603354788536654,0,0.627149229174788,-8.25293056270895,-0.39499724796463,1.64152543033949,0.0663802188599061,0.157611989206825,49.4
18,0.8,1,0,0.5,1,0.2,"relu",0,0.9,0.886196580117435,-19.4637505384889,0.404374700632133,3.54130990256091,0.267587178650607,0.539560534568054,0,0.593645881561931,-8.58443179455687,-0.400784306176604,1.33404959500265,0.0547741587139774,0.123167715038026,61.4
19,0.4,0,1,0.5,2,0.4,"relu",0.2,0.4,0.726477621643842,-24.9693599760955,0.142562934709709,1.50234014336322,0.0622162690264012,0.275080599005301,5,0.577800355735244,-7.23993944617712,-0.029732297194285,1.13076579554584,0.0177374416173739,0.0969120296033983,64.2
20,0.2,0.2,0.5,0.5,2,0.3,"relu",0.2,0,0.813230296414697,-22.4052607756328,0.262802476101157,2.28699462486367,0.132492977414574,0.399853422174665,0.2,0.622100098191461,-7.17767092036416,-0.0302453626957544,1.31126142931136,0.0394847974595038,0.151210436546005,51.4
21,0.6,1,0.75,0,2,0.2,"relu",0,0.5,0.833047707676396,-22.2478620656677,0.284025173246233,2.34408212969779,0.159291733993255,0.433203034110634,0.2,0.56707491014928,-7.7014382060806,-0.127528477450984,1.15394682951765,0.0237623766084984,0.0857369029116891,67
22,0,0.8,0,0.5,2,0.1,"relu",0.7,0,0.934504478766258,-14.9282833222798,0.574463278921835,8.48647998770497,0.385049331565282,0.681590210431375,0,0.613154910239206,-9.48233964510617,-1.03239233473342,2.44298154192803,0.0762703373885403,0.142429011463192,54.8
23,0,1,1,0.25,2,0.3,"relu",0.7,0.2,0.839827647920322,-21.5005281036817,0.302320861875375,2.54363133262641,0.148881797141555,0.445682663754772,0.4,0.60487391244946,-7.21846406480207,-0.0357355704656578,1.28722960898828,0.0341326775816212,0.133752408079382,59.2
24,0.6,0.2,1,0.25,1,0.1,"relu",0,1,0.837482034017163,-21.0505895362079,0.326390967796573,3.3641919748596,0.209421116617472,0.461306975996324,0.2,0.566960989938695,-8.24885634539401,-0.299005134818137,1.24006957704503,0.0343270023638869,0.0859776405971923,71.2
25,0.2,0.6,0.75,0.75,2,0.2,"relu",0.7,0.1,0.875376695471486,-19.7342935890677,0.380360590916988,3.46622729334003,0.208940707550571,0.511884498454313,0,0.635306688385494,-7.52944154657605,-0.163513597567359,1.49314532111903,0.0570091190619261,0.17152273116264,45.8
