"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.890108166903273,-17.8103943864909,0.443695861095371,5.1988802296102,0.26104901866943,0.554845649899108,0,0.655259695089278,-7.99873587864224,-0.455796213613191,2.614336328393,0.0910178169624248,0.195732229494553,44.8
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.769745110292592,-23.3245291676025,0.199281004774815,2.03809067632357,0.0970908224264269,0.336163654395738,2.2,0.617612271295016,-6.95026116832003,-0.00456323426932803,1.3895444227767,0.0392794998796593,0.149857225574487,51.2
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.814241454905755,-22.0190347419657,0.26117658336099,2.47112840457892,0.130082685389342,0.400597645053544,0.4,0.655399533917347,-6.97026422296013,-0.0257468455204105,1.81577497488451,0.0588993727082991,0.194819030894155,42.4
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.767157269088275,-23.4223490580787,0.190927902800282,1.90257245639027,0.0874169435491246,0.328474799353733,2.4,0.625603297488441,-7.0154735357995,-0.013800733600077,1.38039228780013,0.0363595971925708,0.157990971690538,47.6
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.886935889581841,-18.2166495749772,0.424789602644891,4.48474252155045,0.232738651087242,0.542882926180936,0,0.652350610400236,-7.76047763875833,-0.316943518112877,1.94462514219089,0.075739518550024,0.198664975091288,43.4
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.839764264734418,-20.6988910642515,0.323557494130015,3.36629679946779,0.187727093865775,0.455398630631573,0,0.636375700526131,-7.42242580838242,-0.142982844882111,2.14988743441316,0.0703601182433026,0.175388928334834,45.6
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.856685769473545,-19.9468016464396,0.352671118054449,3.48676441488369,0.190071740002691,0.47630101049653,0,0.65552731543392,-7.2542073499765,-0.118965036271882,2.01501023338054,0.0766708536063624,0.20397854562316,39.4
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.816725073639365,-21.7418942047875,0.2767733002291,2.73029459611656,0.154640088783271,0.416629609920326,0,0.627020201264536,-7.35993722564517,-0.105861666424655,1.66611800293247,0.0590421858538271,0.161494827411893,50.4
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.853211566409086,-20.0452650284019,0.351642848278709,3.76737613121724,0.201931912443326,0.480169626143211,0,0.642101233294446,-7.57325008803383,-0.224287046871004,2.08547126905891,0.0740546332878814,0.180949445978177,45.4
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.890569084081561,-17.807150234476,0.443272919271893,5.03874294321936,0.267286470441272,0.553965154761099,0,0.652490091296228,-8.09183225732612,-0.49792208939837,2.83070675858779,0.0866496128583098,0.194808219771578,44.2
