"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
910,0.6,0.8,1,0.75,0.002,1,0.3,"relu",1,0.2,0.843801326712983,-20.1341907245186,0.327641011041477,3.17209713863443,0.173141991928582,0.4539692414547,0.2,0.672296496203243,-6.97076412747089,-0.0724363802591131,2.13722884916239,0.0746917168476943,0.219137392356153,35.4
365,0.4,0.2,0.5,1,0.003,2,0.2,"relu",0.9,0.8,0.881503746706512,-18.5297728886352,0.397430451096594,3.93594619011833,0.220577847898539,0.523522163875825,0,0.672156925076106,-7.27524850958579,-0.187918122618375,2.14971063844951,0.0865212478853785,0.220298775212957,35.4
268,0.6,0,0.5,0.5,0.002,2,0.2,"relu",0.4,1,0.847581706871933,-19.8048995085915,0.341068281106018,3.4627929087124,0.180842577860851,0.462356010228492,0,0.671860606892436,-7.2663843985578,-0.183976752332258,3.29253623647862,0.0829479680345618,0.22432356485286,37.8
519,0,0.2,0.25,1,0.002,1,0.3,"relu",0.3,0.9,0.886647053857189,-18.6105451172282,0.394301185803481,3.82008513076275,0.206156917468871,0.531948938937544,0,0.670602998054741,-7.23477646456264,-0.204689450300784,2.02467061178187,0.0778849804921593,0.216514227654439,39.6
346,0.6,0.4,0.75,0,0.003,2,0.2,"relu",0.9,0.7,0.865650752604841,-19.1790432776184,0.369910470928046,3.63544213873335,0.20268473686372,0.490500251094039,0,0.670341200595217,-7.22439466391399,-0.152648405125675,2.08117495094466,0.0791838543473941,0.217901445165521,39.6
546,0.8,0.4,0.75,0.25,0.002,1,0.3,"relu",0.8,0,0.850177581262907,-19.9961439792456,0.333601053480989,3.19919516217559,0.173317476888214,0.464606661434491,0,0.669743226539479,-6.99652422237808,-0.0816830019038975,2.45501563590258,0.077641313579513,0.223005973117735,38.4
308,0.8,0.2,0.25,1,0.002,2,0.2,"relu",0.6,0.5,0.875677328756194,-18.8958802726582,0.382276608060643,3.70777977682796,0.211289958389687,0.513765062975061,0,0.669192272554931,-7.25083605211358,-0.204997372336072,2.15489259928153,0.086075644985952,0.220608969679382,38.6
650,0.8,0.2,1,1,0.002,2,0.3,"relu",0.8,0.2,0.82937472368637,-21.035012154511,0.285794304128506,2.67308145431398,0.141722275643266,0.426053605132427,0,0.669142591622619,-6.8204915735412,-0.0226345995492031,1.88723996181088,0.0663030959125107,0.218030644598592,39
271,0,0.8,0.25,0,0.003,2,0.3,"relu",0.9,0.5,0.847812833479538,-20.090733994413,0.326965264881931,2.95952747994158,0.164242560632301,0.455564070669332,0,0.668849353083759,-7.02030081637522,-0.103753534791627,1.86688173706544,0.0700600436329828,0.214954567864052,37.2
361,0,0.8,1,0.5,0.002,2,0.2,"relu",0.8,0.1,0.864424094471356,-19.1992876632761,0.367723952231518,3.52354432232815,0.195817352166444,0.489355687997294,0,0.668197262456285,-7.38287590239705,-0.256037408103479,3.44529389440794,0.080903283518032,0.220256155089031,36.6
