"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
990,0.2,1,1,0.5,0.002,1,0.2,"relu",0.7,0.2,0.869787002431806,-20.2857781584929,0.376753276741788,4.11310760447559,0.181189361151711,0.510111213710571,0.2,0.670142283875919,-7.80793808243457,-0.24285404701537,2.38414054515577,0.0695313673514988,0.216259647034446,39
496,1,0.8,0.25,1,0.002,1,0.2,"relu",0.5,0.1,0.882479726169606,-19.8377243984987,0.393773587253093,4.24259724725943,0.191368386700191,0.537850887678271,0,0.669921231775225,-7.62305871543166,-0.152202372979152,1.88705671340875,0.0651124048839283,0.211633265575144,35
443,0.6,0,0.75,0,0.002,1,0.2,"relu",0.5,0.5,0.865675315161829,-20.4762820270077,0.369125565262413,4.07859934227293,0.177922062799468,0.505027274493605,0,0.668655304474932,-7.67436500717526,-0.186955463592882,2.00942704956387,0.0641301635237613,0.205530327900995,36.8
913,0.6,1,0.25,0.25,0.002,1,0.2,"relu",0.9,1,0.869524167393115,-20.2730054254456,0.373882802848235,3.89061365010146,0.18275592857237,0.509472283791863,0,0.667387780055622,-7.65362861711735,-0.202046091987298,2.03018874252595,0.0701779210204063,0.213094019366661,37.8
789,0.4,0.2,0.25,0,0.002,1,0.2,"relu",0.3,0,0.856789242775231,-20.8269085409922,0.35015966114932,3.75760817164327,0.168684742483825,0.485984993151486,0,0.667310717271893,-7.56753578910966,-0.152824420420355,1.94744350491457,0.0657633554511684,0.206931070702994,39.2
956,0.2,0.4,1,0.75,0.002,1,0.2,"relu",0.1,0.5,0.867476596262918,-20.3300684010032,0.372022347344127,4.04241257979883,0.182196457282265,0.506448259720212,0.2,0.667241790219966,-7.75179955562246,-0.238567026472911,2.0336176415871,0.067460421868413,0.209320245016322,40.4
614,0.8,1,0.5,0.25,0.002,1,0.1,"relu",0.2,0.8,0.892214821702293,-18.6916452261593,0.439918217365396,5.52012522708882,0.235513164273227,0.562339268659087,0,0.66680916461151,-8.19160714947414,-0.419250563214809,2.32410283923489,0.078129851444083,0.207109899868673,39.6
70,0.2,0,0.75,1,0.002,1,0.2,"relu",0.1,0.4,0.873475321300218,-20.2514518654271,0.375885949593582,3.97980596002301,0.182294117444812,0.517579250406041,0,0.666789157841247,-7.56684975036442,-0.190685089106656,2.02552196916178,0.0681680922537587,0.214296049922555,40.2
641,0.4,0.8,0.5,1,0.002,1,0.1,"relu",0.7,0.2,0.908535610992632,-17.875085929163,0.475439395763199,6.44528917863348,0.256422849313045,0.601906539264357,0,0.666713078154529,-8.37808480592679,-0.462282865222316,3.05482973814908,0.0763798417252166,0.20599976671419,41.2
375,0.4,0.4,0.5,0.5,0.002,1,0.2,"relu",0.4,0.6,0.864997802706679,-20.5085586482583,0.362277676453277,3.84072193997668,0.176715857099962,0.500143924325823,0,0.666247816728283,-7.54935282514089,-0.16837436020645,2.00444286397716,0.0664458060804509,0.2099574201866,38
608,0.4,0.2,0.5,0.25,0.002,1,0.2,"relu",0.3,0.5,0.860775845400448,-20.6374892349845,0.358840086006825,3.95378785778496,0.174758197772435,0.491376016004264,0,0.665915118357663,-7.73393049336912,-0.219908247953431,2.10789898186634,0.0648528784580303,0.210996129304955,41.2
228,1,0.6,0.25,0.5,0.002,1,0.1,"relu",0.9,0.7,0.890328157844028,-18.88915323784,0.434754344460057,5.610780007671,0.230057238112057,0.561617394862891,0,0.665594555498424,-8.17485811018242,-0.347809432709053,2.825068838851,0.0710001746522971,0.199923567860659,38
196,0.6,0,0.5,0,0.001,1,0.1,"relu",0.1,0.8,0.8715831876216,-19.9792016322931,0.386740878530537,4.3295954600514,0.19498996226957,0.517705997164994,0,0.665453197520333,-7.91391677965854,-0.231482173468106,2.03646059849023,0.0693724405240399,0.208472336875646,37.6
61,0.8,0.2,0.5,0.5,0.002,2,0.1,"relu",0.3,0.5,0.875497500981782,-19.7330030057068,0.395306165210021,4.36799489097466,0.20207197425652,0.525771364633073,0,0.665351064905201,-7.89548889982426,-0.292018161858016,2.16755457590015,0.0682233621999612,0.202197452935382,38.2
769,0.8,0.6,0.25,0.25,0.002,2,0.2,"relu",0.1,0.1,0.826007942856906,-22.1662033622041,0.289106114861664,2.81178752955016,0.132826196048776,0.426968686639133,0.2,0.665212614991535,-7.29597750652197,-0.0788642105282815,1.71618971566603,0.0575452656023958,0.20553499830574,36.8
519,1,1,0.75,1,0.002,1,0.2,"relu",0.9,0.7,0.866685980870087,-20.4433897626384,0.366662524912468,3.88604711551397,0.177353267338276,0.50550063109242,0.2,0.665150297330019,-7.71489103459855,-0.201135523811395,1.90659236800171,0.0648356052774884,0.20362282114797,40.2
787,0.8,0,0.25,1,0.002,1,0.2,"relu",0.7,0.4,0.884436213625077,-19.7112451135747,0.399478522272478,4.32893976710887,0.196505154033713,0.543020130924531,0,0.665127529268596,-7.65433548411229,-0.179151963845348,2.0229958838332,0.0698053670100978,0.206101766627401,38.4
181,0.6,1,0.75,0.5,0.002,2,0.1,"relu",0.9,0.6,0.867664008615461,-20.2041684649558,0.37939369983665,4.26969456866975,0.188913334031759,0.507185974296715,0,0.664721864714443,-7.98138069757621,-0.283857011931047,2.15214058991328,0.0679465438225692,0.202424507857372,37.8
604,0.2,1,0.5,0,0.002,1,0.2,"relu",0.9,0.8,0.871433778200509,-20.1657765105976,0.379730746760019,4.09072345444021,0.188844073748657,0.51428890394779,0,0.664531115191506,-7.81410403923811,-0.253017895399454,2.0777179993329,0.0670379266583138,0.208384573456859,40.4
233,0.6,0.2,0.75,1,0.002,1,0.2,"relu",0.1,0.7,0.869122874452021,-20.3674178923393,0.370216948064033,3.94545856634296,0.177564146771448,0.511291367873474,0,0.664197331182667,-7.68252786262532,-0.18623950399535,1.95694378161633,0.0647332563366892,0.204805700019993,39.8
306,0.8,0.8,1,1,0.002,1,0.2,"relu",0.5,0.2,0.862661104243089,-20.6721381518858,0.357890133168386,3.78279207100695,0.171371451617955,0.496910945678547,0,0.664099157427369,-7.54301024285415,-0.164592608494116,1.89230258858016,0.0639857040754375,0.202726604336186,39.8
611,0.8,0.8,0.5,0.25,0.002,1,0.1,"relu",0.8,0.4,0.896432131419817,-18.5063181967316,0.451142493175852,5.86200341751253,0.242724640831656,0.577148353995395,0,0.663803392494983,-8.35897966667661,-0.410479416652176,2.09268023855494,0.0720214386839542,0.19311138457821,41
680,0.2,0.6,1,0.5,0.002,2,0.1,"relu",0.5,0,0.877594120447859,-19.6484225853031,0.399732905188143,4.41867713187869,0.207062180864064,0.528783528264843,0,0.663667208100133,-8.03172908496943,-0.358306415751243,2.10603486255004,0.0761604334209363,0.212858675975729,39.8
758,0.4,0.6,0.5,1,0.002,1,0.1,"relu",0.3,0.9,0.905141317942465,-18.1566502770738,0.465311563535492,6.09577786833583,0.247743321587939,0.594738167350779,0,0.663429252494202,-8.47380033202801,-0.50056678551867,2.30723383377867,0.0736845917338269,0.200747799757965,38.2
107,0.4,1,0.5,1,0.002,1,0.2,"relu",0.1,0,0.864479111145393,-20.573324140276,0.363430490432163,3.96149226849578,0.171669369756704,0.502542091788704,0,0.663333936543312,-7.69590902188606,-0.208563810173772,2.01948478510399,0.0643482387060431,0.207790882532856,40
313,0.8,0.2,0.25,0.5,0.002,1,0.1,"relu",0.4,0,0.890487429736787,-18.8440749993055,0.43701939708902,5.75620559129159,0.230897572335098,0.562411672279923,0,0.663021176443822,-8.46888081132461,-0.49221213372899,4.24219072525517,0.0753109718690482,0.212095244236687,40.8
380,0.8,1,0.25,0.75,0.002,2,0.1,"relu",0.3,1,0.878935526945097,-19.783484422761,0.399011130847271,4.6643126484549,0.196694424976176,0.53302722305463,0,0.662929287683774,-7.99331342594768,-0.272048111216046,2.10019674779716,0.071031652591322,0.204363589402382,38.4
765,0.2,0.4,0.5,0.75,0.002,1,0.1,"relu",0.5,1,0.890133064853608,-18.9236637737951,0.435023077233809,5.66008763409293,0.226814117161743,0.55941188923352,0,0.662666770718524,-8.48098436496746,-0.498739937281002,2.37709886534239,0.0698642479135463,0.19855454327389,39.4
834,0.4,1,1,0.75,0.002,1,0.2,"relu",0.6,0.7,0.850326220412749,-21.0421552404512,0.33865838779348,3.48951172596393,0.166607862302071,0.470599630365239,0.4,0.662573724378646,-7.54993886261583,-0.163730722901807,1.89792976398356,0.0635269945870752,0.200526416041023,40
739,0,0.6,1,0,0.002,2,0.2,"relu",0.9,0.7,0.849341385094399,-21.274998771356,0.331533935944055,3.2863728704299,0.150225987520899,0.466887271798602,0,0.662569366221731,-7.54244433087804,-0.152409380859868,2.33121076404246,0.0608036327441097,0.202286158901379,36.8
471,0.8,0,0.5,0.5,0.002,1,0.1,"relu",1,0.1,0.888198839836003,-18.9230039827403,0.432258261058921,5.47721972305533,0.231348345887892,0.556766087059985,0.2,0.661984188804152,-8.43426851627275,-0.498238644829907,2.4421034194042,0.0736711234820165,0.202311548004194,40.6
709,0.4,0.6,0.25,0,0.002,1,0.1,"relu",0.2,0.9,0.891644658297665,-18.7849054883612,0.438630098417147,5.67701149014477,0.233032475631007,0.56330468453159,0,0.661967002967548,-8.23414878478774,-0.365284807278235,2.37937162259392,0.0734251444556496,0.20311467970398,41.4
