"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
560,0.2,0.8,0.25,0.5,0.001,1,0.1,"relu",0.6,0.2,0.913358903590134,-16.8981081718623,0.50373706745507,6.64330706890735,0.308350055541635,0.615089946370651,0,0.672516860924683,-8.90172911388079,-0.697554549681019,2.95726801466746,0.0992727653160804,0.220530078764244,15.4
305,0,0,0.25,1,0.001,2,0.2,"relu",0.4,0.8,0.868026247037002,-20.370961798648,0.367155143425916,3.52993110660547,0.195530950388768,0.511143778998547,0.2,0.669413450986072,-7.59577393763362,-0.146409892398388,1.74073273230014,0.0788197811376036,0.216658683774851,14.4
70,0.2,0,0.75,1,0.002,1,0.2,"relu",0.1,0.4,0.914756851195475,-17.2569017948097,0.492578055207886,5.73011733313507,0.296270606925993,0.612967773241886,0,0.666807145386025,-8.47666157236955,-0.494196483790032,3.24473878123948,0.103781614600511,0.221577358094628,15.2
279,0.2,0,0.25,0.5,0.002,2,0.1,"relu",0.5,0.9,0.904093975124003,-17.3835489195257,0.485616872557408,6.0418809354272,0.303053822206564,0.5974898914285,0,0.666116437490489,-9.26747237671575,-0.817944113400383,2.78071543446322,0.104535360174201,0.212896063604853,15
725,0.2,0.8,0.5,1,0.002,1,0.2,"relu",0.4,0.5,0.909795911552324,-17.6905851202285,0.475972941697964,5.28359068689472,0.285169973307003,0.598640333184673,0,0.665258248403054,-8.72434326694841,-0.609868139179362,2.93220722049618,0.0964640452678478,0.217943180841494,15.8
272,0.6,0.6,0.5,0.75,0.002,1,0.2,"relu",0.8,0.9,0.89956006072324,-18.0122188821654,0.463822893321511,5.41188100043304,0.271120129361679,0.577219542419151,0,0.665022704497913,-8.76069331529776,-0.592271356481538,1.96661360102453,0.0897515311256561,0.201244812734293,14
436,0.6,0,1,1,0.002,1,0.1,"relu",0.3,0.9,0.92311429969643,-15.9093822052991,0.541047973330753,7.99367632255179,0.345453722270567,0.645735837385776,0,0.665012147277834,-9.57362530858176,-1.06766013410705,3.64448783892308,0.108799698083717,0.221582015468895,15.4
373,0.4,1,0.25,0,0.002,1,0.2,"relu",0.5,0.5,0.902115364659902,-17.9143016131808,0.465745991478936,5.28652946270813,0.277288045943448,0.582203091329467,0,0.66478445680983,-8.61447100831533,-0.558975747627857,2.06488856075379,0.0925412434623225,0.208655445876471,16.6
866,0,0.6,1,0.75,0.001,1,0.2,"relu",0.7,0.4,0.886770449918715,-18.9519413735493,0.42192809828952,4.19212553734259,0.234716690704746,0.547028178684817,0,0.664568960440635,-7.9228658428464,-0.262537341135676,2.11160126149585,0.0920373399365941,0.212973619104763,14.8
149,0.2,0.4,0.5,1,0.001,1,0.1,"relu",0.2,1,0.909307559187444,-17.1005090141811,0.494807365155759,6.28025205482357,0.303631340305065,0.60899005604997,0,0.663802552682304,-8.43334374341559,-0.420733489374742,2.3612527139735,0.103044095674214,0.208232259738742,17
422,0.4,0.6,0.5,1,0.001,1,0.1,"relu",0.2,0.6,0.913534049006794,-16.901586761081,0.502696867008249,6.20366700266868,0.304834653541988,0.619486476826557,0,0.662344016188622,-8.82822088454735,-0.592024510481242,2.20100714537078,0.0983167307242059,0.20494823416039,15.6
378,0.6,0.2,0.25,0.25,0.002,1,0.1,"relu",0.9,0.1,0.918558855425894,-16.1444426671055,0.529315269522142,7.33792063999723,0.339801474457672,0.631772274931649,0,0.66229033509781,-9.28432187315796,-0.86388259486924,2.49913758334291,0.104922928818088,0.212616080337414,15.2
956,0.2,0.4,1,0.75,0.002,1,0.2,"relu",0.1,0.5,0.910165341825182,-17.4285931443447,0.487606263466758,6.06895853101677,0.291286364468044,0.603439294590131,0,0.662209723724633,-8.80502795271362,-0.58301563306527,2.84195101327678,0.0966855611018224,0.212382808075046,16.4
631,0,0.6,0.25,1,0.002,2,0.2,"relu",0.3,0.2,0.904451357740522,-18.2223677684602,0.453544725872376,4.87725866584579,0.25424829930928,0.584233980485899,0,0.662101371749041,-8.29628598269047,-0.406699175768785,2.23220379344375,0.0849809694017172,0.201942277184923,15
262,1,0.2,1,1,0.002,2,0.2,"relu",0.4,0.6,0.880663813489151,-19.4203989921742,0.407404648656813,4.18687975206844,0.226998407848083,0.534653254064867,0,0.662083994385866,-8.33004278918264,-0.409578767801112,2.34714125881978,0.0886343951695637,0.214179358037413,16
