"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
544,0,0,0.5,0.25,0.001,1,0.2,"relu",0.5,0.4,0.860853976213837,-29.113163601748,0.447652827673493,2.40800434372241,0.294838868066182,0.601027155871118,0,0.690137525860707,-10.8707978106789,-0.187590616258091,1.62542419068721,0.15659931229604,0.312571629813073,3.8
741,0,1,0.25,0,0.001,1,0.2,"relu",0.8,0.5,0.868171564604243,-28.7203560233427,0.460401617873988,2.49801539203237,0.302926555365292,0.611219101613544,0,0.687042217995424,-10.768626133897,-0.139292522303047,1.66402477025395,0.151993698957191,0.30653048441068,5.8
907,0,1,0.5,0.5,0.001,2,0.1,"relu",0.8,0.4,0.854761554593892,-29.22875128116,0.444431551115356,2.50119352027688,0.302948740109596,0.592038782376162,0,0.687003124847073,-11.0873509156548,-0.313833270544303,1.74667904714921,0.156476438176763,0.306466565827773,4.2
164,0.4,0.6,0.25,1,0.002,2,0.2,"relu",1,0.2,0.869757324843988,-28.8008398084066,0.458844445797242,2.468143645232,0.303660404188421,0.615107587334476,0,0.686058880343314,-10.8791576759768,-0.167427035810941,1.59608957568322,0.141286170473429,0.296481943162974,4.4
525,0.6,0,0.5,0.75,0.001,1,0.1,"relu",0.9,0.6,0.880517376673735,-26.8873905473645,0.507327993226874,2.95350388278659,0.35435120147129,0.638199448481813,0,0.686039377219335,-11.5169901968673,-0.497808862383162,1.82227747286215,0.165841194858239,0.30258197247405,4.6
936,0.2,0,0.5,1,0.001,1,0.2,"relu",0.7,0.2,0.874513005532458,-28.509397680042,0.466278001221127,2.50569433646981,0.307222516319344,0.621949696059451,0,0.685873129047177,-10.8519715698662,-0.143894249188027,1.61618053221501,0.142740693403397,0.294100002322913,4.6
521,0,0.2,0.25,0.5,0.001,1,0.1,"relu",0.6,0.8,0.876949575747152,-26.865678908446,0.50482220075358,2.97372780985431,0.353821312289346,0.635024716151351,0,0.685508213012981,-11.3536223348172,-0.361842429676658,1.78841202871762,0.160924190067528,0.307678901982123,4
797,0,0.4,1,0,0.001,1,0.2,"relu",0.6,0.8,0.855988829023771,-29.3455993466541,0.442351739065707,2.43129121204253,0.293797732879592,0.591633780510339,0,0.68463633544923,-11.1810722512721,-0.365282148211502,1.63141453937156,0.146767666142714,0.299598448441486,5
51,0,0,0.25,0,0.001,2,0.1,"relu",0.1,0.4,0.857316739440106,-29.0216099224893,0.449899996751919,2.54127356373666,0.305894778831033,0.595240275554822,0,0.684438660624483,-11.2606209927688,-0.267794796554703,1.68944230995182,0.151188040723168,0.301000141382341,5.6
546,0.8,0.6,0.5,1,0.001,2,0.1,"relu",1,0.5,0.862318793664121,-28.8952031434658,0.453800059370055,2.50910791422278,0.305590068400877,0.605405260120163,0,0.684418373404704,-10.5756226851794,-0.00655382104855111,1.65662537875399,0.152666970026592,0.303754524038548,5.6
480,0.8,0.6,0,0,0.001,2,0.1,"relu",0.4,0,0.88065744028168,-27.0705490973459,0.504795665691209,2.821253840695,0.351829727829413,0.640813279719665,0,0.684407854166044,-11.4802782860354,-0.39613853111071,1.79661786935488,0.166249183870343,0.303745065367642,6.2
560,0.2,0.8,0.25,0.5,0.001,1,0.1,"relu",0.6,0.2,0.884792575590391,-26.2102853030302,0.522658210552864,3.08241040765294,0.369306951920594,0.648762579762818,0,0.684310081159077,-11.8089485466557,-0.574837572632604,1.74395568122998,0.162916134752988,0.295539933865709,4.8
