"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
366,0.6,0.4,0.5,1,0.001,1,0.1,"relu",0.4,0.1,0.921441290809596,-16.3298557286526,0.524939740689782,6.95251599716822,0.328349240857932,0.638557502373004,0,0.668938405417979,-8.68472851228841,-0.549846082903034,2.91214747905786,0.0953620420022184,0.205880759741465,15.4
800,0.2,0.4,0.25,1,0.001,2,0.1,"relu",0.2,0,0.886935637919606,-18.9710508599979,0.42550684463039,4.66193828250057,0.246252264006089,0.557028018681734,0,0.665990196290353,-8.13230490504762,-0.28151096580927,2.25106795388985,0.0828564426155117,0.216277822104704,15.8
719,0.6,0,0.75,1,0.002,1,0.2,"relu",0.7,0.5,0.916128181546025,-17.0964760545235,0.497563449655525,5.82208269636219,0.300440026186106,0.61388839773942,0,0.6651767651486,-8.50935621953023,-0.478163478693581,2.707405979037,0.0931831026170386,0.21225809063613,16.2
236,0.6,0,0.5,0.75,0.001,1,0.2,"relu",0.3,0.4,0.887631002949565,-19.0593709699657,0.420972278764218,4.30006825855473,0.238467875963948,0.547700582458318,0,0.662822666895319,-8.05175575265336,-0.310165180563452,2.45123497774513,0.0817387281059891,0.208325997266939,13.8
676,0.8,0.8,0.5,1,0.001,1,0.2,"relu",0.3,0,0.895425401976034,-18.7847689879729,0.431573905275258,4.24412548854763,0.244753544352775,0.563455585393336,0,0.6624414646232,-7.75539414292146,-0.210297357744664,2.39648837362301,0.0904215333991811,0.219092763401853,16
321,0.2,0.6,1,1,0.002,1,0.1,"relu",0.8,0.8,0.929099351115522,-15.4739519406334,0.553777603149803,7.73104830955422,0.356842537180929,0.65793488137393,0,0.662151747341423,-9.44569650536912,-0.786790581118001,3.50107054678261,0.0979092148111131,0.201306403711499,16.8
246,0.2,0.6,1,0,0.002,1,0.2,"relu",0.9,0.6,0.903153609491128,-17.7291822180818,0.473578677009744,5.58549254019228,0.27796462357948,0.58618006051955,0,0.661805013869375,-8.50640460749358,-0.4863756207075,2.36052033174328,0.0915073896861587,0.213228516512367,15.4
563,0.6,0.2,1,0,0.001,1,0.1,"relu",0.5,0.8,0.903675602826582,-17.3199654793894,0.485778427700187,6.41260059317435,0.302646563858662,0.598615568627586,0,0.660366886470257,-8.66666700731597,-0.542992985321734,4.18652418783119,0.0938703148949223,0.204052055291829,16
496,1,0.8,0.25,1,0.002,1,0.2,"relu",0.5,0.1,0.917820370476388,-17.0626337597938,0.499357100643086,5.7245733653746,0.303429066019648,0.621002888634872,0,0.659950777063697,-8.65511690767057,-0.518843200327698,3.51148267154441,0.093571257067621,0.213213158413879,14.8
425,0.6,0.4,0.25,0.5,0.001,1,0.2,"relu",0.8,0.8,0.886437824570407,-19.0934047737705,0.420073150928955,4.43349501446529,0.237647520582033,0.546871769579824,0,0.659881856599373,-7.9821856695663,-0.259025040535174,2.21463980321314,0.0846417576249706,0.213312575729597,18.2
878,0,0,0.5,0.5,0.002,1,0.2,"relu",0.8,0.2,0.922533414770709,-16.6221233055914,0.515875246397015,6.14279610880641,0.305840390897072,0.632833580018855,0,0.659864828866464,-8.94821817562132,-0.760510950062126,3.77679849051453,0.0966576518198315,0.202474910564709,16
281,0.8,0.4,0.75,0.5,0.002,2,0.2,"relu",0.6,0.9,0.873588436084588,-19.6391371272553,0.398041953223698,4.05600172712353,0.221701288830119,0.518985751125619,0,0.659862217361829,-8.13066424522443,-0.371689265814254,2.12889481375355,0.0810988232046435,0.208273859760122,15.6
