"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
424,0.4,0.8,1,0.5,0.002,1,0.2,"relu",0.9,0,0.879751007138001,-19.6960043162989,0.414864752248732,4.48965763346379,0.232130642927519,0.528833010626899,0,0.696899757428313,-7.67239485694759,-0.193697329391607,3.35139424902726,0.110930109864987,0.267414458452384,35.6
775,0.8,0.8,0.25,0,0.002,1,0.2,"relu",0.7,0.3,0.877488910705217,-19.9296620165552,0.405496788076579,4.38620473292751,0.226754708527285,0.52232983493949,0,0.696362688955722,-7.58480438543791,-0.161867535123003,3.25198384181544,0.107065468860178,0.258963890480176,34.4
127,0,0,1,0.25,0.002,2,0.1,"relu",0.6,0.2,0.887286230605803,-19.0732070936484,0.438397399461042,4.88866469463044,0.258727647033218,0.547766596003385,0,0.695164296589351,-7.89636538594016,-0.294458949764298,5.25456191428835,0.118437891911482,0.257401049778106,34
110,0.4,0.6,0.75,1,0.002,1,0.2,"relu",0.8,0.7,0.882946948173066,-19.6401786279509,0.416035585438223,4.27399449912618,0.235932348714104,0.536028605755627,0,0.692404904086223,-7.60678853115108,-0.177480964835,3.31773312583241,0.106207765764558,0.256936564997751,35
267,0.6,0.6,0.5,0.75,0.002,1,0.2,"relu",0.8,0.9,0.885899696634462,-19.4276519444899,0.42678169260024,4.67059929882761,0.240030299709873,0.542282664553947,0,0.691760647158092,-7.65319179941308,-0.168838816010974,2.82755514192227,0.105074236408716,0.252170077188155,34.4
469,0.6,0.6,0.75,0,0.002,2,0.1,"relu",0.2,0.7,0.885443767342268,-19.2784226588454,0.431136257639785,4.6249435311532,0.255443544022603,0.542447402117607,0,0.691364967772633,-7.78895113608168,-0.240439163468993,3.40689526914471,0.115130390715448,0.255216668998128,32
155,1,0,0.75,0.5,0.002,1,0.2,"relu",0.9,0.3,0.87428679750437,-20.1074897815196,0.399668236814222,4.06293446266209,0.228405938332278,0.517095446327956,0,0.691144579566174,-7.52433203502932,-0.13860441653595,2.95560301220281,0.103324362591411,0.251116704391689,37
65,0.2,0,0.75,1,0.002,1,0.2,"relu",0.1,0.4,0.889261871528009,-19.3552917852329,0.427043702609374,4.38927559283215,0.243571322376492,0.547471571861862,0,0.690888832646056,-7.60799695476075,-0.172542201002509,3.24764414649797,0.104704279843112,0.252742509167778,36.8
956,0.6,0,1,0.25,0.002,2,0.1,"relu",0.4,0.6,0.88258508111792,-19.3479942574272,0.428366915360874,4.74352964855306,0.248917161292072,0.538555278214758,0,0.690400087594645,-7.91949414745938,-0.299469746052901,3.24521430920342,0.110236418432867,0.255800324720334,35.8
208,0,0.8,0.75,1,0.002,1,0.2,"relu",0.9,1,0.892593667621577,-19.2322812312456,0.433916944004145,4.70515163842008,0.239315101333457,0.555311264240351,0,0.690304330084268,-7.7290024732182,-0.217539403983191,2.56647404244706,0.106727987573432,0.252450487350491,34.6
259,1,1,0.25,0.25,0.002,1,0.2,"relu",0.2,0,0.884538996502111,-19.5277769923321,0.42133838160132,4.34596911550149,0.242430249887606,0.537403514780146,0,0.690267918420899,-7.67233549601198,-0.189518826668181,2.9562818266981,0.10763946394375,0.245929470510058,34.4
366,0.8,0.6,0.25,0,0.002,1,0.1,"relu",0.4,0,0.899728330518321,-18.1716606933252,0.474445271825705,5.8458534168218,0.289175153195796,0.580273910121548,0,0.690099841532905,-8.39443308505633,-0.428041688648728,3.96663612606375,0.117423958292801,0.242510485519981,36.4
914,0.8,0.8,1,0.75,0.002,1,0.1,"relu",0.6,0.7,0.900955067236215,-18.0183329665606,0.479691961929599,6.68150706924037,0.2949146045232,0.582670524488284,0,0.689903605925203,-8.28640574590936,-0.425955867732554,3.28939195660096,0.122105333476377,0.249742666679248,36.8
715,0.8,0.8,1,0.25,0.002,1,0.2,"relu",0.4,0.5,0.876401408106385,-19.914630681492,0.405820851385875,4.16294225690222,0.22666815540752,0.521665009043525,0,0.68976175454979,-7.59035956182964,-0.1677804617436,2.74062200061771,0.10256281504083,0.249362548268122,36.8
224,1,0.6,1,0.25,0.002,1,0.2,"relu",0.1,0.1,0.879135590089216,-19.7500379622747,0.411760930419176,4.27576335780878,0.231518966712518,0.528618601091358,0,0.689680481733129,-7.72573606865533,-0.20355509610747,3.59163585948966,0.101620068744853,0.245893280328628,39.4
508,0.6,0.2,0.5,1,0.002,2,0.1,"relu",1,0.7,0.894715163674834,-18.7623433623023,0.449294574201296,4.87564668081819,0.269158889651424,0.564149278924689,0,0.689540014035687,-7.82229829202804,-0.232733101648351,3.60321197141264,0.119967567809795,0.255050813579982,36.6
216,0.2,0.6,0.5,0.75,0.002,1,0.2,"relu",0.3,1,0.875675305983243,-20.0028798107296,0.403477244234375,4.21487327497575,0.226057928796238,0.521398694336293,0,0.68919213084226,-7.63500782648818,-0.177576454917564,3.03108034526888,0.102990522787275,0.252659068797219,37.4
565,1,1,0.75,0.75,0.002,1,0.1,"relu",0.1,0.2,0.878612127914598,-19.3999223059334,0.425571212002629,4.90332410370349,0.255503381389392,0.531649124730534,0,0.688969280809308,-8.13050649125247,-0.453240222200475,3.62334851000685,0.114604734098089,0.247318344270288,37.4
962,0.8,0.6,0.5,0.75,0.002,1,0.1,"relu",1,0.6,0.890569059568039,-18.7093973941374,0.452177343093705,5.33659328734434,0.275101110248676,0.559567148022472,0,0.688965364087564,-8.02071206793203,-0.337592365080309,3.69402647551216,0.115242952255408,0.250380673735681,36
603,0.4,0.2,0.5,0.25,0.002,1,0.2,"relu",0.3,0.5,0.871311382802514,-20.3194416075312,0.389578436050395,3.96255481113454,0.217173393358796,0.510399994981823,0,0.688860877665165,-7.4976107740048,-0.10742563181705,3.74027023442507,0.0999848297069196,0.250088334814629,38.8
935,0.2,0.8,1,1,0.002,1,0.1,"relu",0.3,0,0.906572177408827,-17.69262226903,0.492557851202523,6.36531669994228,0.304052185782818,0.598748392385188,0,0.688777115968356,-8.24953305104336,-0.434289054058284,5.00554965762287,0.120252241589369,0.247694629983864,36
594,0.6,0.2,0.75,0,0.002,2,0.1,"relu",0.8,1,0.882238785182992,-19.4086647928956,0.425691432942103,4.66751273684774,0.250912892859149,0.536211768619401,0,0.688570676688929,-7.77870214623364,-0.217846031259877,2.89191868061447,0.109567992129948,0.245325519575838,35.2
518,0.8,0.8,0.25,0.75,0.002,1,0.2,"relu",0.7,0.2,0.886063875214028,-19.5220824364438,0.420248059016313,4.28835327645667,0.23949132753636,0.54088095613688,0,0.688503161178999,-7.59939402165381,-0.169881109351748,3.17601790719686,0.107100894643248,0.251864828436898,36
28,0.2,0,0.75,0.25,0.002,1,0.2,"relu",0.4,0.6,0.884413011164098,-19.5014180382834,0.421550573967261,4.40446272152531,0.241720245328849,0.536649321702411,0,0.688450695515513,-7.6370833279054,-0.20607706195354,2.57949612853413,0.103527273276159,0.249904389160429,35.2
