"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
767,0.6,0.2,0.75,0,0.002,1,0.2,"relu",0.3,0.1,0.874254259532017,-19.6868127184817,0.400187360218101,4.2205036019852,0.226354630996563,0.519742795170256,0,0.675739214787138,-7.76360237546642,-0.220529356997652,4.00774904161861,0.0949892967580874,0.225968435403431,38.4
501,0.2,1,1,1,0.001,2,0.1,"relu",1,0.1,0.843302545336649,-21.3001686667743,0.33259327509987,3.31075081324522,0.181371733460048,0.463336640931087,0,0.67531389799417,-7.35746294684963,-0.050202051195214,2.37072010043772,0.0878113871005722,0.226081063569154,39.2
249,1,0.6,1,0.5,0.001,1,0.1,"relu",0.3,0.7,0.873559970974217,-19.5644072949323,0.40525736221627,4.47098751878868,0.232238597471833,0.523249010635824,0,0.675161818093916,-7.94215817031013,-0.270848014572039,2.92901703723032,0.0966293453809526,0.225431312889508,38.2
385,0.2,0.2,0.5,0.5,0.002,1,0.2,"relu",0.1,0.1,0.8731817180113,-19.6790167999213,0.401588194557033,4.38245404225773,0.227264094334199,0.51882876609545,0,0.674718869297347,-7.73498709690459,-0.233547988052515,2.42390448007134,0.0941356400340126,0.224658900543266,39.8
610,0.4,0,0.5,1,0.002,1,0.1,"relu",0.2,0.1,0.900785117672103,-17.8735506797964,0.472486479992916,5.81778054220622,0.285490650835017,0.583248642793952,0.2,0.673839106890248,-8.34296403815082,-0.430604839747057,3.18285574197105,0.108462605466353,0.222188832749218,39.8
5,1,1,0.75,1,0.002,1,0.2,"relu",0.4,0.2,0.881730733145673,-19.3633686738671,0.413419988357269,4.33242940867773,0.231221385924019,0.533632665277636,0,0.673824371355266,-7.79713698866028,-0.245084011963188,2.79147611373738,0.0963054096649643,0.225672735137151,39.4
855,1,0,0.25,0.75,0.001,1,0.1,"relu",0.4,0.4,0.880401588676593,-19.377358401076,0.41230977847869,4.52301312388842,0.237935887027203,0.535474558269277,0,0.673802863095699,-7.86219696735525,-0.227524271184715,7.77346399301026,0.0950692749788605,0.225933681005143,38
523,0,0.6,0.25,0.75,0.001,1,0.1,"relu",0.2,0.8,0.881222871812466,-19.1636672539345,0.419735338521776,4.64359411358369,0.241239482445535,0.537913040314259,0,0.673016384582438,-7.96410183154404,-0.253317646148098,3.14075177393776,0.0972643333026065,0.227463182541802,39.6
415,0,0.6,1,0.75,0.001,1,0.1,"relu",0.2,0.3,0.866835016250324,-19.8599850077482,0.392458646359073,4.26053622452264,0.225028812957416,0.511751286505052,0,0.672205794397237,-7.85021285503471,-0.238885556279596,2.73919089960041,0.101159303058999,0.220288942120464,38.8
901,0.2,0,0.5,0.75,0.002,1,0.2,"relu",0.2,0.5,0.886326446149589,-19.1610921708802,0.421942868519633,4.45838548963049,0.238388054483351,0.541491186110779,0,0.671707546662541,-7.74730247630086,-0.201188652695756,3.13593178785459,0.0960911260819037,0.224641259502568,40.6
