"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.852488663374231,-23.4039346319926,0.347645531041293,3.48628578625441,0.183238213409371,0.4828017294903,0,0.680152140971164,-3.72965263207491,-0.228283255903132,2.99951015018593,0.0824156143990811,0.251663891614967,32.9
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.680876113727093,-29.2900506393191,0.103058447811162,1.47871081956082,0.0536407476855528,0.222205741586465,16.3,0.603331401221289,-3.56775834028113,-0.00297349227244122,1.28753701603312,0.0312175641835386,0.150745245403448,49.4
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.711697496152917,-28.5718704558285,0.135035867026194,1.67357759215465,0.0745289036621157,0.266239587739354,10.5,0.634535138051819,-3.57458501188393,-0.0246987003163772,1.4294358517539,0.045030260974626,0.191215502951225,40.8
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.681569880244932,-29.2878650753789,0.102230569018658,1.48901433731816,0.0555318370505776,0.223468447676495,17,0.6238246679571,-3.55157243132201,-0.0135456676037196,1.4184906402536,0.0365830556285793,0.179666162097895,41.5
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.846582877486881,-24.0276091091642,0.324143589814134,3.03711602608664,0.161097065452895,0.467824648491194,0,0.671522728692357,-3.72077145350903,-0.311417457252312,2.62064306989874,0.0749417390445132,0.248242100516479,36.3
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.770600504134935,-26.8701445876303,0.208967127234169,2.17676802605898,0.118208810750181,0.349762331206936,1.7,0.626877078833,-3.68088508780016,-0.112691618745362,1.71757880362508,0.0561438898759718,0.190350907865115,42.4
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.797519232107834,-25.8488470834396,0.249560143321396,2.42735931649809,0.125902165569539,0.387016507506937,0.9,0.663930749104223,-3.56743769791617,-0.0915283808186077,1.85073356767395,0.0648431452063791,0.236463672276714,36.5
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.751663288770542,-27.4963283926613,0.181796771561262,1.99187155427797,0.102596472398476,0.322649708723842,2.4,0.634109840800561,-3.65763834991614,-0.0764585801014268,1.57241609107329,0.0517423150457185,0.184593509161023,41.9
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.791809595111443,-26.0738117071863,0.24091363265631,2.43866457766324,0.132575439864742,0.381649140613817,0.7,0.64322124524975,-3.66815082983975,-0.107063014046011,1.9524172563945,0.064164515682442,0.210928789789765,40.5
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.849717100237314,-23.5026961342149,0.343653197502143,3.46658389503001,0.180899687418264,0.477112623479774,0,0.666861403913383,-3.70998823871799,-0.211929928889669,2.58378812088715,0.0727519360239504,0.236114196558155,35.1
