"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.87256255737585,-25.7477825690984,0.430439897514091,3.51557775817475,0.246374803086164,0.585486694653619,0,0.649476828648044,-10.4306895850409,-0.374949554018557,1.62917412850478,0.0848110838018231,0.219725668562005,13.6
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.772041576070883,-31.2652227391597,0.224941375529133,1.71475061348761,0.111397987085989,0.403156186739396,0.4,0.642311825516378,-9.15503476671279,0.0250217724042294,1.30865887732854,0.0550172872198669,0.215831264420493,14.6
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.802108903275098,-30.2827627778516,0.264095840275661,1.92963122484757,0.133944604362018,0.452777863765966,0,0.648110717958382,-9.14619764800439,0.00902543927170768,1.34035286847148,0.0585812936239836,0.221026335926119,13.8
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.774340798017997,-31.4462811718076,0.218448780560559,1.69766073504006,0.105796585230619,0.403328364241397,0.2,0.633628674481408,-9.24025152152382,-0.0146922285891146,1.26689122646994,0.0494767990369925,0.19757052756575,17.8
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.880381617076289,-25.5308412275345,0.433853355450081,3.32414305950056,0.236666705629826,0.600179522776563,0,0.671717032339419,-9.7512208708054,-0.188608299215685,1.69522679236533,0.0925697774794834,0.254383329516272,11.4
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.828356224427032,-28.5010075930628,0.328196483687596,2.40391801835698,0.184957825589861,0.500991587359459,0,0.647394598650404,-9.4210733294917,-0.0413771937916476,1.49380326807062,0.0797375965373872,0.212668440500712,15.6
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.850139401268778,-27.5748674723404,0.364919247285511,2.63679316627339,0.196768561497751,0.539322027773996,0,0.655608620263431,-9.62015840743535,-0.0918478210505835,1.53712269373982,0.0782064383600759,0.229482878969435,11.2
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.798175100007079,-29.883432489138,0.278331537671251,2.1090954035175,0.153496389820701,0.449780287425097,0,0.636418753860285,-9.49845122283655,-0.0675417740272475,1.41610123638842,0.0665896799062294,0.191344159964416,16.8
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.830596405052351,-28.3208919233821,0.334512993606447,2.47980414073292,0.185273437577087,0.50747050324369,0,0.640889690271157,-9.56885007386516,-0.0937470010976206,1.46753533212235,0.0733281764587633,0.199342647612467,15.6
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.880470015213724,-25.1838685711475,0.4448172909262,3.55647169505085,0.254979740762602,0.599598041686605,0,0.662853543678333,-9.96174531568185,-0.210297669928951,1.67887001249098,0.0926839242835991,0.238026850079059,11.4
11,1,0.8,0.25,0,2,0.4,"relu",1,0.9,0.769341032008143,-31.4367571499756,0.218840304142065,1.69983412162753,0.107682181446814,0.400709147095672,0.2,0.652096249012537,-9.11958039181715,0.0209362248429972,1.31851827752789,0.0570866004251748,0.223827340754711,13.8
12,0,0.2,0.5,0,2,0.2,"relu",0.2,0.1,0.859361305650012,-27.0092256967703,0.386272231599852,2.78796435169507,0.20211501094101,0.556451087517364,0,0.666238091385443,-9.52884201785219,-0.0972534038019528,1.5562936668545,0.0800370922550334,0.244527304028738,12.4
13,1,0.4,0,0.5,1,0.4,"relu",0.1,0.3,0.831877084885015,-28.3830584532283,0.331962251417708,2.40834173386449,0.186273294895339,0.50911993915782,0,0.64553672126513,-9.41873266907717,-0.0710128880535106,1.47734821689983,0.0778551713275644,0.21131423498753,15
14,0.6,0,1,0.25,1,0.1,"relu",0,0.1,0.853033953979779,-26.9935675616883,0.387797943459657,3.0550282418297,0.214973254202858,0.546874449555157,0,0.633345392154388,-9.90097786376391,-0.196721500325037,1.50266006025341,0.0669004446394093,0.198927899667189,17.2
15,0,1,0.5,0.5,2,0.2,"relu",1,0.8,0.854666933046665,-27.2448967874713,0.374659166260752,2.71784647551008,0.196786693009503,0.54734604196963,0,0.651504188724052,-9.74157910441918,-0.177645621592745,1.52344990405219,0.0768323216637734,0.222138857346731,13.4
16,0.6,0.4,0.75,0.25,1,0.4,"relu",0.2,0.7,0.798687466119954,-30.3678078255743,0.259096110199274,1.87867115998723,0.131543452441988,0.443563342538675,0,0.6492604961314,-9.14372269723562,0.00535252112721847,1.3278155394349,0.0597022424877416,0.22125666972427,12.2
