"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.874085551055843,-25.5779308013329,0.433428820901178,3.48317299496519,0.249608438757683,0.588580048120918,0,0.644137204296861,-10.413401508393,-0.361979335667238,1.68430041597683,0.0892571232415791,0.226282630641091,16.2
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.772407560982484,-31.4892565555363,0.218621555872883,1.71288816766758,0.106171449235973,0.398656851307908,0,0.630029212374522,-9.28221944720529,-0.0346384962532388,1.2790296267266,0.0489402741473383,0.196617775038635,16.4
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.805935175976462,-30.2722377607636,0.264364482111347,1.90714586110527,0.132748369611102,0.454080387390462,0,0.643846687660936,-9.23352517145918,-0.028095059999605,1.32482940195744,0.0560806370991688,0.217723429385508,13.6
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.775743649630519,-31.4290627578846,0.218134571232694,1.68432779391917,0.106461184731675,0.402734655400674,0.2,0.61827366491005,-9.19128092659526,0.00666893592517825,1.25283721429087,0.0449087461536407,0.185437411906343,17.4
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.878619613218734,-25.7094268509527,0.430813624622012,3.30363032583876,0.233549621510802,0.597464816907717,0,0.641464894076235,-10.144812315532,-0.298364162881782,1.59105662660267,0.0802714844729649,0.223779610689766,15.6
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.825275632471487,-28.8527205089545,0.319569473929646,2.35508019589117,0.173380152768526,0.496814358850821,0,0.642591357954448,-9.48712417975565,-0.0575164918961326,1.43794395857431,0.0730074653813742,0.208243022128189,15
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.856294900640164,-27.1734237242392,0.379535103376412,2.78060280521477,0.205081025596031,0.550989490084642,0,0.640730474904421,-9.94236331804691,-0.213841802622684,1.52669392130413,0.0725308912526787,0.219809570864366,15.2
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.801952266352638,-29.8068744152283,0.281246205230466,2.1029729894883,0.155173449785895,0.455113307468428,0,0.629611189938638,-9.53570026060245,-0.142564644841701,1.37972572466129,0.0653965798005639,0.187345724624444,16.8
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.836924661331167,-28.1511980186378,0.346388921280494,2.64721065703895,0.192822873254665,0.517194242020997,0,0.646523254233715,-9.72979216900355,-0.171923484462627,1.5407481622062,0.0803272001535062,0.215479133426186,14
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.885549268032891,-24.8121329196568,0.455868093978788,3.67911828486369,0.265632690849513,0.609970240142515,0,0.648377561199472,-10.3265637883144,-0.316593013578315,1.68433862067936,0.0902130711213567,0.222914621560207,13.8
11,1,0.8,0.25,0,2,0.4,"relu",1,0.9,0.773696644920194,-31.4801499503099,0.219301878560237,1.69179920266805,0.106273188147914,0.402670700702415,0.2,0.638103182814971,-9.30720892835898,-0.0286362536727426,1.29661734270185,0.0535500989804495,0.203063344985598,15
12,0,0.2,0.5,0,2,0.2,"relu",0.2,0.1,0.855805266523518,-27.2025347622176,0.37983441105409,2.76136575369588,0.200119094174634,0.55017698597339,0,0.651779312947189,-9.95408004709764,-0.235629004386534,1.54639165285504,0.078047130351648,0.232243638184857,13.4
13,1,0.4,0,0.5,1,0.4,"relu",0.1,0.3,0.820499616688833,-28.9205565589669,0.31394406330292,2.31986190846562,0.175643867014322,0.488819405687569,0,0.633266906677907,-9.50792676217745,-0.0670165081568805,1.43897450604224,0.0718424062111774,0.197563476143914,16
14,0.6,0,1,0.25,1,0.1,"relu",0,0.1,0.841172216522917,-27.6475254573703,0.363966624380351,2.76206600063164,0.198626374347268,0.522663654860419,0,0.609339525647969,-10.499647947244,-0.416603988992542,1.38915364101938,0.0535119872992057,0.161060927682359,20.2
15,0,1,0.5,0.5,2,0.2,"relu",1,0.8,0.853658822676549,-27.2715738841731,0.37832828770646,2.75880709251176,0.197474068863396,0.547805438192543,0,0.651605630552287,-9.85068510933078,-0.174790218795073,1.58100209157437,0.0778584362341261,0.234277729035442,14
