"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.864527173937613,-22.1926126379166,0.379719195612877,3.69872543820992,0.232214902590065,0.504145484888806,0.1,0.671289725594406,-3.80742081089702,-0.502527314482689,2.76138194764637,0.104675161748074,0.243525525945574,36.2
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.697842635724467,-28.7659606025172,0.12258086093994,1.54746493073575,0.0726912227001665,0.244318582260944,13.1,0.61449287690109,-3.57392340892949,-0.0262090585223123,1.33485070907172,0.0434509806827304,0.161779346747741,43.2
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.738195101372908,-27.7051808684545,0.167262593098399,1.77738747335641,0.101098265144584,0.301773971379021,7,0.63403088181047,-3.56529001916891,-0.0457036674533139,1.46725490581714,0.0525775983146632,0.189498294129197,42.6
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.708183243540065,-28.5332744996911,0.130882958364808,1.55003853311288,0.0768612802979618,0.257574608617574,8.2,0.619989776030885,-3.58512409231313,-0.0393593996246543,1.35209513073675,0.0459808014798995,0.169572747072973,42.9
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.857336527371747,-23.0599723155208,0.347020403165562,3.0442727259243,0.199342879171443,0.483548823430174,0,0.67438740495743,-3.67031664338372,-0.378843903989482,2.07466014920707,0.0907190197907945,0.248703803484519,34.1
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.78273973753539,-26.31261959303,0.228317950810056,2.23527476539138,0.14838931416532,0.369874341662468,2,0.643404238848574,-3.670489668693,-0.110252592627488,1.69959073258127,0.0711883942228137,0.20848447924125,39.8
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.813044435537883,-24.8373293386482,0.277757411954813,2.56804997816237,0.161636687556968,0.410427383118251,0.7,0.669493987469555,-3.50865300734908,-0.0767023377920892,1.85335783216728,0.0801766613841999,0.242803067483417,36.6
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.767398569047587,-26.7589344693056,0.207710546245879,2.11527974520556,0.131254656614355,0.346076548415177,0.7,0.638040932340368,-3.65492160656085,-0.092341793883248,1.60578064748387,0.0597821408600333,0.196449219337636,40
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.802261685817673,-25.2855912973974,0.262918033770048,2.52666707717927,0.160265981164076,0.398911390181809,0.7,0.637040859347507,-3.74813754625076,-0.203714921927567,1.97108440092544,0.0750397840856804,0.201989787458798,43.5
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.856027263438682,-22.5996858516753,0.364245856777407,3.53805494210753,0.2195231434847,0.48814631272885,0.1,0.673165098286624,-3.68344617312273,-0.241624786229783,2.94238642772829,0.0984381857921623,0.248092473648737,34.4
11,1,0.8,0.25,0,2,0.4,"relu",1,0.9,0.719949327670803,-28.3503070691692,0.142171275273545,1.5900491535142,0.0813415382674576,0.273978793395506,7.8,0.627012856659901,-3.60685733337877,-0.107030225146461,1.34235972821189,0.0455625821431346,0.174951351342331,43
12,0,0.2,0.5,0,2,0.2,"relu",0.2,0.1,0.838449379621916,-24.0062513212457,0.310591667057939,2.74092211731848,0.171625079295074,0.44754841363708,0,0.684967759402036,-3.47185408319144,-0.0522751581525329,2.0284808947422,0.0892998652553038,0.270337309595136,34
13,1,0.4,0,0.5,1,0.4,"relu",0.1,0.3,0.789854526505078,-25.9905035600475,0.240429473172754,2.34542746792281,0.154317934482074,0.379899628744365,1.4,0.634436134823782,-3.66404282473833,-0.0981148672825954,1.74796884568211,0.0686091945372376,0.198577363562976,41.7
14,0.6,0,1,0.25,1,0.1,"relu",0,0.1,0.792954321642632,-25.2178946404501,0.264925180634653,2.63189206459779,0.159389829354955,0.387888034942289,3.6,0.631192171951767,-3.78994277552768,-0.26479852459016,1.84729567575029,0.0668270057392403,0.185816923581907,44.3
15,0,1,0.5,0.5,2,0.2,"relu",1,0.8,0.840392880984537,-23.8698147180919,0.314940731052028,2.76473207320267,0.174659509452186,0.452153443340572,0,0.673395342195195,-3.57224516272987,-0.219746292304898,1.96029472187117,0.0826535540488816,0.247553958326389,33.2
16,0.6,0.4,0.75,0.25,1,0.4,"relu",0.2,0.7,0.740778530366585,-27.7719457196159,0.167971847733715,1.76901127934978,0.100920426960398,0.302866030555009,4.5,0.639049573501556,-3.55406870147877,-0.0542372554007289,1.50890841073827,0.0591445126069827,0.203223120012257,40.5
17,1,0.8,0.75,0.25,2,0.1,"relu",0.5,0.3,0.855444181088256,-22.685118421516,0.360754916795102,3.43847872469508,0.216803872468166,0.484419805555007,0.3,0.664342803848383,-3.78766671825146,-0.379073921084638,3.15066039843616,0.0991330774319116,0.24286772441832,38.1
18,0.8,1,0,0.5,1,0.2,"relu",0.7,0.7,0.863224226835055,-22.4205535083716,0.373095480254043,3.52215638035745,0.236983788021687,0.50356012905868,0.2,0.659334309365685,-3.87144591284613,-0.354429331262732,2.37053610488535,0.0924654574772805,0.225046945131584,39
19,0.4,0,1,0.5,2,0.4,"relu",0.2,0.5,0.710347355567652,-28.5115096878736,0.133319906950497,1.57784460735297,0.0775617314462778,0.261448493801414,10.3,0.607662158170692,-3.5918770761394,-0.0442401667438881,1.31271042230277,0.0383399856327413,0.156769010321693,47.3
20,0.2,0.2,0.5,0.5,2,0.3,"relu",0.6,0.6,0.767040327849309,-26.7496692950813,0.204188991361666,1.96870893818934,0.117057061204238,0.339075322149315,2.2,0.647556145135625,-3.50944853333628,-0.0207574647375074,1.53307100334781,0.06472936917621,0.215855841523656,41.1
21,0.6,1,0.75,0,2,0.2,"relu",0.5,0.8,0.820921974341441,-24.5657780919959,0.288561944795801,2.65032744113788,0.165423939927271,0.422389002388363,0.3,0.678858961491466,-3.46960396662582,-0.0266378889947216,1.96486415465985,0.0819692856911365,0.255004069048491,33.2
22,0,0.8,0,0.5,2,0.1,"relu",0.8,0,0.895028170564918,-20.2562070426126,0.452169929389567,4.79700717342266,0.286951934110427,0.572222684165973,0,0.662044399219257,-4.04875627330774,-0.589897104353601,9.07203740900067,0.100134550460569,0.231641087182071,37.1
23,0,1,1,0.25,2,0.3,"relu",0.1,0.5,0.80408151297929,-25.5270899746696,0.249478669693803,2.18832745667257,0.129549704176807,0.388865315597181,0.3,0.661867494756102,-3.48414000312004,-0.0401790922678378,1.62889538261591,0.0648185017227206,0.229650083477546,36.4
24,0.6,0.2,1,0.25,1,0.1,"relu",0.2,0.2,0.870316864753829,-21.807285541313,0.395113811652823,3.95227948077777,0.247028366209738,0.516273912855757,0.1,0.665500000011855,-3.94613846845532,-0.531968184828315,3.49380115341697,0.102386374938532,0.238076853815579,36.9
25,0.2,0.6,0.75,0.75,2,0.2,"relu",0.3,1,0.808441506669377,-24.9804593017917,0.270453246007178,2.49272524757179,0.153669474912929,0.403998408466243,1.2,0.664546894639671,-3.61321077704098,-0.172289770577084,1.79194150470193,0.0776026611378917,0.229143053883499,34.5
26,0.4,0.4,1,1,1,0.1,"relu",0.3,0.1,0.865830479544204,-21.9809889733738,0.387177576571147,3.85730744346719,0.244144077701925,0.511608929551452,0.1,0.67676276390119,-3.90139089224162,-0.571650822877281,3.1924693890154,0.105654434209731,0.252712427977025,35.1
27,0.8,0.4,0,0.25,2,0.2,"relu",1,0.6,0.844149513250161,-23.5029787508315,0.333993845989683,3.10001939990054,0.211387202640862,0.467242473414792,0.1,0.654076641193395,-3.78803901855173,-0.264838091950593,2.02128433695146,0.0898479523045573,0.222902751034342,38.4
