"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0,0.666666666666667,0,0.666666666666667,1,0.3,"relu",0.9,0.2,0.899379233934608,-17.787231546778,0.446478274335968,4.92597652307638,0.253145097839515,0.573250815395591,0,0.645706739266257,-7.90724631235658,-0.412531785045342,2.03634254271253,0.0783353998917714,0.18535146371623,42.8
2,0.333333333333333,0.666666666666667,1,1,1,0.1,"relu",0.4,0.5,0.903052606260773,-16.9117582048501,0.478379990057378,5.87205626445899,0.296269612945469,0.587681436879488,0,0.642263270696131,-8.3554107761468,-0.617145829664118,2.6026638353314,0.0827303730797133,0.177784828276858,43.8
3,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,2,0.3,"relu",0.1,1,0.815268471409119,-21.7085701543371,0.272306579233036,2.53457498370771,0.136910494834003,0.405425626607023,0.2,0.659634422905183,-7.02498300654297,-0.042983496127217,1.7414794603918,0.0707256199696901,0.206281408867261,41.6
4,0.666666666666667,0.333333333333333,1,0,1,0.2,"relu",1,0.3,0.875017896726801,-18.9109062383406,0.39654065306719,4.03647104965907,0.22372416581356,0.515458759893292,0.2,0.660465922287459,-7.46284335778465,-0.221430561094832,2.85436354631777,0.0842032226353743,0.210683513549382,43.8
5,0.666666666666667,0.666666666666667,0,0.333333333333333,2,0.4,"relu",0.6,0.8,0.818392545515259,-21.6365902090713,0.282266714486115,2.85698052999624,0.155848419733237,0.418799050568837,0,0.629202136074814,-7.32317293678591,-0.109228979411633,1.68629824295369,0.0553131265434105,0.163568172180383,50.6
6,0.666666666666667,1,1,0.666666666666667,1,0.4,"relu",0.5,0,0.804401140092618,-22.3229632598888,0.245616592449551,2.29232294179027,0.119199117968304,0.386508951474875,1.2,0.643069669823949,-6.92547000009751,-9.48635656629049e-05,1.60439565454277,0.0541952739762935,0.191119864155239,45.4
7,0.666666666666667,0,0.666666666666667,0,2,0.3,"relu",0.6,0.8,0.822455046955566,-21.4454971702165,0.283869673838691,2.57610767125794,0.143918203259645,0.415945104003254,0.4,0.661952474091415,-7.04052574976235,-0.0695138852603282,1.72248449891117,0.0690100280207609,0.207171351755234,41
8,0.333333333333333,0.666666666666667,1,0,2,0.3,"relu",0.7,0.1,0.82460649861447,-21.4976403028464,0.282703199649789,2.57704278503593,0.141633702543505,0.418463227795723,0.2,0.658181596397356,-6.99350884842289,-0.0439774705051486,1.72340716093205,0.0646168365541054,0.207788256154288,41.6
9,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0.2,"relu",0.3,0.1,0.88171073832136,-18.4470676165438,0.416501503052204,4.47071658594519,0.236557370958864,0.531048256148736,0,0.668996593205729,-7.51882373139804,-0.264327472406921,2.12101113647571,0.0863738234693926,0.215124538259435,37
10,0,0.666666666666667,0.666666666666667,1,1,0.3,"relu",0.5,0.1,0.882568275313497,-19.1124515392537,0.38600656602384,3.5022165508624,0.199131078316372,0.522254967331746,0,0.654250480280059,-7.29828781018586,-0.170794522189146,1.87060022499235,0.0723938072666939,0.204159482739118,40.6
