"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
211,0.8,0.6,1,0.5,0.003,2,0.2,"relu",0.5,0.9,0.861587280401629,-19.9119943345073,0.355337067386436,3.71967152917675,0.169934077179888,0.486883444655528,0,0.669284764076801,-7.19676079059322,-0.139924824679766,2.68621082502688,0.0694209454794758,0.223192165423348,36.6
721,0,0.4,0.5,1,0.002,2,0.2,"relu",0.4,0.2,0.872103251870522,-19.6653097550583,0.366679093418739,3.73290187903396,0.170496590358858,0.508796967914594,0,0.669214152010286,-7.18426645109721,-0.134352866872547,2.08804982886706,0.0677941829792927,0.223066904899887,38.2
325,1,1,0.75,0.5,0.002,1,0.3,"relu",1,0,0.829913869618714,-21.1544561697525,0.29489030714681,2.96854023122,0.13493547113091,0.431411023108458,0.2,0.669171298480189,-6.97397237717307,-0.0533497992110592,2.43579711613212,0.0630772702029752,0.217773789002752,36.4
823,1,0.8,0.75,0,0.003,2,0.3,"relu",0.8,0.6,0.819927854737259,-21.6421426144444,0.274304018775313,2.82481825872391,0.122485005612363,0.414097555431478,0.2,0.668775241191348,-6.85041459537901,-0.0101789049601907,2.19178442475979,0.0548031154323169,0.217610387104562,37.8
269,0.8,0.6,0.25,0.25,0.003,2,0.2,"relu",0.2,1,0.852239522436053,-20.3979132334917,0.336144830625593,3.5250961649041,0.153819543607251,0.469803883784865,0,0.668612983907263,-7.28854124003607,-0.168358165387674,2.1535183861214,0.0675178330806065,0.217797830808794,38.6
31,1,0,0.25,1,0.003,2,0.2,"relu",0.1,0.7,0.881087717586876,-19.3483162034735,0.38164749030349,4.06999969630836,0.17793130438703,0.527428946126504,0,0.66824283246671,-7.22637023962189,-0.117145111827878,2.46188219560136,0.0658521536455957,0.218583466186907,38
607,0.4,0,0.25,1,0.003,1,0.2,"relu",0.8,0.9,0.889034799316802,-18.6585792551825,0.413884429462654,4.744655280879,0.201770301895737,0.550139003814042,0,0.668178927991442,-7.53692962276316,-0.202660732196142,3.45064394040672,0.0687749263521152,0.213046230953218,39.8
39,0.4,0.6,0.75,0,0.003,2,0.2,"relu",0.3,0.5,0.851770094258216,-20.4437846989062,0.331978492724072,3.35631224844584,0.153007955832537,0.468022029610022,0,0.668025388472693,-7.23455474341059,-0.146327077248566,2.41333777873203,0.06557435323657,0.218213250255298,39
677,1,0,0.25,0,0.002,2,0.2,"relu",0.2,1,0.845121355493145,-20.6222257867905,0.323120934053367,3.26586433782931,0.147351545902495,0.456695246104627,0.4,0.668004318579445,-7.1890115465297,-0.134077110852647,2.03492257772135,0.0652381360750577,0.214121262411111,35.6
22,0.6,0,1,0.75,0.002,1,0.2,"relu",0.4,1,0.866567492850162,-19.7323630347328,0.364696518688811,3.91561117961439,0.170590732536256,0.50025643407235,0,0.667945974413059,-7.23370387456429,-0.129879945343253,2.36111678791187,0.0694576283408596,0.220823788793289,37.4
