"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
213,0,0.8,0.75,1,0.002,1,0.2,"relu",0.9,1,0.884494566153164,-19.6770741156085,0.401818526203424,4.39617520379196,0.192016709952769,0.53927349567679,0,0.674202325263522,-7.65848052688581,-0.192551405623294,2.34592416010924,0.0716764306177619,0.220632567613596,40
672,1,0.2,0.5,0,0.002,2,0.2,"relu",0.3,0,0.84059882767015,-21.5608823264225,0.319793221366967,3.31669183840956,0.147517838693263,0.453600699770125,0.6,0.672875172456738,-7.36964329157002,-0.0958483809063842,1.95851036385623,0.0669467037610661,0.222680816200622,38.2
93,0.2,0.2,1,0.5,0.002,1,0.2,"relu",0.2,0.4,0.867162977323164,-20.3639702310475,0.36923524239814,3.87970863517277,0.18314426682147,0.50171338382492,0,0.672489145866063,-7.44073546387021,-0.151281217867064,2.26831889229177,0.0710118439093378,0.216902070252257,41.4
536,0.4,0.2,1,0,0.002,2,0.2,"relu",0.8,0.4,0.834444188586371,-21.7790286610153,0.308347010461383,3.14563238074459,0.141400807973384,0.443330291499345,0.2,0.672209763352139,-7.34957521355844,-0.0730982313699566,1.81898219742008,0.0602969224748395,0.212500859293066,36.4
470,1,0.4,0.75,1,0.002,2,0.1,"relu",1,0.4,0.885793982070034,-19.3367503314705,0.412419139641576,4.58644488485151,0.211792956179557,0.544509819783939,0,0.672112461304875,-7.72816268902027,-0.203096175515442,2.593538790368,0.0769590914035226,0.214402128025604,39.2
913,0.6,1,0.25,0.25,0.002,1,0.2,"relu",0.9,1,0.868196278173637,-20.3517742822182,0.372963524150188,4.08486971185375,0.17839139286063,0.506576221181002,0,0.671650060051237,-7.58527183549834,-0.143634771344659,4.41066942968944,0.0682844232039849,0.21675522142771,38.6
217,0.4,0,0.5,1,0.002,1,0.2,"relu",1,0.9,0.886375504942988,-19.565923175703,0.403237766471311,4.32145433897698,0.203218927366652,0.543737481291449,0,0.671254206327784,-7.48364923827859,-0.122795537759703,2.19008482435195,0.0701930672436727,0.215687742883824,38
725,0.2,0.8,0.5,1,0.002,1,0.2,"relu",0.4,0.5,0.880122689420939,-19.9465206186745,0.390468180791859,4.14998345781263,0.188988523602385,0.529412333786084,0,0.671247205565773,-7.55729509555801,-0.149939083893236,2.10114227837651,0.0697372865952235,0.214568119076942,38.8
973,0.8,0,0.75,0.5,0.002,1,0.2,"relu",0.3,0.7,0.864942585812304,-20.3624961563159,0.370411180684865,4.14782487983716,0.183522754515031,0.499416489690616,0,0.671057863477868,-7.5846662575491,-0.195776209542605,2.23512902185699,0.0738027599645656,0.21716793852238,38.8
221,0.2,0.6,0.5,0.75,0.002,1,0.2,"relu",0.3,1,0.864496355297723,-20.4703908213648,0.366221125793319,3.92044531636774,0.178960255281969,0.498009767733872,0,0.671009614318074,-7.4456931250225,-0.144360745520957,2.44532958609428,0.0726207837026949,0.21976950018881,35.2
