"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
233,0.6,0.2,0.75,1,0.002,1,0.2,"relu",0.1,0.7,0.88505434304744,-18.9642910918101,0.412444728212735,4.22722413091093,0.233010206049658,0.540421066845843,0.2,0.675673552631417,-7.72329125135663,-0.32299819661242,2.14407635336154,0.0903303722769627,0.224465920945187,35
413,0.4,1,1,1,0.002,2,0.1,"relu",0.6,0.3,0.891299441928302,-18.3134614225695,0.437778565168697,4.75824209674981,0.258992471143437,0.554493875220313,0,0.671922574906981,-7.91712094446002,-0.334250893548268,2.42209156925852,0.0907142917284616,0.215303499592215,35.8
429,0.4,0.8,1,0.5,0.002,1,0.2,"relu",0.9,0,0.873702193609178,-19.4134382380806,0.393775614599951,4.16466326357436,0.219518162565042,0.515226364090302,0,0.67165700471276,-7.62662665532095,-0.218354670359722,2.16510611435064,0.0894850921004779,0.22133425582106,35.8
822,0.6,0.2,0.25,0.25,0.001,1,0.1,"relu",0.4,0.4,0.872827058876246,-19.1961282749597,0.39941391041821,4.16194304519899,0.231714697706543,0.519835102520877,0,0.6711331014923,-7.65802829403603,-0.252677985401814,2.21508637581805,0.0908856062520157,0.217371249396365,40.6
897,0.8,0.2,0.75,0.5,0.002,1,0.2,"relu",0.9,0.3,0.86875106300964,-19.5872352694931,0.385567923699593,3.97629970879815,0.216188770881817,0.508320586385917,0,0.670796191452545,-7.63112794058828,-0.286842123859428,2.05151769302807,0.088176576899409,0.217834110930879,38.8
93,0.2,0.2,1,0.5,0.002,1,0.2,"relu",0.2,0.4,0.877790243091767,-19.1307037957616,0.40643818733332,4.364606896649,0.227301267119551,0.525335331207081,0,0.670098447624726,-7.71988143468512,-0.284918307886135,2.08344206162618,0.0855343371822802,0.216722719122483,39.4
101,0.6,0.6,0.75,0.5,0.002,1,0.2,"relu",0.7,0.8,0.875507815707039,-19.2554252915195,0.399825654537899,4.16106591586349,0.225338459465108,0.521672784109328,0,0.66980864169358,-7.70994312914956,-0.228411815089869,1.97694186526105,0.0825080702585738,0.211804311024295,39
971,0.6,0.8,0.5,0.25,0.002,1,0.1,"relu",0.3,0.1,0.895389833294897,-17.7313246696137,0.461539917009084,5.65580056955213,0.280948572430943,0.570268375828486,0,0.669737265569809,-8.33066584134777,-0.565651448595583,2.34582005273545,0.0968524605722661,0.214001706642207,39.6
189,0,0.2,0.25,0.75,0.001,1,0.2,"relu",0.8,0.7,0.861542694635627,-20.1299680741766,0.360610809783229,3.50053490727243,0.191378440724471,0.494951219545529,0.2,0.669614776457036,-7.28942451021413,-0.0922511400954178,1.8757337868982,0.0780868157637817,0.219175334217462,40
877,0.4,0.2,1,0.25,0.002,2,0.2,"relu",0.3,0.7,0.840778123344554,-20.8915090363116,0.328486285053853,3.15269004523112,0.175649021887906,0.452998373601839,0.4,0.66932236726399,-7.4129034432947,-0.173997192136833,1.90451213924446,0.0763396625999884,0.215567448021191,36.6
