"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
943,0.6,1,0.5,0.25,0.001,1,0.1,"relu",0.8,0.2,0.863791686249112,-19.5726092819153,0.38333375639745,4.14313295133989,0.21822879959329,0.504686076381341,0.2,0.669621118437687,-7.62606964084656,-0.208907273987999,2.89576197536645,0.0811694693729622,0.213444443929639,39.4
725,0.2,0.8,0.5,1,0.002,1,0.2,"relu",0.4,0.5,0.890219463468244,-18.7046637246157,0.422382164684628,4.39810266871324,0.237385791650405,0.550898133342948,0,0.667830157359271,-7.65817182536924,-0.239321805354475,2.11730800244035,0.0832167667411196,0.216545432289949,39
185,0.6,0,0.25,1,0.002,1,0.2,"relu",0.3,0.3,0.894774462754994,-18.5217282957682,0.430097417288969,4.37594106043665,0.248119800899621,0.559969989646035,0,0.666958070825611,-7.63945549408691,-0.247988336516511,2.26859624330293,0.091622441791571,0.222294828974653,40.2
629,0.2,0.4,1,1,0.002,1,0.2,"relu",0.8,1,0.871962125740667,-19.5160160799684,0.390109933659216,4.08643824366385,0.215763390143894,0.514206834837969,0,0.666915201254641,-7.6161683494047,-0.21485409308029,2.13375695763609,0.0832594496444144,0.218125969120758,39
73,1,0.4,0.25,0,0.002,1,0.2,"relu",0.1,0.5,0.876424752429559,-19.2823721222826,0.399574322636266,4.23100356896258,0.21860910455444,0.520831256757964,0,0.666590744240432,-7.68384776933182,-0.277552733810198,2.1988869926568,0.0830754324407982,0.213532121771784,39.2
386,0.2,0.8,0.25,0.75,0.001,1,0.1,"relu",0.1,0.9,0.880991283124407,-18.7881510570491,0.417884248991551,4.70906639894947,0.240576655437556,0.538364390562687,0,0.666553476785839,-7.83798100532497,-0.25419382195454,2.35457093039294,0.0800177184622891,0.207647861685873,38.6
587,0.2,0.4,0.5,0,0.002,2,0.2,"relu",0.5,0.4,0.850949960587121,-20.6284346181728,0.341481965255173,3.29736173367032,0.185296109533272,0.467815244590878,0,0.666547632891021,-7.43668095431321,-0.140877047097453,1.92194710057621,0.0792097435304183,0.212230568002742,38.8
563,0.6,0.2,1,0,0.001,1,0.1,"relu",0.5,0.8,0.873352975170179,-19.2019215436018,0.400249757511408,4.31187892221168,0.228891651384169,0.521916424189063,0,0.666159694253641,-7.59203999397585,-0.180077786402414,2.39456161347084,0.0806408878662302,0.207314448966901,39.6
264,1,1,0.25,0.25,0.002,1,0.2,"relu",0.2,0,0.87835162641744,-19.1407675052403,0.404518222426514,4.15935668528762,0.229839881398686,0.524900193893874,0,0.665906739788469,-7.66933763614357,-0.240689228361381,2.0253561196999,0.0855402337702189,0.217905882250565,39.2
394,1,0.8,1,1,0.002,1,0.2,"relu",0.1,0.6,0.878754903501749,-19.2161683816737,0.400887495291897,4.14192844239128,0.227065470699098,0.526437728267236,0,0.665508414517558,-7.7253046523977,-0.29178155266886,2.01972443795043,0.0807687488551001,0.207320239671372,40.6
351,1,0.4,0.5,0.25,0.002,1,0.2,"relu",0.8,0.6,0.869351031090399,-19.4361402805599,0.391939965672694,4.06711222739654,0.224634885696149,0.512027297215575,0.2,0.665302234661917,-7.73506016014464,-0.286807679511152,2.13619164806217,0.0860812267330838,0.217497110092404,41.6
314,0.2,0,0.25,1,0.002,1,0.2,"relu",0.7,0.1,0.892535172011496,-18.6742187234668,0.423820828130874,4.3281764997049,0.241182674089264,0.55399936667653,0,0.664940610095188,-7.6043996061603,-0.20317791958219,2.03011833536356,0.0807303559490797,0.208326016663253,40.2
307,1,0.2,1,0.75,0.002,1,0.2,"relu",0.7,0.1,0.875251642519455,-19.2901882302316,0.398139632297718,4.16678550871181,0.222298113002038,0.521451225788172,0.2,0.66492142486733,-7.66443972612017,-0.235711189311786,3.03842470636539,0.0808131896685469,0.207097650167417,42
969,0,0.6,0.5,0,0.002,1,0.2,"relu",0.2,0.4,0.884001237923804,-18.8819248462603,0.414642161497648,4.20487329456188,0.22850697147487,0.534871962400609,0,0.664534624769868,-7.82783237035788,-0.285253703221293,2.37511928958523,0.0802203342487502,0.208292612868065,37.8
329,0.2,0,1,1,0.002,1,0.1,"relu",0.9,0.9,0.904129964314616,-17.3107769851239,0.478587311932639,5.98675626763403,0.290095458466865,0.589124608536523,0,0.664160782919455,-8.57335113324678,-0.617685833214636,2.58391752241614,0.0854551211111649,0.20438708130615,38.8
907,0,1,0.5,0.5,0.001,2,0.1,"relu",0.8,0.4,0.846482653375991,-20.5604323571413,0.342597936249,3.41196145388698,0.190378061231659,0.468421211942303,0,0.664083720054526,-7.34756547695576,-0.110951950924978,4.08891715001618,0.0778589610722816,0.211524659987048,39.2
184,0.2,0.6,0.25,0,0.001,1,0.1,"relu",0.9,0.3,0.873883004247152,-19.1884725522956,0.401783872844526,4.39675300664892,0.22970487526368,0.523359136958051,0.2,0.663985286310475,-7.8205338471925,-0.288628919891024,2.50467347415826,0.0889000756573707,0.210971292547881,40.4
980,0.8,0.8,1,1,0.002,2,0.2,"relu",0.5,0.1,0.849960163111376,-20.6120136714168,0.341004405348412,3.26723930150831,0.183119188731064,0.469296552288416,0.2,0.663956427564231,-7.426887583311,-0.158935733052995,1.91926835554317,0.0741667054966691,0.212650709862948,40.8
148,0.2,0,1,0.5,0.001,1,0.1,"relu",0.2,0.5,0.883020033086433,-18.6386206286984,0.422659996697915,4.72355593294526,0.247223878520786,0.54282240454719,0,0.663749156841991,-8.07010820037189,-0.41565550808871,11.7253330075152,0.0853457313087518,0.211030299355994,39
787,0.8,0,0.25,1,0.002,1,0.2,"relu",0.7,0.4,0.896525496726469,-18.4508872704688,0.43360648592671,4.49680685496253,0.246439621805849,0.562718929933151,0,0.663743409576291,-7.58241529555197,-0.207207634592241,2.06590787715167,0.0774444244326659,0.207613455409237,41
354,0.4,0.8,1,0.25,0.001,1,0.1,"relu",0.5,0.7,0.86782433990366,-19.3826823523503,0.392593474709122,4.28035865734292,0.225128937255702,0.512311050641222,0,0.663708566893201,-7.8788244739993,-0.375567649597521,2.65928453413523,0.0834252602551824,0.20798593535714,38.2
473,0.2,0.6,1,1,0.002,1,0.2,"relu",0.2,0.1,0.880164152654136,-19.1634368656462,0.403005196699111,4.06257778608923,0.228102756040666,0.528022733912101,0,0.663584653753327,-7.62860096434081,-0.239922580018995,2.08108632458302,0.0817414118045219,0.213237527072575,40.8
745,0,0.6,0.5,0,0.002,2,0.1,"relu",0.7,1,0.872425852813279,-19.0745185388502,0.406450355360054,4.46062804634758,0.23366967888499,0.517472787672251,0,0.663401763135966,-8.03452344928286,-0.414334265324679,3.93741968578765,0.0923757441311714,0.212702858969583,40
496,1,0.8,0.25,1,0.002,1,0.2,"relu",0.5,0.1,0.890380164968052,-18.7666406970454,0.41993719541195,4.29496517276986,0.237752277108114,0.550015880109261,0,0.663289950474525,-7.58217294409075,-0.205182371892379,2.02516604579185,0.0793644890618605,0.205882787519091,40.8
791,0.4,0.4,1,0,0.001,1,0.2,"relu",0.5,0.9,0.842849272315639,-20.969851674752,0.325736769672261,3.09207063858916,0.172829867199537,0.458472388954274,0.2,0.663063736010302,-7.23170084829561,-0.0569394320433399,1.92137837861457,0.0667369351931589,0.20681825751945,37.6
925,0.6,0.8,0.75,0.5,0.002,1,0.1,"relu",0.2,0.2,0.900973512636796,-17.3868744605393,0.475532914271195,5.83823839025985,0.296816687555303,0.583279356571753,0,0.662885417738906,-8.53660399078342,-0.592680299769101,3.08889283725638,0.0960747301534513,0.210558516301941,40
626,1,1,1,0.75,0.002,1,0.1,"relu",0.6,0.4,0.896589556976459,-17.6092546089784,0.466308243886648,6.06002399922154,0.288055723474439,0.575910920996441,0,0.66284764104233,-8.42347100748112,-0.616963377017813,3.09975632253678,0.0907933012971154,0.202534177781553,41
19,0.4,0,1,0.5,0.002,2,0.2,"relu",0.2,0.5,0.842542626365862,-20.8523913872547,0.331599187669336,3.23373918719661,0.180089148252251,0.455605026657031,0.2,0.662718535040129,-7.41682969791322,-0.135776556684032,2.03094229200298,0.0742101127545885,0.206800243613851,40.4
948,0.8,0,0.25,0,0.002,1,0.2,"relu",0.7,0,0.874721443265119,-19.3316980688899,0.397100148179268,4.14517577172606,0.223280428968168,0.519541208822175,0,0.662599402033879,-7.73664910401253,-0.250101644390307,2.20221133878982,0.0759429289590254,0.197862331536221,38.4
697,0.4,0.8,1,0.75,0.002,1,0.1,"relu",0.7,0.6,0.903529091717276,-17.1782875888048,0.483213418389742,6.27007701499709,0.299610853960066,0.59076978597568,0,0.662597824642032,-8.41402362743529,-0.56300852734018,2.9093162310246,0.0850704017516271,0.201058737449059,36.8
217,0.4,0,0.5,1,0.002,1,0.2,"relu",1,0.9,0.893763816747603,-18.4884643300849,0.432172691552775,4.62127412600013,0.239864284657381,0.558325944260057,0,0.66257670009734,-7.93511898792883,-0.375179255848986,2.18070805382099,0.0796272441834451,0.206612632535251,38.4
4,0.4,0.4,0.25,0.5,0.002,2,0.2,"relu",0.6,1,0.844876384887905,-20.8235341771587,0.33298936386277,3.29060433354626,0.175154095924101,0.458283859487425,0.2,0.662556178617166,-7.42591234598466,-0.146715492389513,2.00140469740261,0.0719756918256588,0.209790931276572,41
383,0.8,1,1,0,0.002,1,0.1,"relu",0.6,0.1,0.889564751515133,-18.0604974211496,0.448389029082213,5.36382068882219,0.269378820640013,0.557067251619821,0,0.662520242662283,-8.25505515701421,-0.448181331843519,3.36059986589343,0.0860038522559159,0.202266977132707,41.2
173,0,0.6,1,0.75,0.001,1,0.1,"relu",0.3,0.6,0.884480512482965,-18.5372410760024,0.42838076740338,4.77627366999916,0.251260180025995,0.546131238352299,0,0.662432524640551,-8.03665062713597,-0.338014385560903,3.22803345565737,0.0844977988412952,0.203332420532458,37.8
761,0.6,0,0.25,0.25,0.002,2,0.1,"relu",0.5,0.2,0.886481416049507,-18.5064001285391,0.430175510547816,4.68474250388228,0.254237644657064,0.547961502370561,0,0.662410573243516,-8.01594877367453,-0.376089986629252,2.71744071025881,0.0909993779205259,0.213410774529446,40.8
346,0.4,0,1,0.5,0.001,1,0.2,"relu",0.8,0.3,0.841452911050084,-21.103963599722,0.3202200235654,3.03436423047481,0.168788210508333,0.454782403795972,0.4,0.662267974404821,-7.23233336102003,-0.0741411699366882,1.97389971582793,0.073522421260805,0.213453769661804,41
128,1,0.2,0.5,0.25,0.002,1,0.2,"relu",0.7,0,0.878400929133826,-19.0949405789081,0.406805443237647,4.36048890547496,0.231684055400346,0.526223874791502,0,0.661950332006635,-7.93744637125854,-0.368396093214419,5.31779986977075,0.0849379360610183,0.209204445327262,41.2
657,0.4,0,0,1,0.002,1,0.2,"relu",0.3,0.3,0.901505126996323,-17.697512193379,0.467033571109353,5.72990489594171,0.285214155907519,0.588722942389093,0,0.661934735199945,-8.20481278358682,-0.426082301497569,3.80011776523549,0.0915193067911871,0.206894798964243,40.4
590,0.6,0,1,0.75,0.002,1,0.2,"relu",0.4,0.9,0.88129959354135,-19.0395156498452,0.409088178736324,4.20586812633627,0.233343128229587,0.529000347786468,0,0.661835111619439,-7.82286965718709,-0.306596306179388,2.11283317541568,0.0836140848366116,0.210671613089243,42.4
134,0,0.2,0.5,0.75,0.002,2,0.1,"relu",0.3,1,0.883422640423637,-18.6336920507416,0.426149736253321,4.85222779041648,0.245872452811793,0.542378877893262,0,0.661604974724692,-8.10276632191641,-0.379579625033449,3.54333755089491,0.0850779190159702,0.207617310185912,41.6
632,1,0,0.75,0.25,0.002,1,0.1,"relu",0.7,0.1,0.89755791251932,-17.6086368922498,0.467043268269679,5.74368564463164,0.28546253220404,0.576472210484056,0,0.661563107644736,-8.57338993767518,-0.698073218473988,2.81921994735935,0.0923671877422389,0.207860169166843,43.8
175,1,0.4,1,1,0.002,2,0.1,"relu",0.4,0,0.888984413048006,-18.3418640124194,0.435641670137542,4.67513844576802,0.2576492503899,0.554414564541131,0.2,0.661507668682688,-8.11090790203547,-0.465178867477269,2.47595563968649,0.0910126337275683,0.212335011527343,40.4
