"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
794,0.4,0,0.25,0.25,0.001,2,0.1,"relu",0.9,0.6,0.866986168057604,-20.606456513303,0.378093937458677,4.37450211578847,0.187005740096664,0.51439027661883,0,0.667976411567724,-7.9025661095674,-0.154084364454282,2.19481720683344,0.0665637569640358,0.211424572485464,15
430,0.4,1,1,1,0.001,1,0.1,"relu",0.6,0,0.912325383447299,-18.0332985291549,0.482520435065108,6.55854895440975,0.255389075440959,0.613513615720914,0,0.66436384225269,-8.5345630820941,-0.374215898747421,7.57187106091387,0.0725205769310568,0.209610081403643,14.4
433,0.8,0.4,0.5,0.25,0.002,2,0.2,"relu",0.7,0,0.867132511430033,-20.712949131756,0.373205067233838,3.96979092363888,0.181246572007361,0.509063395347003,0,0.664101870669413,-7.96476231732338,-0.209920823694649,2.30507869277485,0.0641351624476484,0.209271108812146,15.4
969,0,0.6,0.5,0,0.002,1,0.2,"relu",0.2,0.4,0.90480647730435,-18.6731680162859,0.457292289193947,5.45095182153202,0.229719185340298,0.589204818612846,0,0.663145006788429,-8.31357533380273,-0.409376872646544,4.34108129976486,0.0788131254501471,0.216131459315888,15.6
443,0.6,0,0.75,0,0.002,1,0.2,"relu",0.5,0.5,0.895159386983972,-19.2381681909466,0.438045209551055,5.33233901306084,0.221382599360305,0.567028637234391,0,0.662372543775909,-8.40319330804654,-0.35943218138486,2.71640826432493,0.0690695884251024,0.207607682284885,15
560,0.2,0.8,0.25,0.5,0.001,1,0.1,"relu",0.6,0.2,0.901009388489678,-18.7640316595142,0.453061157048744,5.49585212173128,0.237049927595374,0.584942332026975,0,0.662032892551659,-8.60159428385955,-0.400344827382229,4.76469182946917,0.0706383220905811,0.20558031788259,16.4
627,1,0.6,0,1,0.001,1,0.1,"relu",0.9,0.9,0.910372642567662,-17.8919250515122,0.486771693320177,7.51921833052161,0.269526588437118,0.616544441677687,0,0.66202954636756,-8.59350470931066,-0.428171329643954,3.52480814372199,0.0848237084362945,0.213446581620189,16.6
360,0.4,0.4,1,0.25,0.001,1,0.1,"relu",0.6,1,0.903459336964233,-18.540658698953,0.462012201029958,6.021501108195,0.244194476543092,0.59424917220133,0,0.661957926810895,-8.38399928096966,-0.295731515299936,2.40876886150411,0.069124596724235,0.199502124620488,16.6
894,1,0.6,0.25,0,0.002,2,0.1,"relu",0.4,0.6,0.896265644308445,-18.9912733121976,0.445338670975678,5.45295659703477,0.232395793192363,0.576276542714432,0,0.661875111463386,-8.78169693129402,-0.56599548990248,3.90076651088438,0.076323728237237,0.21313037861868,17
32,0.8,0.6,1,0.25,0.002,1,0.1,"relu",0.6,0.6,0.926140927114303,-16.8783749748279,0.527531386076821,7.91162229014787,0.294608173517761,0.650170878461428,0,0.661549013663138,-9.1926205057448,-0.701863564288768,2.74255506125375,0.0779527519200586,0.206956282536657,15.6
491,0.2,0.6,0,0.75,0.001,1,0.1,"relu",0.1,0.9,0.91893344635773,-17.4605259878639,0.506582597706064,7.51556306246838,0.282901498372215,0.636384028249829,0,0.661276703812484,-8.98297126367813,-0.571323635733471,2.89103112936599,0.0789018936989183,0.200542403889557,16
663,0.4,0.6,1,0.75,0.001,1,0.2,"relu",0.3,0.8,0.865414102321064,-20.7987398240569,0.370280682007943,4.02201964744645,0.183418234830396,0.50842345689967,0,0.660912815418086,-7.7992512472988,-0.170012308156486,2.37570403808273,0.0661914489805392,0.202864640605721,16
318,0.2,1,0.25,0.25,0.001,1,0.1,"relu",0.3,1,0.903326245284236,-18.5924449199482,0.462912309398536,6.44973338811274,0.241041330209444,0.590520868063872,0,0.66084215323223,-8.83035196710876,-0.42707660346292,2.24806976069744,0.0670067908888205,0.189663817113272,16.4
