"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
752,0.6,0.6,1,0.5,0.002,1,0.2,"relu",0.2,0.3,0.873141312234005,-21.4164961461484,0.409644218578469,3.69604038562049,0.239771230337979,0.531551868423264,0,0.662502664311413,-8.49223747645488,-0.230355839917933,1.99623460394734,0.0882758929993892,0.214466598079114,33.6
155,0.4,0.4,0.5,0,0.002,2,0.2,"relu",0.4,0.4,0.852445946764558,-22.7685773362219,0.3580612006645,3.05604376199624,0.200276153192706,0.488377227515342,0,0.661397549767803,-8.13573602011035,-0.107040237881008,1.79249137773606,0.0747754867447193,0.209872726255102,37.4
176,0.4,0.6,0.25,0.5,0.002,1,0.2,"relu",0.7,0.8,0.87192497937408,-21.5280421857726,0.405353731108227,3.65509550400554,0.235152680921459,0.52913439449514,0.2,0.66037580562639,-8.54702461076299,-0.275777675103991,2.00349189855576,0.0785120804597203,0.205274455331384,38.2
253,1,0,0.25,0.25,0.002,1,0.2,"relu",0.7,0.1,0.878489639629678,-21.1478214841033,0.41932303636556,3.81084387148983,0.245439591793758,0.541428244033376,0,0.657687829891034,-8.51748717372683,-0.218633392055907,2.06051956805246,0.0843432087507841,0.209765833119924,39.6
191,0.6,1,1,0.75,0.002,2,0.2,"relu",0.8,0,0.848641592917067,-22.912484315429,0.352280995118518,3.00484801218483,0.196737933024305,0.48103625648868,0,0.656532206622993,-8.07895812760956,-0.0737262293559797,1.70995592974745,0.072353295767388,0.202468578194075,36.6
141,0.2,0,0.25,0.5,0.002,2,0.1,"relu",0.2,0.3,0.880079139364911,-20.7624949297319,0.433954516013651,4.29505643815218,0.262841373050992,0.55144536114887,0,0.656369867451274,-8.89941619839677,-0.403979793460967,2.41447198639056,0.089198630775723,0.203213621194762,35.4
201,0.4,0.2,1,0,0.002,2,0.2,"relu",1,0.9,0.841860678575671,-23.1985161415344,0.341956789224244,2.97337671891642,0.191049559910666,0.47158798194701,0,0.65626198299551,-8.13210797933284,-0.0762356784330438,1.79392069279942,0.0738313894967221,0.200668013501123,37.6
953,1,1,0.75,0.25,0.002,2,0.1,"relu",1,0.6,0.877439406138557,-20.9324276239725,0.426969191322665,4.09624328920072,0.2574559431735,0.543443625799509,0,0.655872665215398,-8.83449633354189,-0.301415531350214,2.06597571993709,0.081486705982767,0.200574254126665,37.4
592,0.8,0.2,0.5,0,0.002,2,0.2,"relu",0.8,0.7,0.84631300447833,-22.9419293505357,0.351219817430967,3.04581575166501,0.194861781285542,0.479414398597471,0,0.655566937543068,-8.25497185056443,-0.104509915731797,1.81095474983871,0.0731823783647039,0.201550663159113,36.8
534,0.2,0,0.75,0,0.002,1,0.1,"relu",0.6,0.6,0.889414937148735,-19.89049092256,0.465924366413104,5.00420013066512,0.290952986976352,0.576035288543653,0,0.655156330289877,-9.08530670870868,-0.389397416613883,2.08188754365813,0.0898126759468852,0.201312550467331,38
