"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
976,0.4,0.2,1,0.75,0.002,1,0.2,"relu",0.8,0.5,0.880386371636523,-21.108105172087,0.422420820102558,3.87857757202806,0.246994932336638,0.546148978460119,0,0.662151767404358,-8.58583030780958,-0.254286705060417,1.9837346347831,0.0858013123680409,0.210609816368084,35
231,1,1,1,0.25,0.002,1,0.2,"relu",0.3,0.8,0.870905176295665,-21.6539935010026,0.401386808289196,3.55446374785227,0.236181078059844,0.525183172468708,0,0.660190892289675,-8.49941438764353,-0.219456015181678,2.03679728602289,0.0871774683980193,0.210712188212128,35.8
579,0.8,0.6,1,0.25,0.002,1,0.2,"relu",1,1,0.867213522810361,-21.7806907580405,0.395307558048239,3.61846153126372,0.226638933183204,0.521107185648603,0.2,0.659019160111838,-8.41754684726738,-0.151963714157618,2.02986586786217,0.0770442941990954,0.204844252869669,35.2
320,0.4,0.4,1,0.25,0.002,1,0.2,"relu",0.3,0.6,0.874120079565539,-21.4170565558256,0.4102115329672,3.7208624669406,0.238119775411604,0.533371600691318,0,0.658231092187676,-8.45398740006232,-0.162521447730262,1.88491487279189,0.0815886575731914,0.203883486693535,35.2
884,0.2,0.6,0.25,0.25,0.002,1,0.2,"relu",0.3,0.2,0.866302547089501,-21.7660147729239,0.396581732790182,3.6328322655712,0.229656260865406,0.520003300236748,0,0.657621278430991,-8.3467830111301,-0.147200312612027,2.13762914471331,0.0766548962416272,0.208957475131073,38
909,0.8,0,1,0,0.002,1,0.1,"relu",1,0.9,0.893636672670783,-19.652510445648,0.473833590023145,5.02450371337153,0.296802028603254,0.581899567166641,0,0.657619051865482,-8.92467070794441,-0.32856902966814,2.18014133377008,0.0851276115836776,0.197023213187362,36
94,0.2,0,0,0.5,0.001,1,0.1,"relu",1,0.7,0.896777902028295,-19.662883811605,0.473958648832719,4.88614196004664,0.298785599449885,0.592285537470429,0,0.657371122814368,-9.04483513723317,-0.374236831949143,2.16770154412788,0.0928308714160437,0.202373046400682,33.6
350,0.4,1,1,1,0.001,1,0.1,"relu",0.5,0.6,0.877944514402299,-20.9662984911746,0.425620747408498,4.0306467935584,0.255548109803048,0.548231095002019,0,0.656730915300168,-8.75546259543028,-0.280614352105441,2.1402193045132,0.0829960334834363,0.202222606994672,37
890,1,0.4,0.25,0.25,0.001,1,0.1,"relu",0.2,0.4,0.876606680268392,-20.9942555310175,0.423702188090673,4.07542571196192,0.257863488040766,0.544141493426255,0,0.656047282028173,-8.68536713238147,-0.240814275306425,2.40082131084439,0.0821502359761407,0.201269220523586,38.4
501,1,0.6,0.5,0,0.002,1,0.2,"relu",0.1,0.5,0.872264535044447,-21.573910830454,0.404168326889071,3.595856054608,0.235535174126763,0.530453913528895,0,0.655561393371731,-8.37863404957691,-0.171002617064147,1.9611263272719,0.0787043364300203,0.206597263195273,37.4
