"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
325,0,0.6,0.5,0,0.002,2,0.1,"relu",1,0.2,0.892247975178132,-27.0332834709165,0.558443291306268,2.9953116555802,0.405497207809468,0.677474440802871,0,0.678511840273823,-13.1121040388353,-0.331061665231398,1.66184826655886,0.147355172352882,0.287647622487182,2.8
705,0.8,1,1,1,0.001,1,0.2,"relu",0.8,0.7,0.885993442737251,-28.7268837284765,0.52215210429562,2.63191961824768,0.363028751765358,0.663430745699385,0,0.67469708191295,-11.8807964427844,-0.0943918343208433,1.57344567767767,0.135332509955066,0.283825192736613,3.4
849,0,1,1,0.5,0.001,2,0.1,"relu",0.9,1,0.869888484887229,-29.423123042744,0.503640647452639,2.62214545049552,0.361462103088653,0.637086048419802,0,0.670132892840772,-12.3222943563857,-0.186385344390492,1.4933756001898,0.133071495913213,0.2737936544348,3.4
479,1,0.8,0.5,0,0.001,1,0.1,"relu",0.9,0.4,0.884500688734272,-27.9289966484458,0.539614816148784,2.88586297525859,0.392472479032128,0.664605938946258,0,0.670049253007677,-12.8634190188482,-0.268433073820976,1.6712382266711,0.135355171705915,0.262010907122394,4
533,1,0.4,1,1,0.002,1,0.2,"relu",1,0.8,0.897165381590899,-27.3839842394907,0.553536022339446,2.91942149298542,0.391940883642335,0.683083418585761,0,0.669398758265861,-12.9531613471911,-0.761024477775706,1.54729511518726,0.136794906424791,0.274573251987413,3.8
156,0.8,0,1,0.5,0.001,1,0.2,"relu",0.3,0.8,0.873566429648947,-29.6670792733833,0.499150437709448,2.5327124269958,0.346692359488314,0.640336039498957,0,0.66911333216798,-12.229010945932,-0.160215309270353,1.48176485594105,0.127976247263833,0.264509858908739,4
975,0.2,0.2,1,1,0.001,2,0.1,"relu",0.6,0.7,0.872958459394287,-29.6621598663114,0.4999348773556,2.55012679967402,0.351467531069285,0.638781617517605,0,0.668035996723361,-12.1728517895613,-0.179270991584344,1.64112720447732,0.139345004627749,0.27717752332061,4.6
840,0,0.2,1,0,0.001,2,0.2,"relu",0.7,0.7,0.843260069759923,-32.6485666066887,0.422717297716161,2.10698274854835,0.28166289605438,0.585961033000284,0,0.667473461407739,-11.6236778771932,-0.0179314640574966,1.41663109169364,0.112410537488662,0.272145372301185,3.8
184,1,0.8,0,0.5,0.001,2,0.2,"relu",0.9,0.4,0.860519109349508,-30.9059832914586,0.469919846236085,2.37296416267517,0.328739346305515,0.616943018964771,0,0.666144293487249,-11.8623814479535,-0.0434377854849381,1.52282796977647,0.1345201391605,0.264533799623167,4
824,0.6,1,1,0.75,0.001,1,0.1,"relu",0.8,0.7,0.901151637016944,-26.0712787990931,0.580857556046604,3.18462320088707,0.428026570590448,0.695602623004016,0,0.666014733739861,-13.5414355172761,-0.519458754169496,1.65812524409605,0.142704042457043,0.264695010731572,3.6
237,1,0.6,1,0.75,0.001,1,0.2,"relu",0.7,0.1,0.876435749041739,-29.5148561417171,0.503745870420362,2.59857607838659,0.349503460172583,0.645725485514246,0,0.66585725068659,-12.2010268202542,-0.130860194068442,1.49486180494959,0.125171936486724,0.267771657309901,3.8
454,0.6,0.6,1,0.25,0.001,1,0.2,"relu",0.9,1,0.875454290403137,-29.4535209778478,0.50457907773926,2.54403323221302,0.353369636889949,0.643697882524456,0,0.665633029488331,-12.0586852265161,-0.124361335883929,1.48580428940229,0.121574451376018,0.263530281683167,5.2
