"colname","OTU","class","order","family","genus","epithet","BOLD","BOLDID","size","best.name","auc","tjur","incidence","test.noSites","test.incid"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","R1","Insecta","Diptera","Tabanidae","Hybomitra","rhombica","BOLD","AAG4571","size.14764","Hybomitra_rhombica_AAG4571",0.832,0.191383631958985,0.285714285714286,5,0.166666666666667
"R1.68__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.6856","R1.68","Insecta","Diptera","Asilidae","Laphria",NA,"BOLD","AAG6876","size.6856","Laphria_AAG6876",0.728395061728395,0.0346967991338008,0.120879120879121,3,0.1
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","R10017.3","Insecta","Hemiptera","Aphididae","Cinara","pseudotaxifoliae","BOLD","ABU8198","size.101","Cinara_pseudotaxifoliae_ABU8198",0.728395061728395,0.0686217770727788,0.0879120879120879,3,0.1
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","R10098","Insecta","Diptera","Mycetophilidae","Mycomya",NA,"BOLD","ACJ6978","size.215","Mycomya_ACJ6978",0.793103448275862,0.0887802709729495,0.142857142857143,1,0.0333333333333333
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","R10463.8","Insecta","Lepidoptera","Yponomeutidae","Eucalantica","polita","BOLD","AAB6103","size.46","Eucalantica_polita_AAB6103",0.839285714285714,0.0891560466767846,0.0769230769230769,2,0.0666666666666667
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","R10996","Arachnida","Araneae","Gnaphosidae","Sergiolus","montanus","BOLD","AAP4007","size.311","Sergiolus_montanus_AAP4007",0.758620689655172,0.0244156663338172,0.10989010989011,1,0.0333333333333333
"R1519.2__Insecta_Diptera_NA_NA_NA_BOLD_ACX8657_size.2595","R1519.2","Insecta","Diptera",NA,NA,NA,"BOLD","ACX8657","size.2595","Diptera_ACX8657",0.744,0.0760353398374764,0.142857142857143,5,0.166666666666667
"R1581.186__Insecta_Coleoptera_Scraptiidae_NA_NA_BOLD_ABX2446_size.20","R1581.186","Insecta","Coleoptera","Scraptiidae",NA,NA,"BOLD","ABX2446","size.20","Scraptiidae_ABX2446",0.788461538461538,0.0424922444403936,0.0989010989010989,4,0.133333333333333
"R1739.2__Insecta_Coleoptera_Elateridae_Gamepenthes_NA_BOLD_ACI5218_size.1948","R1739.2","Insecta","Coleoptera","Elateridae","Gamepenthes",NA,"BOLD","ACI5218","size.1948","Gamepenthes_ACI5218",0.805555555555556,0.187527690634683,0.571428571428571,18,0.6
"R1891.25__Insecta_Hymenoptera_Apidae_Bombus_sitkensis_BOLD_AAI4757_size.45","R1891.25","Insecta","Hymenoptera","Apidae","Bombus","sitkensis","BOLD","AAI4757","size.45","Bombus_sitkensis_AAI4757",1,0.237403704260273,0.230769230769231,1,0.0333333333333333
"R1952.2__Insecta_Lepidoptera_Geometridae_Plagodis_pulveraria_BOLD_AAA6013_size.2395","R1952.2","Insecta","Lepidoptera","Geometridae","Plagodis","pulveraria","BOLD","AAA6013","size.2395","Plagodis_pulveraria_AAA6013",0.840277777777778,0.158878952678707,0.230769230769231,6,0.2
"R2002.2__Arachnida_Araneae_Gnaphosidae_Orodrassus_canadensis_BOLD_ACD2419_size.31","R2002.2","Arachnida","Araneae","Gnaphosidae","Orodrassus","canadensis","BOLD","ACD2419","size.31","Orodrassus_canadensis_ACD2419",0.864197530864197,0.122360318761181,0.142857142857143,3,0.1
"R2132.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ADC1012_size.170","R2132.10","Insecta","Coleoptera",NA,NA,NA,"BOLD","ADC1012","size.170","Coleoptera_ADC1012",0.772486772486772,0.245592708042798,0.318681318681319,9,0.3
"R2352__Insecta_Hemiptera_Aphididae_Cinara_splendens_BOLD_AAL7025_size.391","R2352","Insecta","Hemiptera","Aphididae","Cinara","splendens","BOLD","AAL7025","size.391","Cinara_splendens_AAL7025",0.729166666666667,0.170633727762227,0.241758241758242,6,0.2
