"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.7,0.7,0.1,"1",4502.734375,68.242,0.885579643977372,0.653629217412785
0,0.7,0,0,0.9,0.1,0.1,"2",4101.65625,65.129,0.907552786995896,0.661152383185631
0,0.7,0,0,1,0.5,0.3,"1",4513.8369140625,74.851,0.876221198818359,0.657016586473108
0,0.7,0,0,0.3,0.1,0.3,"2",5018.97216796875,77.488,0.844662097455086,0.63533674767104
0,0.7,0,0,0.7,1,0.5,"1",4983.892578125,80.39,0.805758528886787,0.628143315038029
0,0.7,0,0,1,0.3,0.5,"2",5724.2734375,87.956,0.769371738437612,0.614524246947521
0,0.7,0,0.166666666666667,0.4,0,0.1,"1",3974.04174804688,63.409,0.912656106192894,0.639145781330617
0,0.7,0,0.166666666666667,1,0.5,0.1,"2",3919.09912109375,62.122,0.915063189554651,0.645255409877373
0,0.7,0,0.166666666666667,0.4,0.2,0.3,"1",4795.4091796875,77.854,0.859092486563582,0.629337315694946
0,0.7,0,0.166666666666667,0.2,0.5,0.3,"2",4828.6064453125,77.662,0.850605291854078,0.673746115626977
0,0.7,0,0.166666666666667,0.5,0.4,0.5,"1",5298.0498046875,82.798,0.810363367906549,0.628081869367568
0,0.7,0,0.166666666666667,0.4,0.6,0.5,"2",5764.4482421875,87.15,0.771076148978327,0.602850477192442
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"1",3709.72509765625,57.656,0.925794850698183,0.634165044001734
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"2",3967.73510742188,64.481,0.914639202783666,0.64205885533864
0,0.7,0,0.333333333333333,0.9,1,0.3,"1",4411.099609375,74.971,0.86298969898269,0.643080700144319
0,0.7,0,0.333333333333333,0,0.3,0.3,"2",4348.04345703125,55.677,0.797904830409076,0.629271783144865
0,0.7,0,0.333333333333333,0.5,0.8,0.5,"1",5417.0478515625,81.586,0.799562620179176,0.621684804984571
0,0.7,0,0.333333333333333,0.9,0.7,0.5,"2",5650.9580078125,86.306,0.778580948307675,0.621524748774323
0,0.7,0,0.5,1,1,0.1,"1",3921.283203125,65.43,0.898958400644569,0.637852266562571
0,0.7,0,0.5,0,1,0.1,"2",4400.916015625,52.169,0.832943581664719,0.617368614934685
0,0.7,0,0.5,0.5,0.1,0.3,"1",4703.40283203125,74.698,0.865884249315713,0.634728594772819
0,0.7,0,0.5,0.9,0,0.3,"2",5036.0029296875,79.324,0.838071871898848,0.639085910458459
0,0.7,0,0.5,0,0.2,0.5,"1",5017.0517578125,59.447,0.759311264046376,0.627372649078212
0,0.7,0,0.5,0.5,0.5,0.5,"2",5659.2841796875,86.808,0.779362863553557,0.606607060095977
0,0.7,0,0.666666666666667,1,1,0.1,"1",3861.77490234375,63.901,0.905237086711162,0.650725446337392
0,0.7,0,0.666666666666667,0,0.8,0.1,"2",3775.23974609375,47.225,0.869735070728097,0.644016595380086
0,0.7,0,0.666666666666667,0.8,0,0.3,"1",4622.3603515625,77.419,0.866296034343858,0.635820420472221
0,0.7,0,0.666666666666667,0.8,0,0.3,"2",4892.0791015625,80.1,0.850877401542698,0.638640301021482
0,0.7,0,0.666666666666667,0.4,0.3,0.5,"1",5290.5947265625,81.274,0.803380785279839,0.638727757177779
0,0.7,0,0.666666666666667,0.4,0.7,0.5,"2",5555.22998046875,84.282,0.793400581999041,0.61279224386961
0,0.7,0,0.833333333333333,0.6,0.5,0.1,"1",3954.16967773438,62.933,0.912697217446787,0.632985801860749
0,0.7,0,0.833333333333333,0.8,0,0.1,"2",4088.396484375,68.862,0.905056770593519,0.636930002305642
0,0.7,0,0.833333333333333,0.1,0.7,0.3,"1",4702.0205078125,75.8,0.866147368244884,0.658640716581893
0,0.7,0,0.833333333333333,0.5,0.2,0.3,"2",5015.4892578125,77.542,0.844819965597485,0.651716615809753
0,0.7,0,0.833333333333333,1,1,0.5,"1",5004.84814453125,81.489,0.800943579317744,0.640122112246473
0,0.7,0,0.833333333333333,1,0.2,0.5,"2",5583.7060546875,86.016,0.78367391949996,0.617911750677096
0,0.7,0,1,0,0,0.1,"1",3428.12426757812,43.381,0.897515887359001,0.609286481176933
0,0.7,0,1,0.1,0.3,0.1,"2",4611.83203125,73.271,0.876971815060073,0.651697440739693
0,0.7,0,1,0.5,0.2,0.3,"1",4721.21875,75.252,0.862225932212898,0.66338806785791
0,0.7,0,1,0.6,0.2,0.3,"2",4915.087890625,83.62,0.845771894525482,0.645731527814328
0,0.7,0,1,1,0.2,0.5,"1",5390.09765625,82.249,0.799945184459648,0.648813976155195
0,0.7,0,1,0.4,0.9,0.5,"2",5537.322265625,86.981,0.796325816069372,0.611907068177315
0,0.7,0.166666666666667,0,0.9,0.2,0.1,"1",4610.88671875,73.258,0.870994745490035,0.649685896615777
0,0.7,0.166666666666667,0,0.3,0.4,0.1,"2",4835.31640625,118.886,0.852802319092514,0.631212109748182
0,0.7,0.166666666666667,0,0.6,1,0.3,"1",4746.7314453125,78.216,0.825629746817794,0.646320271129521
0,0.7,0.166666666666667,0,1,0.7,0.3,"2",5478.6220703125,88.208,0.784976496049403,0.614956202763641
0,0.7,0.166666666666667,0,1,0.7,0.5,"1",5843.5771484375,121.635,0.755837952171882,0.633359105984319
0,0.7,0.166666666666667,0,0.9,0.1,0.5,"2",5994.51953125,94.272,0.722011056512213,0.600117780375666
0,0.7,0.166666666666667,0.166666666666667,0.2,0.8,0.1,"1",4829.4033203125,75.569,0.857770375596258,0.637523379763096
0,0.7,0.166666666666667,0.166666666666667,0.6,0.5,0.1,"2",4801.31640625,79.262,0.856932485619897,0.654705207616813
0,0.7,0.166666666666667,0.166666666666667,0.8,0.1,0.3,"1",5038.525390625,80.999,0.841128087609218,0.648993059035152
0,0.7,0.166666666666667,0.166666666666667,0.9,0.7,0.3,"2",5501.2705078125,84.47,0.787532097997804,0.656867321782603
0,0.7,0.166666666666667,0.166666666666667,0.6,0.7,0.5,"1",5875.455078125,90.985,0.743930795708163,0.588020182155945
0,0.7,0.166666666666667,0.166666666666667,0,0.8,0.5,"2",5656.7333984375,66.136,0.631799483897351,0.581180433897825
0,0.7,0.166666666666667,0.333333333333333,0.1,0.9,0.1,"1",4109.4287109375,71.589,0.877518596258198,0.631095557955905
0,0.7,0.166666666666667,0.333333333333333,0.6,0.1,0.1,"2",4696.802734375,73.694,0.866978266012259,0.660567285965037
0,0.7,0.166666666666667,0.333333333333333,0.3,0.7,0.3,"1",5130.990234375,83.569,0.818941721053707,0.646794809832427
0,0.7,0.166666666666667,0.333333333333333,0.7,0,0.3,"2",5365.1162109375,86.01,0.797644842454655,0.631589321409228
0,0.7,0.166666666666667,0.333333333333333,1,0,0.5,"1",5693.5771484375,89.988,0.772056820309986,0.6234898573688
0,0.7,0.166666666666667,0.333333333333333,1,0.2,0.5,"2",5991.1591796875,92.697,0.726747337807308,0.622890471101788
0,0.7,0.166666666666667,0.5,0.4,1,0.1,"1",4033.09033203125,68.799,0.882448914457259,0.653183445006495
0,0.7,0.166666666666667,0.5,0.6,0.8,0.1,"2",4626.2421875,74.889,0.868776549187637,0.640004000845859
0,0.7,0.166666666666667,0.5,1,0.8,0.3,"1",4885.5791015625,81.588,0.85104790271787,0.665351243255655
0,0.7,0.166666666666667,0.5,0.2,0,0.3,"2",5360.703125,83.801,0.804340524417637,0.645430462448259
0,0.7,0.166666666666667,0.5,0.6,0.2,0.5,"1",5633.8291015625,170.871,0.764818154837613,0.619713488100104
0,0.7,0.166666666666667,0.5,0.1,0.2,0.5,"2",5930.94921875,92.633,0.747210229978375,0.605443718153117
0,0.7,0.166666666666667,0.666666666666667,0.9,0.4,0.1,"1",4558.7294921875,72.027,0.874659823165938,0.634647997413609
0,0.7,0.166666666666667,0.666666666666667,0.4,0.4,0.1,"2",4487.9228515625,73.39,0.87937650367739,0.62955686482221
0,0.7,0.166666666666667,0.666666666666667,0.9,0.4,0.3,"1",4888.927734375,81.565,0.853893862811391,0.622603295811416
0,0.7,0.166666666666667,0.666666666666667,0.4,0.2,0.3,"2",5411.77490234375,85.098,0.807263667176035,0.623203502750604
0,0.7,0.166666666666667,0.666666666666667,0,0.4,0.5,"1",5517.50830078125,65.597,0.639187570684793,0.603094429389719
0,0.7,0.166666666666667,0.666666666666667,1,0.7,0.5,"2",6165.921875,94.75,0.73102017960202,0.589342851841253
0,0.7,0.166666666666667,0.833333333333333,0.8,0.4,0.1,"1",4100.97412109375,69.504,0.906915861360443,0.668686074984029
0,0.7,0.166666666666667,0.833333333333333,1,0.9,0.1,"2",4283.251953125,71.103,0.899425125401432,0.634366571757077
0,0.7,0.166666666666667,0.833333333333333,0.4,0.1,0.3,"1",4923.66748046875,171.826,0.849918843890709,0.627394190993402
0,0.7,0.166666666666667,0.833333333333333,0.3,1,0.3,"2",4964.09912109375,79.767,0.805309823070356,0.609648202630939
0,0.7,0.166666666666667,0.833333333333333,0,0.5,0.5,"1",5435.09765625,67.237,0.693536354952994,0.576834416333564
0,0.7,0.166666666666667,0.833333333333333,0,0.6,0.5,"2",5518.85205078125,67.248,0.646769955797005,0.558031118517585
0,0.7,0.166666666666667,1,0,0.1,0.1,"1",4292.1162109375,52.208,0.812550825275958,0.626627254520211
0,0.7,0.166666666666667,1,0.8,0.1,0.1,"2",4215.400390625,68.512,0.902487392699538,0.673971811131072
0,0.7,0.166666666666667,1,1,0.2,0.3,"1",4852.6103515625,79.081,0.861955298000163,0.620584232959819
0,0.7,0.166666666666667,1,0.9,0.1,0.3,"2",5298.208984375,85.015,0.830699570261109,0.657340815601152
0,0.7,0.166666666666667,1,0.5,0.9,0.5,"1",5465.3701171875,94.919,0.800296477895215,0.642479237593262
0,0.7,0.166666666666667,1,0.7,0.2,0.5,"2",5758.873046875,89.41,0.776613985325644,0.598346601951142
0,0.7,0.333333333333333,0,0.4,0.7,0.1,"1",4432.8544921875,70.844,0.884877011679242,0.653240634775694
0,0.7,0.333333333333333,0,0.6,0,0.1,"2",4778.1689453125,76.385,0.848864055114005,0.647758011629761
0,0.7,0.333333333333333,0,0.8,1,0.3,"1",4744.69775390625,80.301,0.830223688613526,0.656649966062796
0,0.7,0.333333333333333,0,0.3,0,0.3,"2",5444.7861328125,84.82,0.783702147791796,0.633350096451652
0,0.7,0.333333333333333,0,0.2,0.7,0.5,"1",5725.00390625,88.821,0.769452231845917,0.648509176600609
0,0.7,0.333333333333333,0,0.4,0.7,0.5,"2",5995.986328125,93.243,0.719840766344292,0.619636050756575
0,0.7,0.333333333333333,0.166666666666667,0.1,0.7,0.1,"1",4426.01171875,68.822,0.879910743712487,0.645378881985606
0,0.7,0.333333333333333,0.166666666666667,0,0.4,0.1,"2",4392.10693359375,53.669,0.829088123043179,0.60254171764029
0,0.7,0.333333333333333,0.166666666666667,0,0.2,0.3,"1",4812.6640625,59.553,0.753589448713421,0.588593027441599
0,0.7,0.333333333333333,0.166666666666667,0.7,0.7,0.3,"2",5384.54296875,84.377,0.799517521687346,0.658591828074991
0,0.7,0.333333333333333,0.166666666666667,1,1,0.5,"1",5442.9287109375,86.885,0.745803459429835,0.630895242489978
0,0.7,0.333333333333333,0.166666666666667,0.4,0.9,0.5,"2",5998.6240234375,95.435,0.716892329699161,0.60819907475225
0,0.7,0.333333333333333,0.333333333333333,0.6,0.3,0.1,"1",4433.06640625,71.163,0.87917635618782,0.63529176586375
0,0.7,0.333333333333333,0.333333333333333,0.3,0.2,0.1,"2",4705.4404296875,76.277,0.865159153799054,0.66968063923147
0,0.7,0.333333333333333,0.333333333333333,0,1,0.3,"1",4804.82275390625,59.28,0.769898768887394,0.612984474991082
0,0.7,0.333333333333333,0.333333333333333,0.7,0.4,0.3,"2",5452.974609375,212.563,0.792209745831446,0.665747566052873
0,0.7,0.333333333333333,0.333333333333333,0.3,0.6,0.5,"1",5833.1376953125,90.955,0.743337544769723,0.635241045009268
0,0.7,0.333333333333333,0.333333333333333,0.7,0.1,0.5,"2",6123.37890625,93.921,0.728988677610496,0.616321308956113
0,0.7,0.333333333333333,0.5,0.4,0.9,0.1,"1",4637.169921875,73.672,0.870318237022123,0.640201760158868
0,0.7,0.333333333333333,0.5,0.4,0,0.1,"2",4640.58642578125,72.497,0.870753209154434,0.637433362811133
0,0.7,0.333333333333333,0.5,1,0.7,0.3,"1",5344.638671875,85.259,0.812020914285402,0.640376605609982
0,0.7,0.333333333333333,0.5,0.2,0.9,0.3,"2",5390.46826171875,88.157,0.779846437489233,0.61748505695703
0,0.7,0.333333333333333,0.5,0.4,0.3,0.5,"1",5764.1259765625,89.883,0.746340065088226,0.643006664919495
0,0.7,0.333333333333333,0.5,0.9,0,0.5,"2",6083.837890625,91.084,0.710366601022338,0.598392057407403
0,0.7,0.333333333333333,0.666666666666667,0.9,0.2,0.1,"1",4280.75,68.527,0.886376376347047,0.6690466849682
