"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.7,0.7,0.1,"1",4502.734375,68.242,0.895581854796453,0.728413932762558
0,0.7,0,0,0.9,0.1,0.1,"2",4101.65625,65.129,0.920472060234973,0.719893381420449
0,0.7,0,0,1,0.5,0.3,"1",4513.8369140625,74.851,0.904679885102582,0.717703399945781
0,0.7,0,0,0.3,0.1,0.3,"2",5018.97216796875,77.488,0.863961872957253,0.721110440091152
0,0.7,0,0,0.7,1,0.5,"1",4983.892578125,80.39,0.832460250309084,0.71231087214623
0,0.7,0,0,1,0.3,0.5,"2",5724.2734375,87.956,0.805820069607596,0.697552945558593
0,0.7,0,0.166666666666667,0.4,0,0.1,"1",3974.04174804688,63.409,0.92320251965129,0.721296685192945
0,0.7,0,0.166666666666667,1,0.5,0.1,"2",3919.09912109375,62.122,0.929935450346738,0.723884453201908
0,0.7,0,0.166666666666667,0.4,0.2,0.3,"1",4795.4091796875,77.854,0.883444431248452,0.690009150323249
0,0.7,0,0.166666666666667,0.2,0.5,0.3,"2",4828.6064453125,77.662,0.880897983208896,0.727284728262723
0,0.7,0,0.166666666666667,0.5,0.4,0.5,"1",5298.0498046875,82.798,0.843403455242991,0.7105114403452
0,0.7,0,0.166666666666667,0.4,0.6,0.5,"2",5764.4482421875,87.15,0.803076823989602,0.702112973264934
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"1",3709.72509765625,57.656,0.936431631140463,0.728986066140531
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"2",3967.73510742188,64.481,0.927454627842851,0.72217472937848
0,0.7,0,0.333333333333333,0.9,1,0.3,"1",4411.099609375,74.971,0.892244648527163,0.725833235559632
0,0.7,0,0.333333333333333,0,0.3,0.3,"2",4348.04345703125,55.677,0.838184725316971,0.725263085600895
0,0.7,0,0.333333333333333,0.5,0.8,0.5,"1",5417.0478515625,81.586,0.828675107466701,0.702523142312678
