"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.7,0.8,0.1,"1",3969.5,60.139,0.911439000639678,0.64767822531223
0,0.7,0,0,0.5,0.5,0.1,"2",4129.484375,65.07,0.900558549081009,0.626382854519577
0,0.7,0,0,0.6,0.4,0.3,"1",4443.4501953125,70.617,0.862153170168491,0.646144376920165
0,0.7,0,0,0.2,0.4,0.3,"2",4809.4052734375,74.707,0.822331946731412,0.616209597942867
0,0.7,0,0,0.2,0.3,0.5,"1",4979.63818359375,77.036,0.808605700864901,0.614050072606658
0,0.7,0,0,0.2,0.2,0.5,"2",5402.0869140625,82.598,0.750502028180966,0.582507622879
0,0.7,0,0.166666666666667,0.7,0.7,0.1,"1",3657.82421875,60.325,0.930758465765914,0.658542178975629
0,0.7,0,0.166666666666667,0.4,0.4,0.1,"2",4018.20458984375,66.909,0.904156693791028,0.646706377388123
0,0.7,0,0.166666666666667,0.7,0.1,0.3,"1",4482.35546875,71.629,0.859741825170699,0.660622894380887
0,0.7,0,0.166666666666667,1,0.6,0.3,"2",4831.96875,73.711,0.826713298786662,0.640153232080981
0,0.7,0,0.166666666666667,0.9,0.7,0.5,"1",5111.12890625,78.599,0.796448449150174,0.632466399459686
0,0.7,0,0.166666666666667,0.1,0.3,0.5,"2",5426.67724609375,81.031,0.753781326341941,0.577657184843353
0,0.7,0,0.333333333333333,0.7,0.3,0.1,"1",3972.01416015625,66.118,0.899309409015002,0.629290665849969
0,0.7,0,0.333333333333333,0.6,0.4,0.1,"2",4129.5009765625,64.859,0.895140567978442,0.668765631431339
0,0.7,0,0.333333333333333,0,0.7,0.3,"1",4253.8955078125,56.845,0.818207583344079,0.63441099535036
0,0.7,0,0.333333333333333,1,0.7,0.3,"2",4754.45361328125,73.831,0.832487518950982,0.664945893517931
0,0.7,0,0.333333333333333,1,0.7,0.5,"1",5111.830078125,77.945,0.799285337305893,0.609286374009307
0,0.7,0,0.333333333333333,0.7,0.8,0.5,"2",5384.6787109375,80.598,0.758511186280094,0.598467786850673
0,0.7,0,0.5,0.8,0.6,0.1,"1",3694.50073242188,59.312,0.924921686450976,0.642131093149849
0,0.7,0,0.5,0,0.8,0.1,"2",3994.15698242188,52.479,0.860744430682953,0.625392922216238
0,0.7,0,0.5,1,0.1,0.3,"1",4457.244140625,70.044,0.866839335794863,0.636164214690696
0,0.7,0,0.5,0.9,0.9,0.3,"2",4850.69384765625,74.577,0.830203949332826,0.653265536305285
0,0.7,0,0.5,0.5,0.5,0.5,"1",5090.6240234375,76.561,0.792292929721933,0.641476408367926
0,0.7,0,0.5,0.2,0.4,0.5,"2",5309.2392578125,92.441,0.781193281603618,0.592547912741327
0,0.7,0,0.666666666666667,0.6,0.4,0.1,"1",3903.99853515625,62.913,0.912217650543807,0.641076636511952
0,0.7,0,0.666666666666667,0.2,0.8,0.1,"2",3995.60888671875,62.039,0.906789610052484,0.646077384280176
0,0.7,0,0.666666666666667,0.2,0.4,0.3,"1",4595.25537109375,71.123,0.846376098833749,0.630889313001419
0,0.7,0,0.666666666666667,0.9,0.7,0.3,"2",4838.27880859375,75.579,0.830933229212583,0.66000975974548
0,0.7,0,0.666666666666667,0.8,0.7,0.5,"1",5060.4775390625,77.597,0.801996842109432,0.634391680928872
0,0.7,0,0.666666666666667,0.3,0.1,0.5,"2",5236.189453125,79.338,0.777065630495024,0.615106795812252
0,0.7,0,0.833333333333333,0.2,0.6,0.1,"1",4267.34716796875,66.508,0.879924096033046,0.646932827402776
0,0.7,0,0.833333333333333,0.4,0.4,0.1,"2",4107.7822265625,132.89,0.898626087044248,0.635741002370904
0,0.7,0,0.833333333333333,0.3,0.8,0.3,"1",4612.669921875,73.464,0.851458146626505,0.638435205171672
0,0.7,0,0.833333333333333,0.5,1,0.3,"2",4558.19580078125,73.55,0.822395232886435,0.623448204608691
0,0.7,0,0.833333333333333,0.4,0.1,0.5,"1",5126.92236328125,76.888,0.798544458463643,0.613897058862958
0,0.7,0,0.833333333333333,0.8,0,0.5,"2",5295.48876953125,78.904,0.768397553880981,0.604217628342735
0,0.7,0,1,0.4,0.1,0.1,"1",3980.4072265625,63.369,0.904091708757341,0.628598516283139
0,0.7,0,1,0.5,0.4,0.1,"2",4450.146484375,76.246,0.869726142465506,0.637961033580972
0,0.7,0,1,0.5,0.8,0.3,"1",4611.587890625,71.138,0.856245886175757,0.600527110347816
0,0.7,0,1,1,0.7,0.3,"2",4778.74609375,73.563,0.831173899063852,0.658881554175672
0,0.7,0,1,0.4,0.7,0.5,"1",5172.5751953125,77.926,0.79192791353269,0.606005895646774
0,0.7,0,1,0.2,0.9,0.5,"2",5207.6865234375,79.525,0.777991479359808,0.596913982618373
0,0.7,0.166666666666667,0,0.5,0.7,0.1,"1",4210.3681640625,67.549,0.883656497622129,0.635504871172763
0,0.7,0.166666666666667,0,0,0.5,0.1,"2",4538.3125,57.967,0.800266657075552,0.622052305446913
0,0.7,0.166666666666667,0,1,0.8,0.3,"1",4811.572265625,78.559,0.829130600250556,0.651444550464691
0,0.7,0.166666666666667,0,0,0.4,0.3,"2",4915.853515625,63.372,0.716224052058149,0.632817816458588
0,0.7,0.166666666666667,0,0.9,0.5,0.5,"1",5496.23046875,83.233,0.7304339186786,0.628738230743239
0,0.7,0.166666666666667,0,0.2,0.9,0.5,"2",5538.84912109375,87.146,0.697857050524861,0.601977734916247
0,0.7,0.166666666666667,0.166666666666667,0.8,0.4,0.1,"1",4019.8837890625,66.831,0.906458483501566,0.651877333379891
0,0.7,0.166666666666667,0.166666666666667,0.8,0.4,0.1,"2",4300.12109375,70.208,0.873806123093493,0.633737766133333
0,0.7,0.166666666666667,0.166666666666667,0.3,0.6,0.3,"1",4764.70556640625,76.47,0.834819495453278,0.654519419258869
0,0.7,0.166666666666667,0.166666666666667,0.1,0.5,0.3,"2",5223.1748046875,81.07,0.780212662394339,0.646348388910196
0,0.7,0.166666666666667,0.166666666666667,0.8,0.8,0.5,"1",5438.693359375,84.303,0.736743688518396,0.625606900499803
0,0.7,0.166666666666667,0.166666666666667,0.6,0.9,0.5,"2",5618.4892578125,85.668,0.706185403286026,0.570867833048673
0,0.7,0.166666666666667,0.333333333333333,1,0.7,0.1,"1",4182.66162109375,65.484,0.890159773752899,0.61817785447794
0,0.7,0.166666666666667,0.333333333333333,0.5,0.1,0.1,"2",4483.3984375,70.633,0.863990556569084,0.625719013332504
0,0.7,0.166666666666667,0.333333333333333,0.1,1,0.3,"1",4542.4609375,74.84,0.817736630573897,0.635682410501784
0,0.7,0.166666666666667,0.333333333333333,0.4,0.3,0.3,"2",5056.68212890625,79.409,0.794833398609026,0.664034638970168
0,0.7,0.166666666666667,0.333333333333333,0,1,0.5,"1",5308.76953125,68.126,0.643688244713649,0.60477716684345
0,0.7,0.166666666666667,0.333333333333333,0.2,0.3,0.5,"2",5545.20849609375,84.089,0.719896968775126,0.587074364944676
0,0.7,0.166666666666667,0.5,0.4,0.5,0.1,"1",4540.130859375,81.481,0.850794106693425,0.643778670297212
0,0.7,0.166666666666667,0.5,0.1,0.3,0.1,"2",4314.142578125,68.742,0.877823167849469,0.663364794010574
0,0.7,0.166666666666667,0.5,0.6,0.3,0.3,"1",4781.5224609375,77.029,0.829903748040565,0.641887670344086
0,0.7,0.166666666666667,0.5,0.6,0.2,0.3,"2",5015.97509765625,78.624,0.800562585341667,0.666342190950567
0,0.7,0.166666666666667,0.5,0.3,0.3,0.5,"1",5383.1982421875,83.824,0.750424307259112,0.602849874581545
0,0.7,0.166666666666667,0.5,0.7,0.4,0.5,"2",5627.041015625,86.696,0.717227521670748,0.615306028926553
0,0.7,0.166666666666667,0.666666666666667,0.3,0.1,0.1,"1",4760.416015625,74.514,0.828468942203644,0.636810715905452
0,0.7,0.166666666666667,0.666666666666667,0.7,0.3,0.1,"2",4510.54296875,72.098,0.861002694085783,0.626923077632796
0,0.7,0.166666666666667,0.666666666666667,0.3,0.4,0.3,"1",4883.86328125,77.998,0.813188407389036,0.643593493924376
0,0.7,0.166666666666667,0.666666666666667,1,0.2,0.3,"2",5020.9130859375,92.406,0.802589609135789,0.653778496435679
0,0.7,0.166666666666667,0.666666666666667,0.1,0.5,0.5,"1",5320.705078125,82.864,0.771071415930867,0.626588110332249
0,0.7,0.166666666666667,0.666666666666667,0.3,0.7,0.5,"2",5646.8583984375,86.958,0.718760235291124,0.608329284167413
