"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.5,0,0.1,"1",3650.23583984375,59.858,0.927606197120018,0.637590387711338
0,0.7,0,0,0.7,0.2,0.1,"2",4055.23583984375,200.686,0.905259116799293,0.644898713364719
0,0.7,0,0,0,0.1,0.3,"1",4420.64453125,56.271,0.807389066161313,0.623207503734465
0,0.7,0,0,0.7,0.5,0.3,"2",4953.5771484375,81.308,0.847591679066759,0.651688790295461
0,0.7,0,0,0.5,1,0.5,"1",4931.341796875,80.554,0.812450840167444,0.634484912604052
0,0.7,0,0,0.3,0.1,0.5,"2",5596.46875,86.238,0.793111098937314,0.610404280525764
0,0.7,0,0.166666666666667,0,0,0.1,"1",3695.92016601562,45.037,0.875252499606428,0.622474283219701
0,0.7,0,0.166666666666667,1,0.8,0.1,"2",4050.25341796875,65.08,0.907156722434868,0.658759301700478
0,0.7,0,0.166666666666667,0.6,0.6,0.3,"1",4641.30517578125,142.667,0.864312361831835,0.649348033581303
0,0.7,0,0.166666666666667,0.8,0.4,0.3,"2",4851.212890625,77.495,0.85151702362902,0.651464889188674
0,0.7,0,0.166666666666667,0.1,0.4,0.5,"1",5426.23046875,83.991,0.814803801721458,0.628301805311609
0,0.7,0,0.166666666666667,0.7,0.5,0.5,"2",5458.3583984375,85.634,0.79412589330721,0.613419399090222
0,0.7,0,0.333333333333333,0.5,0.9,0.1,"1",3774.95849609375,63.465,0.924583336694728,0.638064324936927
0,0.7,0,0.333333333333333,0.6,0.7,0.1,"2",4202.5322265625,65.91,0.894379332549322,0.644180295161487
0,0.7,0,0.333333333333333,1,0,0.3,"1",4641.5380859375,75.055,0.869287841693003,0.645793515158392
0,0.7,0,0.333333333333333,0.2,0.5,0.3,"2",4916.251953125,77.916,0.848759511139863,0.644719409348033
0,0.7,0,0.333333333333333,0.9,0.3,0.5,"1",5253.5634765625,80.094,0.808973213367721,0.618447218690185
0,0.7,0,0.333333333333333,0.4,0.7,0.5,"2",5526.62255859375,84.41,0.788017013275429,0.620653448845052
0,0.7,0,0.5,0.9,0.3,0.1,"1",3596.37841796875,59.747,0.930945337807287,0.639460075856069
0,0.7,0,0.5,0.8,0.8,0.1,"2",4430.263671875,68.819,0.882670661052799,0.667360740933311
0,0.7,0,0.5,0.4,0.2,0.3,"1",4658.9501953125,74.397,0.869404790701501,0.659729701245047
0,0.7,0,0.5,0.6,0.2,0.3,"2",4816.9755859375,77.083,0.854683216747747,0.626634302634942
0,0.7,0,0.5,0.5,0.4,0.5,"1",5341.8935546875,82.542,0.816913347460971,0.618334083329288
0,0.7,0,0.5,0.7,0.6,0.5,"2",5516.7412109375,83.384,0.784706140025314,0.628951160337563
0,0.7,0,0.666666666666667,0.3,0.5,0.1,"1",4270.76318359375,67.253,0.891233255893868,0.649741944288779
0,0.7,0,0.666666666666667,0.6,0.1,0.1,"2",3953.62451171875,64.677,0.914620496713475,0.658615175713428
0,0.7,0,0.666666666666667,0.4,0,0.3,"1",4477.9560546875,74.519,0.87957497244014,0.644802224826735
0,0.7,0,0.666666666666667,0.6,0.5,0.3,"2",5049.1396484375,77.023,0.844704188847619,0.625274085068416
0,0.7,0,0.666666666666667,0.6,0.9,0.5,"1",5231.9287109375,92.031,0.808053323939642,0.639109372026571
0,0.7,0,0.666666666666667,0.3,0.8,0.5,"2",5809.2861328125,87.17,0.771311238420476,0.608527924981463
0,0.7,0,0.833333333333333,0.8,0.8,0.1,"1",3863.6875,64.073,0.915323778166778,0.673780554612023
0,0.7,0,0.833333333333333,0.2,0.4,0.1,"2",3931.03955078125,66.802,0.915541792997832,0.635923879233236
0,0.7,0,0.833333333333333,0.6,1,0.3,"1",4326.89599609375,73.408,0.867801815266237,0.639534083736982
0,0.7,0,0.833333333333333,0,0.3,0.3,"2",4609.02880859375,55.494,0.79670793493188,0.618327468764383
0,0.7,0,0.833333333333333,0.3,0.5,0.5,"1",5290.3359375,124.252,0.814263410183373,0.638174225525035
0,0.7,0,0.833333333333333,0.6,0.8,0.5,"2",5477.666015625,87.696,0.791956049268177,0.629139009355868
0,0.7,0,1,0.3,0,0.1,"1",4113.498046875,66.445,0.905596348311124,0.650050667497385
0,0.7,0,1,0.7,0.1,0.1,"2",3968.28393554688,67.724,0.913773922035122,0.661095121241914
0,0.7,0,1,0.1,0.3,0.3,"1",4589.044921875,73.414,0.874028936081483,0.657134197817275
0,0.7,0,1,0.7,0.6,0.3,"2",4853.92138671875,79.675,0.848967805342773,0.639793660307833
0,0.7,0,1,0.6,0.1,0.5,"1",5304.7392578125,83.548,0.813722061413927,0.624864349540927
0,0.7,0,1,0.6,0.8,0.5,"2",5704.1279296875,110.68,0.7787344896655,0.591830241429027
0,0.7,0.166666666666667,0,0.1,0.1,0.1,"1",4135.37744140625,67.148,0.898890157139525,0.670248528763554
0,0.7,0.166666666666667,0,0.5,0.2,0.1,"2",4474.4609375,72.066,0.878913357070706,0.658988335014816
