"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.7,0.7,0.1,"1",4502.734375,68.242,0.880963329143687,0.657903852456549
0,0.7,0,0,0.9,0.1,0.1,"2",4101.65625,65.129,0.905356003581155,0.643052370157549
0,0.7,0,0,1,0.5,0.3,"1",4513.8369140625,74.851,0.874179205145206,0.650498272182256
0,0.7,0,0,0.3,0.1,0.3,"2",5018.97216796875,77.488,0.838576974120208,0.655361593172228
0,0.7,0,0,0.7,1,0.5,"1",4983.892578125,80.39,0.814641710459371,0.63129319212173
0,0.7,0,0,1,0.3,0.5,"2",5724.2734375,87.956,0.769931852160534,0.603630667113191
0,0.7,0,0.166666666666667,0.4,0,0.1,"1",3974.04174804688,63.409,0.907812389743497,0.646159531558082
0,0.7,0,0.166666666666667,1,0.5,0.1,"2",3919.09912109375,62.122,0.916914774546486,0.660250388494474
0,0.7,0,0.166666666666667,0.4,0.2,0.3,"1",4795.4091796875,77.854,0.859133525637018,0.645861151257571
0,0.7,0,0.166666666666667,0.2,0.5,0.3,"2",4828.6064453125,77.662,0.852129264570596,0.648869582077169
0,0.7,0,0.166666666666667,0.5,0.4,0.5,"1",5298.0498046875,82.798,0.812723775675513,0.650243527410514
0,0.7,0,0.166666666666667,0.4,0.6,0.5,"2",5764.4482421875,87.15,0.771094602538006,0.6156129446869
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"1",3709.72509765625,57.656,0.925266172246584,0.613839968996619
0,0.7,0,0.333333333333333,0.2,0.6,0.1,"2",3967.73510742188,64.481,0.913486600244008,0.631930883008249
0,0.7,0,0.333333333333333,0.9,1,0.3,"1",4411.099609375,74.971,0.867238000071993,0.626791643931989
0,0.7,0,0.333333333333333,0,0.3,0.3,"2",4348.04345703125,55.677,0.817295673421591,0.631342743407961
0,0.7,0,0.333333333333333,0.5,0.8,0.5,"1",5417.0478515625,81.586,0.796398321053107,0.604901632144812
0,0.7,0,0.333333333333333,0.9,0.7,0.5,"2",5650.9580078125,86.306,0.784354411206172,0.622797908356838
