"SiteName","UTM_E","UTM_N","trap","session","site_trap_period"
"SM-04",564940,4900934,"M1","S1","SM-04_M1_S1"
"HOBO-315",565090,4901358,"M1","S1","HOBO-315_M1_S1"
"HOBO-308",565355,4900444,"M1","S1","HOBO-308_M1_S1"
"HOBO-310",566025,4900660,"M1","S1","HOBO-310_M1_S1"
"HOBO-312",566147,4901320,"M1","S1","HOBO-312_M1_S1"
"622337",564488,4892832,"M1","S1","622337_M1_S1"
"594580",562541,4893290,"M1","S1","594580_M1_S1"
"544292",562145,4894663,"M1","S1","544292_M1_S1"
"700239",563893,4892954,"M1","S1","700239_M1_S1"
"601725",561397,4893019,"M1","S1","601725_M1_S1"
"647830",559534,4891481,"M1","S1","647830_M1_S1"
"652934",558826,4891351,"M1","S1","652934_M1_S1"
"650846",557737,4891311,"M1","S1","650846_M1_S1"
"642613",556854,4891361,"M1","S1","642613_M1_S1"
"SM-PG",560272,4896225,"M1","S1","SM-PG_M1_S1"
"700226",565581,4892903,"M1","S1","700226_M1_S1"
"HOBO-304",563836,4899195,"M1","S1","HOBO-304_M1_S1"
"HOBO-335",561664,4897213,"M1","S1","HOBO-335_M1_S1"
"HOBO-053",567374,4899019,"M1","S1","HOBO-053_M1_S1"
"HOBO-063",567977,4899592,"M1","S1","HOBO-063_M1_S1"
"SM-09",567990,4900501,"M1","S1","SM-09_M1_S1"
"HOBO-265",567001,4902618,"M1","S1","HOBO-265_M1_S1"
"SM-08",567939,4902193,"M1","S1","SM-08_M1_S1"
"HOBO-273",568200,4903500,"M1","S1","HOBO-273_M1_S1"
"HOBO-270",568792,4903058,"M1","S1","HOBO-270_M1_S1"
"SM-02",564813,4899999,"M1","S1","SM-02_M1_S1"
"SM-01",564870,4898229,"M1","S1","SM-01_M1_S1"
"HOBO-055",567367,4898518,"M1","S1","HOBO-055_M1_S1"
"SM-07",567031,4899518,"M1","S1","SM-07_M1_S1"
"146764",565954,4904963,"M1","S1","146764_M1_S1"
"129276",566409,4905644,"M1","S1","129276_M1_S1"
"179439",564607,4903596,"M1","S1","179439_M1_S1"
"161191",565031,4904352,"M1","S1","161191_M1_S1"
"124031",568830,4905948,"M1","S1","124031_M1_S1"
"081090",567429,4904826,"M1","S1","081090_M1_S1"
"135431",568424,4905487,"M1","S1","135431_M1_S1"
"150802",565612,4903947,"M1","S1","150802_M1_S1"
"150801",566740,4904503,"M1","S1","150801_M1_S1"
"258173",565879,4903183,"M1","S1","258173_M1_S1"
"248762",564142,4900864,"M1","S1","248762_M1_S1"
"HOBO-242",567092,4898047,"M1","S1","HOBO-242_M1_S1"
"HOBO-331",570775,4896043,"M1","S1","HOBO-331_M1_S1"
"HOBO-333",570483,4895464,"M1","S1","HOBO-333_M1_S1"
"HOBO-216",569855,4894866,"M1","S1","HOBO-216_M1_S1"
"HOBO-233",569577,4895393,"M1","S1","HOBO-233_M1_S1"
"SM-03",563839,4897717,"M1","S1","SM-03_M1_S1"
"HOBO-349",562725,4897644,"M1","S1","HOBO-349_M1_S1"
"307043",557449,4898230,"M1","S1","307043_M1_S1"
"292528",555665,4898922,"M1","S1","292528_M1_S1"
"378882",555122,4899228,"M1","S1","378882_M1_S1"
"134101",559836,4897180,"M1","S1","134101_M1_S1"
"130102",561523,4898458,"M1","S1","130102_M1_S1"
"128101",562060,4898855,"M1","S1","128101_M1_S1"
"130101",561772,4899699,"M1","S1","130101_M1_S1"
"279822",562363,4899611,"M1","S1","279822_M1_S1"
"268413",562804,4900021,"M1","S1","268413_M1_S1"
"252447",563239,4900683,"M1","S1","252447_M1_S1"
"HOBO-211",561071,4897180,"M1","S1","HOBO-211_M1_S1"
"HOBO-341",562273,4896274,"M1","S1","HOBO-341_M1_S1"
"HOBO-347",561155,4895781,"M1","S1","HOBO-347_M1_S1"
"HOBO-357",562701,4895822,"M1","S1","HOBO-357_M1_S1"
"HOBO-353",561600,4895723,"M1","S1","HOBO-353_M1_S1"
"HOBO-345",563178,4896142,"M1","S1","HOBO-345_M1_S1"
"HOBO-351",562042,4895853,"M1","S1","HOBO-351_M1_S1"
"HOBO-032",565592,4895774,"M1","S1","HOBO-032_M1_S1"
"HOBO-014",564342,4896049,"M1","S1","HOBO-014_M1_S1"
"HOBO-060",567339,4895095,"M1","S1","HOBO-060_M1_S1"
"076361",559380,4908110,"M1","S1","076361_M1_S1"
"159408",557638,4905945,"M1","S1","159408_M1_S1"
"155365",559531,4905949,"M1","S1","155365_M1_S1"
"123545",559069,4906844,"M1","S1","123545_M1_S1"
"217961",559905,4904157,"M1","S1","217961_M1_S1"
"131067",560727,4904273,"M1","S1","131067_M1_S1"
"207746",561269,4904331,"M1","S1","207746_M1_S1"
"257002",561506,4903045,"M1","S1","257002_M1_S1"
"286789",562481,4902252,"M1","S1","286789_M1_S1"
"150732",562682,4901132,"M1","S1","150732_M1_S1"
"361840",557647,4896180,"M1","S1","361840_M1_S1"
"357256",556932,4896401,"M1","S1","357256_M1_S1"
"400605",556312,4894446,"M1","S1","400605_M1_S1"
"364070",556046,4895953,"M1","S1","364070_M1_S1"
"367193",558513,4895962,"M1","S1","367193_M1_S1"
"372502",557910,4895668,"M1","S1","372502_M1_S1"
"287338",559781,4899188,"M1","S1","287338_M1_S1"
"301004",559007,4898550,"M1","S1","301004_M1_S1"
"280500",560528,4899462,"M1","S1","280500_M1_S1"
"268355",560966,4899982,"M1","S1","268355_M1_S1"
