"lambda.env","alpha.env","lambda.SB","alpha.SB","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.8,0.01,0.4,0.2,"1",4277.67431640625,78.944,0.873248091368887,0.715972937067353
0.01,0.8,0.01,0.4,0.3,"1",4768.13134765625,91.26,0.822706121698415,0.713877642695311
0.01,0.8,0.01,0.4,0.4,"1",5074.85302734375,91.011,0.807127214328763,0.711665561515306
0.01,0.8,0.01,0.5,0.2,"1",4566.80517578125,79.559,0.854745578138543,0.719830455531649
0.01,0.8,0.01,0.5,0.3,"1",4856.587890625,87.406,0.804957986433035,0.717943819445844
0.01,0.8,0.01,0.5,0.4,"1",5004.771484375,89.931,0.800558229898926,0.704379264309465
0.01,0.8,0.01,0.6,0.2,"1",4169.37158203125,79.098,0.88794523117399,0.726879748002936
0.01,0.8,0.01,0.6,0.3,"1",4733.13720703125,84.166,0.83871883352252,0.713562225482515
0.01,0.8,0.01,0.6,0.4,"1",4944.08984375,88.849,0.807298560009961,0.710893081039607
0.01,0.8,0.105,0.4,0.2,"1",5200.2763671875,89.425,0.863862593766867,0.731453715701904
0.01,0.8,0.105,0.4,0.3,"1",5492.3359375,94.808,0.811101703811782,0.735784864152298
0.01,0.8,0.105,0.4,0.4,"1",5997.10302734375,106.482,0.752593580734039,0.705900959121867
0.01,0.8,0.105,0.5,0.2,"1",5114.4814453125,89.232,0.857198528899731,0.727097423411895
0.01,0.8,0.105,0.5,0.3,"1",5530.98681640625,97.163,0.821348516939737,0.73046375384664
0.01,0.8,0.105,0.5,0.4,"1",5846.51806640625,101.462,0.778729882522079,0.706745521891515
0.01,0.8,0.105,0.6,0.2,"1",5359.39794921875,93.982,0.833691768680111,0.729230959277848
0.01,0.8,0.105,0.6,0.3,"1",5447.87548828125,93.324,0.822083593723792,0.722552089124446
0.01,0.8,0.105,0.6,0.4,"1",5734.33203125,101.289,0.78978432402346,0.713150989450542
0.01,0.8,0.2,0.4,0.2,"1",5163.8515625,86.255,0.844532711066413,0.72359258014096
0.01,0.8,0.2,0.4,0.3,"1",5335.375,95.924,0.837796818168951,0.738839032975329
0.01,0.8,0.2,0.4,0.4,"1",5857.1337890625,118.694,0.759609047994943,0.721453806821987
0.01,0.8,0.2,0.5,0.2,"1",5083.8994140625,88.572,0.85247902208842,0.740850627499178
0.01,0.8,0.2,0.5,0.3,"1",5619.232421875,93.586,0.81666905442787,0.730650658445309
0.01,0.8,0.2,0.5,0.4,"1",5929.4384765625,101.545,0.762988876517532,0.722228623772741
0.01,0.8,0.2,0.6,0.2,"1",4815.11474609375,84.884,0.876433317906788,0.745021158351295
0.01,0.8,0.2,0.6,0.3,"1",5524.1953125,94.876,0.810435864025423,0.721074038899593
0.01,0.8,0.2,0.6,0.4,"1",5949.4619140625,109.616,0.78383443231061,0.732134382659745
0.01,0.9,0.01,0.4,0.2,"1",4109.9462890625,77.395,0.897984357765176,0.726713186189422
0.01,0.9,0.01,0.4,0.3,"1",4586.4814453125,84.08,0.84520135327058,0.720283380578564
0.01,0.9,0.01,0.4,0.4,"1",5137.30126953125,91.755,0.786610349551474,0.701492391780648
0.01,0.9,0.01,0.5,0.2,"1",4794.39453125,88.569,0.827406751386103,0.722182464945146
0.01,0.9,0.01,0.5,0.3,"1",4963.72314453125,88.009,0.804588301153891,0.708344918792489
0.01,0.9,0.01,0.5,0.4,"1",4956.1728515625,88.735,0.808153167482947,0.711327070497467
0.01,0.9,0.01,0.6,0.2,"1",4309.353515625,78.711,0.865052303390696,0.721685848962064
0.01,0.9,0.01,0.6,0.3,"1",4530.439453125,82.704,0.850078940353809,0.714316133627195
0.01,0.9,0.01,0.6,0.4,"1",4925.33837890625,88.589,0.811606370344399,0.703034845431478
0.01,0.9,0.105,0.4,0.2,"1",5082.4423828125,93.679,0.857636881140848,0.728384564347906
0.01,0.9,0.105,0.4,0.3,"1",5444.39453125,94.71,0.818557372477167,0.711802674706021
0.01,0.9,0.105,0.4,0.4,"1",5969.46142578125,102.35,0.788867398365193,0.720823128574088
0.01,0.9,0.105,0.5,0.2,"1",4890.59765625,91.117,0.874965497937748,0.74478229417168
0.01,0.9,0.105,0.5,0.3,"1",5689.32568359375,99.997,0.808650466778809,0.724125022817478
0.01,0.9,0.105,0.5,0.4,"1",5855.07861328125,100.073,0.770623441047159,0.702404928771617
0.01,0.9,0.105,0.6,0.2,"1",4991.5458984375,86.786,0.869785025114063,0.743350995843536
0.01,0.9,0.105,0.6,0.3,"1",5710.16064453125,96.333,0.800352951442453,0.729155267134274
0.01,0.9,0.105,0.6,0.4,"1",5653.8837890625,98.673,0.805329449942177,0.726581604413552
