"lambda.env","alpha.env","lambda.SB","alpha.SB","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.8,0.01,0.4,0.2,"1",4474.37646484375,81.241,0.840482944085891,0.704799155507276
0.01,0.8,0.01,0.4,0.3,"1",5061.00146484375,89.613,0.768653251076474,0.694853244739221
0.01,0.8,0.01,0.4,0.4,"1",4989.9267578125,90.521,0.783258512638332,0.696261352493769
0.01,0.8,0.01,0.5,0.2,"1",4286.93408203125,77.999,0.866036985779666,0.722604051879414
0.01,0.8,0.01,0.5,0.3,"1",4802.00244140625,82.663,0.811006440503439,0.723618467904487
0.01,0.8,0.01,0.5,0.4,"1",4838.90869140625,87.21,0.799156755945279,0.699955054851687
0.01,0.8,0.01,0.6,0.2,"1",4651.013671875,80.521,0.818990624316862,0.723077163770365
0.01,0.8,0.01,0.6,0.3,"1",4490.3447265625,79.808,0.854907681066775,0.716930576271476
0.01,0.8,0.01,0.6,0.4,"1",5046.44677734375,86.933,0.782062550255991,0.706959101687363
0.01,0.8,0.105,0.4,0.2,"1",4960.37451171875,87.231,0.841918545972474,0.729858634091903
0.01,0.8,0.105,0.4,0.3,"1",5264.02734375,90.468,0.816862313803559,0.726274547005046
0.01,0.8,0.105,0.4,0.4,"1",5507.23583984375,96.378,0.757231269943996,0.717664827712782
0.01,0.8,0.105,0.5,0.2,"1",4939.2587890625,84.981,0.831491222830271,0.725627564393549
0.01,0.8,0.105,0.5,0.3,"1",5437.828125,94.232,0.800628199737972,0.720322131769276
0.01,0.8,0.105,0.5,0.4,"1",5514.33837890625,100.807,0.759715261580095,0.720440269054932
0.01,0.8,0.105,0.6,0.2,"1",5110.52294921875,89.243,0.813157470891253,0.728447569823849
0.01,0.8,0.105,0.6,0.3,"1",5223.27978515625,89.426,0.813451026775987,0.740445552777714
0.01,0.8,0.105,0.6,0.4,"1",5425.0205078125,91.196,0.783362149479717,0.720950501674607
0.01,0.8,0.2,0.4,0.2,"1",4957.0263671875,83.629,0.837085459013751,0.746001931312034
0.01,0.8,0.2,0.4,0.3,"1",5276.7626953125,89.005,0.803555211846741,0.72276983095131
0.01,0.8,0.2,0.4,0.4,"1",5504.18310546875,91.808,0.75171150196149,0.7247633052551
0.01,0.8,0.2,0.5,0.2,"1",5203.72509765625,92.888,0.794532568878799,0.713185375255921
0.01,0.8,0.2,0.5,0.3,"1",5414.61865234375,93.855,0.772151952911833,0.708441534449101
0.01,0.8,0.2,0.5,0.4,"1",5599.95751953125,96.197,0.74176796630652,0.720439093523066
0.01,0.8,0.2,0.6,0.2,"1",5118.62939453125,85.19,0.802990744592267,0.726872402841073
0.01,0.8,0.2,0.6,0.3,"1",5183.53076171875,88.784,0.805642366168774,0.730867405087887
0.01,0.8,0.2,0.6,0.4,"1",5511.67724609375,96.404,0.768520088035863,0.704739190567728
0.01,0.9,0.01,0.4,0.2,"1",4670.38525390625,81.36,0.813921666862083,0.704194380301584
0.01,0.9,0.01,0.4,0.3,"1",4756.85107421875,84.271,0.802214138175027,0.71771614683113
0.01,0.9,0.01,0.4,0.4,"1",5031.3876953125,90.371,0.774370433204187,0.692524299293268
0.01,0.9,0.01,0.5,0.2,"1",4584.9912109375,80.895,0.832520695750191,0.711986968109091
0.01,0.9,0.01,0.5,0.3,"1",4722.19775390625,83.937,0.80796560754279,0.712951759904552
0.01,0.9,0.01,0.5,0.4,"1",4888.96875,86.599,0.791291880097224,0.71568436201322
0.01,0.9,0.01,0.6,0.2,"1",4374.93701171875,77.154,0.854799459925629,0.711802947356549
0.01,0.9,0.01,0.6,0.3,"1",4681.560546875,82.836,0.829804647630694,0.726680671381758
0.01,0.9,0.01,0.6,0.4,"1",5032.01953125,87.123,0.773899189851212,0.715478662527362
0.01,0.9,0.105,0.4,0.2,"1",4667.3876953125,79.666,0.871099135287115,0.725959832867868
0.01,0.9,0.105,0.4,0.3,"1",5337.81005859375,88.432,0.798390025358171,0.722836042623979
0.01,0.9,0.105,0.4,0.4,"1",5654.62158203125,96.844,0.773460621630519,0.714167915595345
0.01,0.9,0.105,0.5,0.2,"1",4954.91357421875,84.751,0.835777037548161,0.719782656897427
0.01,0.9,0.105,0.5,0.3,"1",5060.2890625,92.637,0.824121070702652,0.730758841719519
0.01,0.9,0.105,0.5,0.4,"1",5516.26904296875,100.028,0.768675086267335,0.723019987160545
0.01,0.9,0.105,0.6,0.2,"1",4845.82373046875,85.807,0.850425591754318,0.734773366237028
0.01,0.9,0.105,0.6,0.3,"1",5299.91015625,89.244,0.791123930513512,0.72248661408135
0.01,0.9,0.105,0.6,0.4,"1",5596.37255859375,99.902,0.768606618035923,0.719350053127227
0.01,0.9,0.2,0.4,0.2,"1",5211.75048828125,88.067,0.796611967622412,0.723600383702685
0.01,0.9,0.2,0.4,0.3,"1",5196.07568359375,87.986,0.796102498235164,0.739642341216297
0.01,0.9,0.2,0.4,0.4,"1",5556.8681640625,97.543,0.734405135708627,0.712224187967474
0.01,0.9,0.2,0.5,0.2,"1",4859.615234375,81.907,0.848485436721549,0.734003485009985
0.01,0.9,0.2,0.5,0.3,"1",5158.17431640625,96.613,0.810785128737324,0.728012097328487
0.01,0.9,0.2,0.5,0.4,"1",5703.0673828125,93.254,0.740155616421185,0.711874920610002
0.01,0.9,0.2,0.6,0.2,"1",4829.90625,83.112,0.844359423372092,0.731490027212534
0.01,0.9,0.2,0.6,0.3,"1",5327.38671875,88.678,0.802135907470424,0.725192579790832
0.01,0.9,0.2,0.6,0.4,"1",5599.53662109375,95.095,0.739960877690024,0.710530874058687
0.01,1,0.01,0.4,0.2,"1",4700.8115234375,84.92,0.811143799660899,0.708873132803227
0.01,1,0.01,0.4,0.3,"1",4546.087890625,81.284,0.842261714496836,0.730428545042782
0.01,1,0.01,0.4,0.4,"1",4703.041015625,84.467,0.809886805153208,0.716634381689795
0.01,1,0.01,0.5,0.2,"1",4749.49072265625,81.927,0.805923761975345,0.710986513920231
0.01,1,0.01,0.5,0.3,"1",4814.56640625,83.053,0.822611129946296,0.723352402329917
0.01,1,0.01,0.5,0.4,"1",4900.203125,86.267,0.771931196615229,0.702955270216033
0.01,1,0.01,0.6,0.2,"1",4207.052734375,73.986,0.881403686066402,0.717555600224505
0.01,1,0.01,0.6,0.3,"1",4584.3076171875,81.807,0.824927778212303,0.709812581958788
0.01,1,0.01,0.6,0.4,"1",4963.775390625,83.113,0.787906384684519,0.700843454641409
