"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test","ll.explain","ll.test","nagel.explain","nagel.test"
0.01,0.8,0.01,0.4,0.5,0.2,0.2,"1",4435.66064453125,72.622,0.858801570073706,0.634965250364867,-72.7921300729878,-113.370988501348,0.440781107513362,-0.229987438255927
0.01,0.8,0.01,0.4,0.2,0.4,0.3,"1",4717.70166015625,79.491,0.836969726003817,0.632748007819672,-76.9137849520154,-100.777915718279,0.405259585571872,0.0165195527586042
0.01,0.8,0.01,0.4,1,0.7,0.4,"1",4938.9013671875,149.443,0.799376201219825,0.631498220055339,-81.180707761723,-99.3670865755829,0.364375068212625,0.0592788448216771
0.01,0.8,0.01,0.5,1,0.2,0.2,"1",4679.0263671875,75.864,0.841363037427408,0.616067632538754,-76.502333761903,-102.226607891447,0.405424008821024,-0.0530984987207651
0.01,0.8,0.01,0.5,0.9,0.2,0.3,"1",4775.435546875,76.779,0.816089550537135,0.601769994139453,-78.9166681205622,-96.5300046317125,0.383284053356172,0.104040409779769
0.01,0.8,0.01,0.5,0.7,1,0.4,"1",4878.736328125,82.272,0.769369755560521,0.609841680926506,-84.4355511090339,-101.2313381982,0.33635868353208,0.0288047683786047
0.01,0.8,0.01,0.6,0.2,0.8,0.2,"1",4414.43017578125,72.841,0.863108849562833,0.646877347101132,-72.9739608058816,-111.153345057427,0.445790298254543,-0.259017042951835
0.01,0.8,0.01,0.6,0.3,0,0.3,"1",4588.89990234375,79.328,0.835606204796493,0.622650600540093,-76.6641241873953,-106.301029739425,0.407463384116084,-0.128171945383377
0.01,0.8,0.01,0.6,1,0.2,0.4,"1",5081.525390625,86.501,0.761090028375362,0.625860957898469,-85.1227602429115,-102.847590344281,0.331573663584203,0.00724414124730679
0.01,0.8,0.155,0.4,0.9,0.2,0.2,"1",4612.2783203125,77.178,0.837154737450298,0.644044356684489,-76.3058770069888,-111.76884654899,0.411611376729213,-0.334887916190805
0.01,0.8,0.155,0.4,1,0.2,0.3,"1",4900.173828125,85.281,0.769964980057126,0.63230864181365,-84.1553162402842,-102.647856646022,0.342860247308261,-0.0226961835028485
0.01,0.8,0.155,0.4,0.5,0.7,0.4,"1",5339.931640625,88.738,0.720000252335714,0.606634602451951,-88.4833851423388,-96.4242967531356,0.290712829328581,0.0652860363627185
0.01,0.8,0.155,0.5,0.8,0.8,0.2,"1",4628.66162109375,74.726,0.834894677131754,0.641760989909967,-76.4455789928298,-104.983277627117,0.410584271306589,-0.216116525188601
0.01,0.8,0.155,0.5,0.8,0.3,0.3,"1",4958.4140625,81.585,0.789886610469357,0.650610386621682,-82.4648277647081,-96.652160644726,0.35268032405075,0.0101227172566967
0.01,0.8,0.155,0.5,0.1,0.7,0.4,"1",5260.2685546875,88.472,0.718934027825907,0.615457513757279,-88.8169398810757,-97.6554330992684,0.291688942613045,0.0746719321170291
0.01,0.8,0.155,0.6,0.2,0.2,0.2,"1",4642.4404296875,80.26,0.820908194985796,0.639677323718244,-78.4801189126156,-103.075314992989,0.386707247972843,-0.0693228348112094
0.01,0.8,0.155,0.6,0.6,0.1,0.3,"1",4794.2275390625,79.537,0.799958335461482,0.631125212486039,-80.9213856570724,-100.309383912056,0.364064589186239,0.0192721254106203
0.01,0.8,0.155,0.6,1,0.8,0.4,"1",5219.1240234375,85.183,0.758558339647869,0.591659380450941,-85.8334401951752,-95.0470991905004,0.313046047627867,0.120428934161929
0.01,0.8,0.3,0.4,0.5,0.7,0.2,"1",4558.255859375,74.778,0.845238121371785,0.606844523545824,-75.4707641765803,-117.200752668174,0.419967643506961,-0.731472715899425
0.01,0.8,0.3,0.4,0.2,0.7,0.3,"1",4942.09765625,82.601,0.770559224347403,0.605849746806428,-83.9448514409891,-109.089625572546,0.336643560469153,-0.284575234708575
0.01,0.8,0.3,0.4,0.8,0.6,0.4,"1",5337.25,86.505,0.736093731291847,0.584304101734835,-87.7626047047006,-99.5196226402082,0.291587155067991,0.0188387866906465
0.01,0.8,0.3,0.5,0,0.2,0.2,"1",4416.6298828125,63.859,0.791339758204595,0.617032453117278,-83.4789639071931,-106.508516784803,0.34460327641249,-0.113165092549821
0.01,0.8,0.3,0.5,0.7,0.5,0.3,"1",5164.18603515625,84.159,0.746641331495635,0.638044758515773,-86.0798025209131,-104.188211523948,0.31162599321553,-0.0953351147934955
0.01,0.8,0.3,0.5,0.5,0.8,0.4,"1",5290.666015625,87.147,0.712946229384792,0.604446057952026,-89.3852060011881,-96.4586101001724,0.282823210494272,0.0729765412560469
0.01,0.8,0.3,0.6,0.7,0.1,0.2,"1",4661.38525390625,74.716,0.828030677276989,0.649817056640906,-78.1609011078564,-102.462410555508,0.391428433163785,-0.0334663294997838
0.01,0.8,0.3,0.6,0.5,0.4,0.3,"1",5049.88330078125,80.304,0.775253046189704,0.638252834851833,-84.2330227303507,-106.014877102641,0.330564655780588,-0.271133706329401
0.01,0.8,0.3,0.6,0,0.4,0.4,"1",4946.94580078125,70.249,0.670036786867623,0.583876192502045,-94.679661675957,-97.4887921584392,0.241216651735921,0.0855574802704452
0.01,0.9,0.01,0.4,0.1,0.6,0.2,"1",4790.865234375,80.429,0.813902434474445,0.638188134684298,-79.308564320583,-96.1807876689941,0.380713311010719,0.0839202551398155
