"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.8,0.01,0.4,0.8,0.4,0.2,"1",4500.73388671875,76.588,0.878472770715793,0.640023396224643
0.01,0.8,0.01,0.4,0.4,0.5,0.3,"1",5141.9775390625,84.285,0.821181291851355,0.618513117041463
0.01,0.8,0.01,0.4,0,0.4,0.4,"1",4898.66015625,68.432,0.748868372559029,0.584857933322874
0.01,0.8,0.01,0.5,1,0.7,0.2,"1",4414.4111328125,78.359,0.871210339974545,0.625243070370948
0.01,0.8,0.01,0.5,0.6,0.9,0.3,"1",4884.5791015625,81.597,0.843036299131076,0.664159881039676
0.01,0.8,0.01,0.5,0.2,0.6,0.4,"1",5234.173828125,97.739,0.816175429489155,0.629391218132693
0.01,0.8,0.01,0.6,1,0,0.2,"1",4951.3203125,81.062,0.840548280455492,0.654196851406464
0.01,0.8,0.01,0.6,0,0,0.3,"1",4138.81298828125,60.598,0.835298078920418,0.61516158141691
0.01,0.8,0.01,0.6,0.1,0.9,0.4,"1",4803.23046875,85.154,0.797288227240684,0.626211278952647
0.01,0.8,0.155,0.4,0.8,0,0.2,"1",4855.6875,83.206,0.83239182709641,0.618892981820838
0.01,0.8,0.155,0.4,0.4,0.9,0.3,"1",5105.34765625,85.321,0.811632716013864,0.623219752830526
0.01,0.8,0.155,0.4,0.7,1,0.4,"1",5253.5634765625,90.91,0.731004781673111,0.599641065259139
0.01,0.8,0.155,0.5,0.3,0.3,0.2,"1",4710.197265625,79.903,0.841840774814636,0.629846877284803
0.01,0.8,0.155,0.5,0.5,0.9,0.3,"1",5205.228515625,88.816,0.797463742086747,0.656837557531824
0.01,0.8,0.155,0.5,0.2,0.5,0.4,"1",5535.109375,113.49,0.769097185256394,0.619757602285309
0.01,0.8,0.155,0.6,0.9,0.4,0.2,"1",4719.1220703125,78.745,0.845015656561231,0.635511201189483
0.01,0.8,0.155,0.6,0.7,0.8,0.3,"1",5153.8134765625,86.591,0.803781305660814,0.651564136129886
0.01,0.8,0.155,0.6,0.1,0.5,0.4,"1",5450.2841796875,92.393,0.751533873777003,0.628280301878981
0.01,0.8,0.3,0.4,0.2,0.1,0.2,"1",5037.8466796875,83.804,0.81468004714064,0.625535476579008
0.01,0.8,0.3,0.4,0,0.9,0.3,"1",4704.59716796875,67.338,0.780840934424692,0.632870507720785
0.01,0.8,0.3,0.4,1,0.8,0.4,"1",5601.455078125,93.315,0.746688971555585,0.626760856817869
0.01,0.8,0.3,0.5,0.5,0.1,0.2,"1",4569.35693359375,79.266,0.858312110041809,0.663130434331148
0.01,0.8,0.3,0.5,0.4,1,0.3,"1",4764.287109375,83.229,0.787126679240812,0.63413325964317
0.01,0.8,0.3,0.5,0,0.3,0.4,"1",5196.21875,72.623,0.696369430369025,0.575899486513297
0.01,0.8,0.3,0.6,0.3,0.6,0.2,"1",4711.33349609375,79.944,0.845306530384776,0.643085467043534
0.01,0.8,0.3,0.6,0.7,0.1,0.3,"1",5253.12060546875,89.2,0.804813975926642,0.625609264446914
0.01,0.8,0.3,0.6,0.9,0.2,0.4,"1",5548.048828125,91.258,0.749181542408836,0.627096508071039
0.01,0.9,0.01,0.4,0,0.8,0.2,"1",4349.63623046875,60.486,0.821554802843917,0.649469712583523
0.01,0.9,0.01,0.4,1,0.6,0.3,"1",4874.6552734375,83.044,0.836659211331666,0.658094360507511
0.01,0.9,0.01,0.4,0.8,0.1,0.4,"1",5245.0576171875,87.577,0.793188820789289,0.610708657757891
0.01,0.9,0.01,0.5,0.1,1,0.2,"1",3869.62109375,68.589,0.878949410333904,0.64777952461403
0.01,0.9,0.01,0.5,0.3,0.6,0.3,"1",4935.33544921875,82.841,0.830948499868889,0.629986108879438
0.01,0.9,0.01,0.5,0.2,0.4,0.4,"1",5380.15234375,86.54,0.796239292109154,0.627332969061976
