"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.8,0.01,0.4,0.5,0.2,0.2,"1",4435.66064453125,72.622,0.864822991800203,0.62726580094387
0.01,0.8,0.01,0.4,0.2,0.4,0.3,"1",4717.70166015625,79.491,0.814289320987934,0.620332889813921
0.01,0.8,0.01,0.4,1,0.7,0.4,"1",4938.9013671875,149.443,0.782911736334001,0.609200227502124
0.01,0.8,0.01,0.5,1,0.2,0.2,"1",4679.0263671875,75.864,0.83248678237389,0.628624752469595
0.01,0.8,0.01,0.5,0.9,0.2,0.3,"1",4775.435546875,76.779,0.81876262320984,0.645727898250277
0.01,0.8,0.01,0.5,0.7,1,0.4,"1",4878.736328125,82.272,0.784821637137657,0.600639004557376
0.01,0.8,0.01,0.6,0.2,0.8,0.2,"1",4414.43017578125,72.841,0.864648652838637,0.64811687771513
0.01,0.8,0.01,0.6,0.3,0,0.3,"1",4588.89990234375,79.328,0.833399667865758,0.627327915426274
0.01,0.8,0.01,0.6,1,0.2,0.4,"1",5081.525390625,86.501,0.782968073872962,0.620174725814112
0.01,0.8,0.155,0.4,0.9,0.2,0.2,"1",4612.2783203125,77.178,0.835906989417716,0.627097854802991
0.01,0.8,0.155,0.4,1,0.2,0.3,"1",4900.173828125,85.281,0.770292086362253,0.609101813692607
0.01,0.8,0.155,0.4,0.5,0.7,0.4,"1",5339.931640625,88.738,0.720695488692547,0.64746434401379
0.01,0.8,0.155,0.5,0.8,0.8,0.2,"1",4628.66162109375,74.726,0.841611747806894,0.633457392537209
0.01,0.8,0.155,0.5,0.8,0.3,0.3,"1",4958.4140625,81.585,0.784524944794998,0.628183999149472
0.01,0.8,0.155,0.5,0.1,0.7,0.4,"1",5260.2685546875,88.472,0.733536593078493,0.606680100294231
0.01,0.8,0.155,0.6,0.2,0.2,0.2,"1",4642.4404296875,80.26,0.832964498012802,0.63049236259541
0.01,0.8,0.155,0.6,0.6,0.1,0.3,"1",4794.2275390625,79.537,0.803240377348667,0.606486138600908
0.01,0.8,0.155,0.6,1,0.8,0.4,"1",5219.1240234375,85.183,0.740573780629896,0.637478058847944
0.01,0.8,0.3,0.4,0.5,0.7,0.2,"1",4558.255859375,74.778,0.844746340492282,0.63390447499676
0.01,0.8,0.3,0.4,0.2,0.7,0.3,"1",4942.09765625,82.601,0.765944390852941,0.601941529725524
0.01,0.8,0.3,0.4,0.8,0.6,0.4,"1",5337.25,86.505,0.720886837746433,0.593372997735743
0.01,0.8,0.3,0.5,0,0.2,0.2,"1",4416.6298828125,63.859,0.807749797122814,0.643034864850189
0.01,0.8,0.3,0.5,0.7,0.5,0.3,"1",5164.18603515625,84.159,0.759206512347712,0.610843224850045
0.01,0.8,0.3,0.5,0.5,0.8,0.4,"1",5290.666015625,87.147,0.72823200187292,0.604343752494861
0.01,0.8,0.3,0.6,0.7,0.1,0.2,"1",4661.38525390625,74.716,0.838228712672256,0.661885808533294
0.01,0.8,0.3,0.6,0.5,0.4,0.3,"1",5049.88330078125,80.304,0.781239467244767,0.633475180874744
0.01,0.8,0.3,0.6,0,0.4,0.4,"1",4946.94580078125,70.249,0.658904643480077,0.589436170496486
0.01,0.9,0.01,0.4,0.1,0.6,0.2,"1",4790.865234375,80.429,0.826021858825492,0.649410602303825
0.01,0.9,0.01,0.4,0.3,0.3,0.3,"1",4635.85009765625,77.837,0.835401618995593,0.645399756774437
0.01,0.9,0.01,0.4,0.1,0,0.4,"1",4987.2783203125,83.715,0.800514642670585,0.655097363207977
0.01,0.9,0.01,0.5,0.1,0.2,0.2,"1",4468.1708984375,74.243,0.861108425537182,0.622345275832595
0.01,0.9,0.01,0.5,0.9,0.4,0.3,"1",4681.2666015625,77.677,0.840553976545596,0.612884147738687
0.01,0.9,0.01,0.5,0.5,0,0.4,"1",5075.86181640625,84.387,0.789976390390881,0.636505641314891
0.01,0.9,0.01,0.6,0.3,0,0.2,"1",4372.5693359375,70.594,0.874180186583136,0.649453889754668
0.01,0.9,0.01,0.6,0.8,0.4,0.3,"1",4871.38720703125,76.802,0.812014465968255,0.62502299938308
0.01,0.9,0.01,0.6,0.3,0,0.4,"1",5006.0830078125,85.007,0.786942248986653,0.626316801567761
0.01,0.9,0.155,0.4,0.9,0,0.2,"1",4434.875,270.069,0.852088463572421,0.649658976309126
0.01,0.9,0.155,0.4,1,0.3,0.3,"1",4987.58935546875,82.893,0.775324035540128,0.638688330491932
0.01,0.9,0.155,0.4,0.2,0.6,0.4,"1",5217.58837890625,87.348,0.749600310702053,0.60791225166012
0.01,0.9,0.155,0.5,0.9,0.2,0.2,"1",4546.30908203125,75.527,0.848207922241168,0.625728327078498
0.01,0.9,0.155,0.5,0.7,0.8,0.3,"1",4993.728515625,84.681,0.787990343622536,0.623411437813079
0.01,0.9,0.155,0.5,1,0.7,0.4,"1",5243.341796875,86.915,0.737537512933535,0.649853330930697
0.01,0.9,0.155,0.6,0.8,0.5,0.2,"1",4575.54150390625,75.115,0.833017978266382,0.643087714498094
0.01,0.9,0.155,0.6,0.1,0.7,0.3,"1",4921.76806640625,80.052,0.804642873632819,0.657491327761468
