"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0,0.7,0.8,0.1,"1",3969.5,60.139,0.922440701367159,0.732195488088764
0,0.7,0,0,0.5,0.5,0.1,"2",4129.484375,65.07,0.914432089178403,0.720501516348969
0,0.7,0,0,0.6,0.4,0.3,"1",4443.4501953125,70.617,0.891902303574439,0.725338500825766
0,0.7,0,0,0.2,0.4,0.3,"2",4809.4052734375,74.707,0.855331327667587,0.724550365704991
0,0.7,0,0,0.2,0.3,0.5,"1",4979.63818359375,77.036,0.840290891871479,0.709863805136876
0,0.7,0,0,0.2,0.2,0.5,"2",5402.0869140625,82.598,0.782791469526496,0.694197017875087
0,0.7,0,0.166666666666667,0.7,0.7,0.1,"1",3657.82421875,60.325,0.941073489949288,0.737394457000169
0,0.7,0,0.166666666666667,0.4,0.4,0.1,"2",4018.20458984375,66.909,0.918980828069437,0.721769070764968
0,0.7,0,0.166666666666667,0.7,0.1,0.3,"1",4482.35546875,71.629,0.890521307673567,0.72115671713631
0,0.7,0,0.166666666666667,1,0.6,0.3,"2",4831.96875,73.711,0.854201373786102,0.7259845073464
0,0.7,0,0.166666666666667,0.9,0.7,0.5,"1",5111.12890625,78.599,0.829631522357893,0.708780407611396
0,0.7,0,0.166666666666667,0.1,0.3,0.5,"2",5426.67724609375,81.031,0.776757113437249,0.692041024871374
0,0.7,0,0.333333333333333,0.7,0.3,0.1,"1",3972.01416015625,66.118,0.922123234011697,0.723623004539192
0,0.7,0,0.333333333333333,0.6,0.4,0.1,"2",4129.5009765625,64.859,0.913222088208507,0.747762453171927
0,0.7,0,0.333333333333333,0,0.7,0.3,"1",4253.8955078125,56.845,0.855056112541651,0.718000036534777
0,0.7,0,0.333333333333333,1,0.7,0.3,"2",4754.45361328125,73.831,0.863717293328043,0.733788758248477
0,0.7,0,0.333333333333333,1,0.7,0.5,"1",5111.830078125,77.945,0.833626978203674,0.697782877269237
0,0.7,0,0.333333333333333,0.7,0.8,0.5,"2",5384.6787109375,80.598,0.784412108947871,0.688995428867019
0,0.7,0,0.5,0.8,0.6,0.1,"1",3694.50073242188,59.312,0.938449553412482,0.729661789183315
0,0.7,0,0.5,0,0.8,0.1,"2",3994.15698242188,52.479,0.877467308356639,0.719129061406608
0,0.7,0,0.5,1,0.1,0.3,"1",4457.244140625,70.044,0.893580302073536,0.726103354982298
0,0.7,0,0.5,0.9,0.9,0.3,"2",4850.69384765625,74.577,0.854838150965335,0.720424160849885
