"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
1,0,0.9,0.5,1,1,0.3,"relu",0.8,0.2,0.890395840660209,0.664080560277215
2,0.1,0.9,0.75,0.75,2,0.5,"relu",0.4,0.8,0.701055923979975,0.59151659766719
3,0.2,0.9,0.25,0.5,2,0.3,"relu",0.3,1,0.827192863434347,0.655897882664577
4,0.2,0.9,0.25,0.75,1,0.5,"relu",0.3,0.5,0.772233426707107,0.627306941191285
5,0.2,0.7,0.5,0.25,2,0.3,"relu",0.7,0,0.822350442066802,0.657473601544378
6,0.1,0.8,0.25,1,1,0.3,"relu",0.7,0.9,0.872386098799893,0.663659264527406
7,0,0.8,0.25,0.75,1,0.3,"relu",0,0.3,0.83001989351495,0.63030196492269
8,0.1,1,0.25,0.75,2,0.5,"relu",0.7,0.5,0.740664675356638,0.607274908727285
9,0.1,0.7,0,0.25,1,0.5,"relu",0.3,0.5,0.794804368641356,0.613126296435719
10,0.3,0.8,0,1,1,0.1,"relu",0.9,0.8,0.908158270634925,0.64881495201319
11,0.3,0.8,0,0,1,0.5,"relu",0.8,0.2,0.786650885603254,0.612174274375726
12,0.1,0.7,0.25,0,2,0.3,"relu",1,0.4,0.816552644298401,0.658915555984889
13,0.2,0.7,0.5,0.5,2,0.5,"relu",0.2,0.7,0.691091523919749,0.606112622082361
14,0.3,0.9,0.5,0,1,0.3,"relu",0,0.9,0.834735300206141,0.637780285204626
15,0,0.8,0,0.25,2,0.3,"relu",0,0.1,0.843956100427644,0.637497577845652
16,0.2,0.8,0.5,1,2,0.1,"relu",0.1,1,0.897456379825302,0.657512016543045
17,0.1,1,0,1,1,0.1,"relu",0.3,0.5,0.926927445738903,0.654708102764348
18,0.2,1,1,0,1,0.3,"relu",1,0.6,0.846058610523751,0.654620684322501
19,0.1,1,0.75,0.5,1,0.1,"relu",1,0.1,0.896137556089851,0.651234716208686
20,0.3,0.8,0.25,0,2,0.5,"relu",0.8,0.1,0.71051430733094,0.603476219182306
21,0.2,1,0.5,0,2,0.3,"relu",0,0.3,0.775454847424302,0.637367907469441
22,0.1,0.8,0.75,0.75,2,0.1,"relu",0.8,0.3,0.879346354208875,0.67026541504264
23,0.1,0.9,0,0.5,1,0.1,"relu",1,0.3,0.91320840439357,0.647507345295779
24,0.2,0.7,1,1,1,0.1,"relu",0.4,0.4,0.901669373901594,0.651315653668898
25,0.1,0.9,1,0.25,1,0.5,"relu",0.1,0.4,0.731052646668924,0.625991108293133
26,0.3,0.8,1,0.25,1,0.5,"relu",0.4,0.2,0.742584141645661,0.628227211526638
27,0.2,0.9,0,0.75,2,0.3,"relu",1,0.5,0.853240502380282,0.649082296549658
28,0.2,0.7,0,1,2,0.1,"relu",0.2,0.2,0.921788819980443,0.65689028057825
29,0.1,1,1,0.75,2,0.3,"relu",0,0.2,0.777092155012738,0.626869478884682
30,0.1,0.7,0.25,0,1,0.3,"relu",0,0,0.810582774661516,0.625015082847932
31,0.2,1,0,0.25,1,0.3,"relu",0.7,0,0.874362106434263,0.643774607639928
32,0.3,0.9,0.75,0.25,2,0.3,"relu",0.2,0.9,0.818064416188243,0.657749973713604
33,0,1,1,0.5,1,0.5,"relu",0.1,0.2,0.802105378696787,0.647204076463337
34,0.3,0.9,0.25,0.5,2,0.3,"relu",0.4,0.7,0.819284525492583,0.655552779075753
35,0.3,0.7,1,1,1,0.5,"relu",0.6,0.9,0.77418627124878,0.635321575744979
36,0.2,0.9,0,1,2,0.5,"relu",0.7,0.9,0.767092807062983,0.59891782196388
37,0,0.8,0,0.25,1,0.5,"relu",0.9,0.5,0.841559468659642,0.635418128976853
38,0.3,0.9,0.25,0.5,1,0.3,"relu",0.6,0.5,0.850269652578522,0.659789092140749
39,0,0.7,0.75,0.25,1,0.5,"relu",0.3,0.4,0.805404324215718,0.650930758096453
40,0.3,1,1,0.75,2,0.5,"relu",0.3,0.8,0.696479942731829,0.599635490504532
41,0.1,0.7,0.5,0,2,0.3,"relu",0.4,0.7,0.817971399688997,0.650230404880779
42,0.2,0.8,1,0.75,2,0.1,"relu",0.3,0.6,0.891528002464029,0.660516771045682
43,0.1,0.9,0.75,0,2,0.1,"relu",1,0.9,0.895376144991657,0.654004788779064
44,0,0.7,0.25,0.5,1,0.1,"relu",0.4,0.9,0.902378842779082,0.646089568354571
45,0.2,0.9,0,0.75,2,0.1,"relu",0.7,0.4,0.919903891437341,0.644973776558316
46,0.2,1,0,0.25,2,0.5,"relu",0.5,0.7,0.757936681892714,0.584921151442373
