"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.884844931340039,-17.3045076678907,0.415554888608938,4.84666873163293,0.239917648213525,0.523043198453481,0,0.66891298032973,-7.31696269289854,-0.316968145984443,3.67099150096109,0.0882719029783358,0.211146539624965,47.4
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.774862493515061,-21.8821554092684,0.199576530673768,2.09793522056144,0.0919989404819444,0.328620285467939,2.6,0.639100783842451,-6.56444811652568,-0.0199303647410811,1.6069277629626,0.0482038616738139,0.179296228855938,58
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.808958332120027,-20.9119541542417,0.24782203526964,2.47623636909154,0.116419185576354,0.375833430645893,1.6,0.657958039669615,-6.56235055405979,-0.0219326568267308,1.751877178057,0.0531867371673354,0.196980577791634,51.4
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.766427349645901,-22.121048756995,0.187383865671783,1.99092223981104,0.0851699740319303,0.317480809022142,2.4,0.634545910616401,-6.44954421357124,0.0213407794391226,1.56845777462226,0.0425092591651681,0.177721605809141,56.2
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.895519112585698,-17.010559003638,0.429171200678237,4.83416934853132,0.230670334267604,0.541748212542106,0,0.658194271156152,-7.48972126226629,-0.452560229473562,2.73624047985513,0.0756829398134658,0.204281565536589,50.4
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.834697408926208,-20.1616478226973,0.290732227764449,2.97980859848537,0.158706360604481,0.4248931475273,0.2,0.630647422413325,-6.92996894972335,-0.116848666089165,1.68225119866437,0.057957954243384,0.164396470824595,56.4
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.857430246638874,-18.8585318281169,0.342897467127694,3.50289930213802,0.177000870195602,0.460075303888077,0.2,0.648968394084159,-6.89847289152194,-0.162831955315556,2.06415075255909,0.0696284334891926,0.196125427929356,52.2
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.813368397710062,-20.7564776221152,0.260721457876398,2.71048449482827,0.138741687216594,0.392233317446615,0.4,0.622227242312631,-6.91828266770719,-0.0996636846391702,1.58195098842837,0.0509261113698578,0.154412162685825,59.4
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.852129456787639,-19.2103543376665,0.33391937534529,3.66733108174095,0.186778796644442,0.46063206648439,0.2,0.644516281251709,-7.03860981882182,-0.15999742390973,2.06970180422313,0.0687217083250049,0.18218144247837,55.2
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.884374350447217,-17.2306744463397,0.418168530784373,5.14305445743934,0.241479920024418,0.526384567247105,0,0.65871679594249,-7.42617998885186,-0.408191235793925,2.50194677487888,0.0841357967016749,0.205272114014769,54
11,1,0.8,0.25,0,2,0.4,"relu",1,0.9,0.764192582784304,-22.1312508313926,0.188701466516428,1.99483679253727,0.0891379494860832,0.310971415550771,2.6,0.634941275816601,-6.6193044344441,-0.0362748416327503,1.53543578035294,0.0456481213556924,0.171575365129216,59.2
12,0,0.2,0.5,0,2,0.2,"relu",0.2,0.1,0.8747608016496,-18.1471537844009,0.376066910588039,3.86893283358573,0.194717690145686,0.491952873354235,0,0.671117024315916,-6.93609484552274,-0.194449533116947,2.23273817872882,0.0810583863040503,0.219421750881358,50.8
13,1,0.4,0,0.5,1,0.4,"relu",0.1,0.3,0.837988836841069,-19.8774514636481,0.303487176657841,3.31938093490632,0.170350850347288,0.434209164232974,0,0.640029455857875,-6.877969496077,-0.0991892129723817,2.06097948397335,0.0660775709412811,0.178784185592845,56.8
14,0.6,0,1,0.25,1,0.1,"relu",0,0.1,0.857387709673063,-18.7049763266785,0.357813283280918,4.14174206983698,0.196485442674572,0.470690870406049,0.2,0.634765243015079,-7.39624296371001,-0.320992083003487,1.84037828354617,0.0662336938451426,0.17338098916867,57
15,0,1,0.5,0.5,2,0.2,"relu",1,0.8,0.872523686967044,-18.1765424397376,0.374698253195737,3.82937091653991,0.192051062608276,0.489837377199299,0,0.657731753076554,-7.14001507079701,-0.277467928898203,2.06824702551359,0.0766341471900647,0.203054413907347,52.4
16,0.6,0.4,0.75,0.25,1,0.4,"relu",0.2,0.7,0.807414685807851,-20.9539363179668,0.246711690184711,2.49814263376464,0.119226373390181,0.374209410371963,1.4,0.658646183778083,-6.49328693141113,-0.00309474193416842,1.94543647192499,0.0570752811887924,0.207453730474882,49.6
17,1,0.8,0.75,0.25,2,0.1,"relu",0.5,0.3,0.893738375086204,-16.8133472583049,0.43939551729528,5.40371658801519,0.253194451461425,0.543019519612203,0,0.665761463532561,-7.44598912125113,-0.384343985443251,2.38197395216965,0.0854259286338042,0.208933649791622,47.8
18,0.8,1,0,0.5,1,0.2,"relu",0.7,0.7,0.914253848994094,-15.8933584159713,0.482776842555402,6.57339006723258,0.285886574200335,0.597498921995183,0,0.652834418881677,-7.8916446235692,-0.54078999857606,2.81309650647876,0.0879872356162391,0.196987833386108,52
