"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.1,0.1,0.883308971606133,-18.0209887705059,0.398546274808502,5.01535546894128,0.20236257617716,0.528761942874,0,0.658275901283931,-7.00079080811352,-0.151761363914801,2.29833892312269,0.0704383401282754,0.208168021144879,50.8
2,0.6,0.6,0.5,0,2,0.4,"relu",0.2,0,0.742666844206894,-23.0080048654159,0.153990881090589,1.84516523842172,0.0618682373816448,0.284635930823838,7.8,0.619291899907891,-6.58338059150866,0.0172325634566849,1.43436893966289,0.0303221439397918,0.155888262176634,66.8
3,0.8,0.2,0.5,0,1,0.4,"relu",0.7,0.6,0.800913636827352,-21.5342685840787,0.232342676634129,2.56293699543361,0.0959691524777507,0.370500789695776,2,0.651196071996607,-6.56578493546145,0.00719697479111004,1.8042360451306,0.0459581151786129,0.199767930671717,52.4
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.6,1,0.76506273266634,-22.5855717348057,0.177731202987187,1.95869922336044,0.0679138586849987,0.314033950618185,4.8,0.640342496342637,-6.50347101130951,0.0244386750661493,1.49239189106339,0.0360911587468765,0.183380867608151,56.4
5,0,1,0.25,0,1,0.2,"relu",0.4,0.9,0.878680369488674,-18.4668196406347,0.382024843904201,4.4698279587546,0.176610566289574,0.514901941068452,0,0.671055317107017,-6.8465145802969,-0.107060502712709,2.18224780262252,0.0690208698023412,0.219871488173443,44
6,0.8,0.2,0,0,1,0.4,"relu",1,0.4,0.826767197836382,-20.5539130910087,0.2809165554926,3.27268918940779,0.136481016761431,0.425559464674402,0.4,0.637575839305327,-6.77516579326958,-0.0486468069468314,1.8202610900851,0.0526623060281569,0.170604894884277,60.4
7,0.2,0,1,0.75,2,0.2,"relu",0.2,0.1,0.854111743692278,-19.5508331277557,0.328702647292532,3.56680553380987,0.149913233436805,0.462888902991802,0.4,0.660852919598101,-6.8282838050474,-0.0787777096360171,1.95573715321143,0.0610277279186006,0.206787642192698,47.4
8,0.6,0.6,0,0.5,2,0.4,"relu",0.1,0.7,0.806520558805882,-21.333575945162,0.244480353094787,2.82768406901714,0.111672147153937,0.389032919293552,0.8,0.623433066995914,-6.79623830512974,-0.037992409838076,1.68568662409227,0.0408622974148812,0.156507303705092,65.2
9,1,0.4,0,1,2,0.3,"relu",0.7,0.8,0.844926462658615,-19.9575185796796,0.310956764123722,3.66099472568093,0.148473918661586,0.457235013549677,0,0.645180879596029,-6.83407294620038,-0.0660046587716686,1.93887472347139,0.0548510564681221,0.186119821995576,52.6
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.4,0.88100472012912,-18.1522437504913,0.395773693887833,5.0123445108163,0.198922059324933,0.522228340371017,0,0.659763704616592,-7.05307507670231,-0.164896530792483,2.47859034263216,0.0710814382015008,0.206901840444928,49.4
