"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
1,0.4,0.2,0.5,0.25,2,0.1,"relu",0.5,0.2,0.897051573828068,-17.1545184198442,0.456201186841243,5.16731613121769,0.274342841650773,0.568311071813299,0,0.657202605332393,-7.98112214284542,-0.446115001499661,2.50076969526233,0.0895027516150981,0.201886202194013,41.8
2,0.6,0.6,0.5,0,2,0.4,"relu",0.3,0.9,0.779483553589915,-22.5670878603873,0.215725585757885,2.10265720137375,0.103691419437603,0.348857245991997,1.6,0.635874832391489,-6.95547167293191,-0.0426014548289458,1.62756811798132,0.0502197477348984,0.175392541403135,46.6
3,0.8,0.2,0.5,0,1,0.4,"relu",0.1,0.7,0.810522484505813,-21.6039349932099,0.261910721378601,2.48121272696516,0.133548554931286,0.395036652745118,1.2,0.651677251022241,-7.00103784153838,-0.0723477272874113,1.66859879130844,0.0587797360706667,0.193488018207901,40.4
4,0.4,0.4,0.25,0.5,2,0.4,"relu",0.4,0.6,0.784348250823826,-22.7402803954012,0.206985952394531,2.05666244215302,0.0970090780711312,0.351426134140061,1.4,0.63299380913191,-6.87670194512374,-0.0136580959792121,1.57431701460277,0.0449634458029703,0.16996146014324,50.2
5,0,1,0.25,0,1,0.2,"relu",0.9,0.2,0.897169257147001,-17.3792915484041,0.447754558137796,4.92502328159803,0.247451444039,0.564100190753099,0,0.652855960202058,-7.88736798196742,-0.424085295649933,2.37167933990541,0.0736722967140186,0.19815891932906,40.6
6,0.8,0.2,0,0,1,0.4,"relu",0.4,1,0.847172629083017,-20.0991260165306,0.333899247795744,3.4992146859094,0.190300615769294,0.467145982890036,0,0.641791024480608,-7.32388719241596,-0.151733340416543,2.04780339945967,0.0674060516733139,0.18195973179932,44.6
7,0.2,0,1,0.75,2,0.2,"relu",0.6,0.8,0.854762601886603,-19.5863703038911,0.350961419990935,3.49699719569209,0.191084401292466,0.473874603566854,0.2,0.656885097981158,-7.22328808151244,-0.172227231525341,1.91748668478858,0.0743635840583299,0.20478127514866,41
8,0.6,0.6,0,0.5,2,0.4,"relu",0.6,0.5,0.822557503486622,-21.1275517321581,0.288611615886931,2.94854618549476,0.159466610857425,0.423478783552301,0.2,0.642563267920748,-7.26059425707807,-0.12259555432982,2.62685470664177,0.0651062116034747,0.178045154242362,43.8
9,1,0.4,0,1,2,0.3,"relu",0.6,0,0.856003538736504,-19.6135054670984,0.354899157405388,3.77762680980119,0.202446259695266,0.482735030541068,0,0.652919313620144,-7.36022587871942,-0.166716049302646,3.94430927925679,0.0794750440803675,0.191692111163119,42.2
10,0.8,0.4,1,0,2,0.1,"relu",0.5,0.2,0.897339219002016,-17.1113921848993,0.459448904823685,5.25583498956482,0.277333499048659,0.566686308886553,0,0.648480453583753,-8.20308920082318,-0.574844256990251,2.13483822190884,0.0843838736622811,0.186818368325255,43
11,1,0.8,0.25,0,2,0.4,"relu",0.7,0.2,0.78928051604738,-22.3995837925174,0.223322295951957,2.17344004217414,0.106325657489474,0.362131301233922,2,0.641307968800521,-6.78729902281735,0.00382145096336305,1.59591902981044,0.049471633413747,0.184237189563063,42.8
12,0,0.2,0.5,0,2,0.2,"relu",0.6,0.4,0.877518334348104,-18.6823753853597,0.390705846875615,3.75643856186287,0.205925902752791,0.516177174878985,0,0.647547394816209,-7.63345932179851,-0.32955948159129,1.96170928443677,0.0711369633177564,0.192878908238377,40.6
13,1,0.4,0,0.5,1,0.4,"relu",0.1,0.4,0.839593264862871,-20.4559805058472,0.318956363043116,3.20947653113507,0.18451430978096,0.452288941704202,0.2,0.644142670434967,-7.21824026975805,-0.12455457440489,4.81380415858822,0.067967788713668,0.185800749311997,45.4
14,0.6,0,1,0.25,1,0.1,"relu",0.4,0.1,0.887821363823061,-17.4374031461553,0.445625460474429,5.63521093780496,0.271575634782395,0.552790644491536,0.2,0.653067402515386,-8.29584826858156,-0.641978986979898,2.62301481747298,0.0906805562040558,0.197316293703894,39.4
15,0,1,0.5,0.5,2,0.2,"relu",0,0,0.817190604499063,-21.4912590708656,0.272247757724629,2.41574355342634,0.141569691362631,0.401563544578996,0.2,0.608556741538434,-7.3517297832135,-0.158880121461641,1.51347180197908,0.0462361051810963,0.143490853330784,55.2
16,0.6,0.4,0.75,0.25,1,0.4,"relu",1,0.7,0.811108319432322,-21.6396757494707,0.259592470194686,2.40009566919345,0.128934231055935,0.395594941244254,1.2,0.647950346228821,-6.96562596403405,-0.045610528215632,1.68284552892902,0.0572146489561299,0.192433794832811,43.4
17,1,0.8,0.75,0.25,2,0.1,"relu",0,0.5,0.849617849191628,-19.9389708793517,0.341296734899689,3.27277522037355,0.186756874940634,0.46396699217951,0,0.634435278554955,-7.64256291110228,-0.358670574510937,1.88662425674516,0.0696230621130417,0.179827496149849,47.4
18,0.8,1,0,0.5,1,0.2,"relu",0,0,0.87821599728622,-19.2269313718423,0.37942555010659,3.47058876343999,0.234043848066669,0.518180924376456,0,0.638957293702855,-7.57027922172657,-0.245882329519608,1.74773454898154,0.0712119493154622,0.173446662239739,44.8
19,0.4,0,1,0.5,2,0.4,"relu",0.1,0.4,0.768996239606151,-22.8689203538795,0.199170644970615,2.06756133222229,0.0940334508219938,0.333614222684305,1.6,0.630843664250131,-6.90651704611948,-0.0125040772119372,1.48926842829552,0.0425392136913196,0.165913362811135,48.6
20,0.2,0.2,0.5,0.5,2,0.3,"relu",0,0.5,0.786546952301588,-22.9302093840374,0.211096608930249,1.95978094512186,0.110687536132503,0.354344399109872,1.2,0.620887666581876,-7.00512746123437,-0.0496992602561472,1.41582382856803,0.0488625006114831,0.156742461284314,50.8
21,0.6,1,0.75,0,2,0.2,"relu",0.7,0,0.856954129348938,-19.4737727555406,0.356819475564528,3.49862232326607,0.193793947643166,0.479125299711547,0.2,0.657064490129633,-7.30163841767703,-0.177885752253919,2.27665286093128,0.0753519951934369,0.204050168212658,39.6
