"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
570,1,1,0.75,0.75,0.002,1,0.1,"relu",0.1,0.2,0.89260602236304,-17.7582908829952,0.459863018637983,5.91790986857201,0.284927033138531,0.567557442894761,0,0.673541031739999,-8.26238181485544,-0.493023501673361,2.22938588598195,0.0938546386024832,0.212574791189075,37.8
160,1,0,0.75,0.5,0.002,1,0.2,"relu",0.9,0.3,0.878646678038354,-19.1797519032728,0.402443786766242,4.04623859871538,0.227009985640747,0.524493294972236,0,0.671645442133999,-7.73392229387697,-0.296240683392733,2.02151103989148,0.0870831580209238,0.211948028096501,37.4
925,0.6,0.8,0.75,0.5,0.002,1,0.1,"relu",0.2,0.2,0.885512914913322,-18.2906485277941,0.438612336025237,5.15708534015496,0.266140150296833,0.54847625462186,0,0.670725857792492,-8.42914974067036,-0.52111912049585,2.25666849364253,0.0883347646154108,0.211469263079038,36.4
577,0,1,1,1,0.002,2,0.2,"relu",0.3,0.9,0.862042950628718,-20.2114674780438,0.35821493678421,3.33222922295775,0.191500178963523,0.487627238675045,0,0.670543184854741,-7.55932530243543,-0.226344241783579,2.00316955194734,0.081106288803183,0.217301470560244,34
290,0.6,0.4,0.75,0.25,0.002,2,0.1,"relu",0.9,0.7,0.878624135328161,-18.9559871259036,0.411030632904441,4.30880060019773,0.240021229771465,0.529747795676309,0,0.670446679176198,-7.94236334066414,-0.330823356602692,2.09656507135597,0.0896512969211268,0.213139062089733,38
337,0.2,0.4,0.75,0,0.002,2,0.2,"relu",0.9,0.6,0.837341632938187,-20.9960835352028,0.324575055849496,3.17548005502924,0.170627734821568,0.446774142681112,0,0.6699356621649,-7.46393181614244,-0.17618723849564,1.92052031114754,0.0719466017100226,0.214210220226324,36.4
911,0.6,1,0.75,1,0.002,1,0.2,"relu",0.5,0.1,0.886014529289352,-18.782346493473,0.418878649923332,4.49135908982099,0.238443019777255,0.540396384819069,0,0.66965609757752,-7.88648945711839,-0.345901221748392,2.33277158769401,0.0903188342785253,0.212550611115954,38.2
373,0.4,1,0.25,0,0.002,1,0.2,"relu",0.5,0.5,0.880147392033219,-19.1026483952556,0.406350483502186,4.23157479254316,0.22915528835533,0.528555068278526,0,0.669492187009262,-7.63468002679936,-0.234308455065256,1.98019094251907,0.0857788091374172,0.217318463004545,38.8
817,0.4,0,0.25,0.5,0.002,2,0.1,"relu",1,0.6,0.882508462478305,-18.7276015556676,0.420856946956138,4.49345852061767,0.246915421831517,0.536787219266608,0,0.669228846075484,-8.05688582034864,-0.405434625732327,2.09366721938733,0.0861343214045921,0.207107015787684,35
145,1,0.6,0.25,0.5,0.002,1,0.2,"relu",0.4,0.8,0.87561270081183,-19.3454014785575,0.395133400411695,3.9996258252554,0.22362137284169,0.518028401749644,0,0.669038851194052,-7.49063515575567,-0.236532509429918,1.98711258321966,0.0856944028778326,0.214800341822791,40.4
