"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
378,0.6,0.2,0.25,0.25,0.002,1,0.1,"relu",0.9,0.1,0.862911270180931,-20.6851141417947,0.365731622051696,4.47939141347807,0.179899719412749,0.505779729973482,0.2,0.664654174473377,-7.70083472977856,-0.109740925916252,2.160486211098,0.0618369858952871,0.197709686792742,38.8
199,0.4,0.2,0.5,0,0.002,1,0.1,"relu",0.5,0.8,0.860917438349918,-20.2575024283576,0.369078869803462,4.38558711424837,0.201679779619942,0.503073040449901,0.2,0.664523443398902,-7.43904265549672,-0.0928649970583784,2.16079122758199,0.0730379687355087,0.203755844562909,39.8
98,0.8,1,0.75,0.75,0.002,1,0.1,"relu",1,0.2,0.874641868781097,-20.0192720447742,0.389415615769613,4.60475099083165,0.198822449490042,0.532144033197412,0,0.664315977553702,-7.56411784982676,-0.0951388645132236,2.01357176789927,0.0624803777269516,0.197600819448224,38.6
224,0.8,0.2,0.5,1,0.002,1,0.1,"relu",0.8,0.8,0.845762923812224,-21.0747706808229,0.338140098081305,3.98945590830385,0.175737178267639,0.476662654975263,0.4,0.663717635014868,-7.41514419957272,-0.0518120911387362,2.19911360054483,0.0620825478621175,0.200637143149157,38.4
697,0.4,0.8,1,0.75,0.002,1,0.1,"relu",0.7,0.6,0.867470141724965,-20.4091424568796,0.37662150713062,4.7757670919942,0.191874941920593,0.514679846678335,0,0.662998096472437,-7.61049427025325,-0.101367451216912,2.45065566399659,0.0664164774210302,0.196719893180323,39.8
842,0.4,0.8,1,1,0.002,1,0.1,"relu",0.1,1,0.868701498737894,-20.0832658842647,0.380101295032404,4.49467938712031,0.200537639107571,0.518146189693054,0,0.662952118867852,-7.42647742948716,-0.0877199743878748,2.12523004344585,0.0641068295688969,0.194601394035877,39
693,0.2,0.4,1,0.75,0.002,1,0.1,"relu",0.3,0.4,0.871443522978506,-20.0368227431254,0.385868523902821,4.68784702515813,0.201513901164283,0.52464728464845,0,0.662469653633506,-7.58014623538765,-0.102359569851581,2.18090052512782,0.0677686952092805,0.203150699948664,38.6
531,0.8,1,0.75,0.5,0.002,1,0.1,"relu",0.5,0.3,0.862404137850516,-20.3390552407934,0.369648080471214,4.39125618347701,0.195435366879354,0.505355508158927,0.4,0.661876012539585,-7.382119934098,-0.0721804329367984,2.12857625034277,0.0770985601559509,0.20679062360153,39.4
341,0,0.4,0,0.75,0.002,1,0.1,"relu",0.3,0.8,0.89315230948451,-18.8644653289204,0.435805273464848,5.77973227557033,0.242462434404984,0.580138925287297,0,0.661561724361016,-7.6930144103122,-0.13687172170152,2.77946353736547,0.0793946300826864,0.196946541804792,41.8
919,0.8,0.8,1,0.75,0.002,1,0.1,"relu",0.6,0.7,0.865437306451595,-20.1205777322042,0.375984085709129,4.35728281059711,0.202692442278033,0.512515255240508,0,0.661076930686944,-7.49144305157215,-0.0819488952715972,2.21425962851945,0.0693349667013144,0.201406101945933,40.4
1,0.4,0.2,0.5,0.25,0.002,1,0.1,"relu",0.1,0.1,0.867085280879623,-20.0296197061403,0.381224397567096,4.55850914274612,0.210061921545798,0.517651208107161,0.2,0.660170284339102,-7.49533661651293,-0.0879869381690968,2.39729349984694,0.0733341565684659,0.201078005801932,40
474,0.6,0.6,0.75,0,0.002,2,0.1,"relu",0.2,0.7,0.835690039808731,-21.5413781397813,0.315955613277748,3.47833717426415,0.158846753962723,0.453604265368159,0.8,0.66011032747611,-7.41407963569873,-0.0712702499353956,2.36949071954471,0.0639297789091272,0.197392622477765,40.4
622,0.8,1,0.75,1,0.002,2,0.1,"relu",0.5,0.9,0.848516275159806,-21.0263821502745,0.339566952808364,3.79858485572261,0.175448564306909,0.478601599814966,0,0.659686471835669,-7.49857709247787,-0.0873681055348345,1.97056588970802,0.0651426953805437,0.193453892099859,41.2
238,0.4,0.2,0,0,0.002,1,0.1,"relu",0.4,0.9,0.88285931080197,-19.3912463200247,0.411581722148689,5.15982674313034,0.228646402905514,0.554388503202245,0,0.659658347402119,-7.53296371849559,-0.101706510703688,2.44351263880673,0.0720582785968252,0.19332276771208,40.6
91,0.2,0.4,0,0.5,0.002,1,0.1,"relu",1,0.6,0.885791876667815,-19.2889942596593,0.416703290626846,5.23754878236566,0.229494755652336,0.559042924899466,0,0.659522925874817,-7.71666007002055,-0.151770123088991,2.64743162815359,0.0717989771645006,0.192597417225626,39
177,0.8,1,0.75,0,0.002,1,0.1,"relu",0.2,1,0.872110858506048,-19.8889854463075,0.388424401981478,4.66759382436692,0.208181776616406,0.52496273763898,0,0.659414033614919,-7.61150156549981,-0.103933158118592,2.16727400060519,0.0676160100547645,0.195209236771409,38.4
940,0.2,0.8,1,1,0.002,1,0.1,"relu",0.3,0,0.866720130728053,-20.0931744481832,0.37879458948793,4.6026366631942,0.20522460002516,0.517607449981043,0.2,0.659224295328752,-7.47463251554283,-0.10003623314971,2.22316683443105,0.0726936552361997,0.201349662729754,42.2
641,0.4,0.8,0.5,1,0.002,1,0.1,"relu",0.7,0.2,0.868161932678553,-20.2509992958164,0.378040569235373,4.56595529432013,0.194779566883271,0.519402403414212,0.2,0.658996466380242,-7.65088965111219,-0.111431253811381,2.01024866625855,0.0610587735277185,0.193574396129528,39.8
805,0.4,0.8,0.25,0.75,0.002,1,0.1,"relu",0.1,0.3,0.874208251548757,-19.6958086690117,0.393856394974384,4.73459083583458,0.217404925155984,0.529660167366024,0,0.658992993863069,-7.56183581840488,-0.11154076113902,2.10836629103544,0.0715928947933141,0.19968725505754,42.6
751,0,0.2,0.25,0.75,0.002,2,0.1,"relu",0.9,0.9,0.855879877785692,-20.7176879633577,0.354666770552856,4.06261352309858,0.18183310369124,0.493783925111498,0.2,0.658679843156503,-7.50732283027924,-0.093814468575081,2.26512051207941,0.0675793544381115,0.201217363443459,39
197,0.8,0.4,0.5,0.5,0.002,1,0.1,"relu",0.4,0.4,0.848232219873752,-21.0657784823925,0.339267741136288,3.78675326131612,0.171304684376754,0.478901703093398,0.6,0.658615668020175,-7.43996996697355,-0.0929509028235506,1.96891400308402,0.06703416535187,0.196844440237143,43.6
329,0.2,0,1,1,0.002,1,0.1,"relu",0.9,0.9,0.874750183546193,-19.7700198579186,0.397563742372237,5.00128499279344,0.214192904862503,0.5353781339415,0,0.658416968069672,-7.70949540871863,-0.136363768083298,2.22082950030199,0.0706041853320831,0.190700470751165,41.8
