"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
229,1,0.6,1,0.25,0.002,1,0.2,"relu",0.1,0.1,0.90765295924204,-17.5364269814531,0.481262949210939,5.72786770402318,0.284902650974665,0.596161707872157,0,0.677296282092029,-8.54352082111031,-0.49942773182867,3.35414748412465,0.0996948233826216,0.218380462675768,14.6
943,0.6,1,0.5,0.25,0.001,1,0.1,"relu",0.8,0.2,0.915231758914889,-16.6332340788666,0.512570637849118,6.53077923540097,0.317465231957441,0.621671667884675,0,0.67304240551541,-8.82819024861434,-0.608460111521299,3.40225148197182,0.100683687804884,0.217250580072152,14
496,1,0.8,0.25,1,0.002,1,0.2,"relu",0.5,0.1,0.918119733886784,-16.937519602587,0.503650119096276,5.88139917347304,0.300129827993155,0.622498642855911,0,0.67181684523896,-8.72656754920714,-0.567551684671166,2.14411118438868,0.0998599399511834,0.219760486904152,14.2
791,0.4,0.4,1,0,0.001,1,0.2,"relu",0.5,0.9,0.87682153212501,-19.5300390154557,0.402055167110525,4.04750717477121,0.223017119983145,0.527667257466804,0,0.669399841444574,-7.9095278612375,-0.264387342329446,2.23613434705397,0.0907705028793027,0.229525443801733,15.8
990,0.2,1,1,0.5,0.002,1,0.2,"relu",0.7,0.2,0.89719197085682,-18.1638755259089,0.457481783967068,5.08846074303839,0.268763170238754,0.571682482289923,0,0.668461263519925,-8.48711048144678,-0.470874006226364,2.79269732375299,0.0997338090012823,0.222960214308486,15
648,0.6,1,0.75,0.5,0.002,2,0.2,"relu",0.4,0.6,0.873973247254472,-19.6327648259106,0.398430598619852,4.11192467786644,0.224661346250323,0.518725350989754,0,0.667609030648196,-8.34663136474793,-0.438705417840262,2.4025472573203,0.090241185740487,0.224151601097716,14.8
414,0.2,0.2,1,0.75,0.002,1,0.1,"relu",0.2,0.7,0.930675814715585,-15.2787040261998,0.563797801648406,8.31397447861907,0.369586815320206,0.662706348373793,0,0.666923090186557,-9.7752388788318,-0.998641752871007,3.91074658024899,0.102672145602054,0.213602431708828,15.2
839,0.2,0.6,1,0.75,0.001,1,0.2,"relu",0.3,0.8,0.874323642000929,-19.6007458747313,0.399694416457857,4.04980016183076,0.229060896249443,0.522218866813254,0,0.666500012587075,-7.97780529137764,-0.291810448256026,2.4812856237862,0.0883811772032014,0.210571689888341,15.2
112,0.8,0.2,0.25,0.5,0.001,1,0.2,"relu",0.2,1,0.878725973745889,-19.2701656267975,0.414201516759788,4.57040446449424,0.232609320271882,0.533164852319558,0,0.665962102747075,-8.15551255288,-0.347351116105853,2.54093844013923,0.0838320376020668,0.21212351838191,15.2
314,0.2,0,0.25,1,0.002,1,0.2,"relu",0.7,0.1,0.915360995864098,-17.2391530254926,0.492325785930592,5.83977262564109,0.294953330816888,0.615438676854442,0,0.665496049196847,-8.64382593640046,-0.591839778535128,4.90868908245121,0.0965701194355087,0.214813805404136,15
574,0.8,0.4,0.75,0,0.001,2,0.1,"relu",0.4,0.6,0.878056327775864,-19.1126165459327,0.415447315225478,4.42251298375186,0.242695271562356,0.536767297500317,0,0.665325462409497,-8.00947108780168,-0.267199034502302,2.36994826503498,0.0883712977512902,0.20894550765709,14.6
784,1,1,0.75,0.75,0.001,1,0.1,"relu",0.2,0.7,0.915218445823557,-16.6710754919545,0.512241336767383,6.53944856269786,0.319720149710015,0.622200834848676,0,0.665236397676285,-8.97008519159941,-0.665703492431076,2.67367999139824,0.093290042196071,0.198407974022231,15
119,0.2,0.2,0.25,0,0.002,1,0.2,"relu",0.5,0.5,0.911344117499116,-17.2702737336528,0.49042363026823,5.69774418607987,0.29377333110956,0.605149733923642,0,0.664909201456845,-8.79448766337576,-0.638654174305885,2.65778194590743,0.0998613395717541,0.209336103725384,16.8
381,0,0.4,0.5,0,0.001,1,0.2,"relu",0.2,0.9,0.888795782085811,-18.8117394094897,0.430224912910483,4.6446223517281,0.241494260789415,0.554142520415556,0,0.664254844514551,-8.14834602344477,-0.357027702165938,2.611592179617,0.0863180041128863,0.216960520540922,16.6
306,0.8,0.8,1,1,0.002,1,0.2,"relu",0.5,0.2,0.914335886029308,-17.1910353030006,0.494331258282717,5.85720980203336,0.296076992603943,0.608484029622859,0,0.663703415849335,-8.9178535037213,-0.663226793527642,2.40468261040597,0.0895981680945264,0.205526324124677,16.4
671,0.8,0.6,0.25,0.5,0.002,2,0.2,"relu",0.6,0.4,0.875028799827727,-19.6377698195886,0.397017744424165,3.90365960199225,0.220700768607825,0.520593993460027,0,0.663337450953401,-8.02257635054876,-0.301376810610442,2.07207369139501,0.0843830273918452,0.208532712801196,15.4
185,0.6,0,0.25,1,0.002,1,0.2,"relu",0.3,0.3,0.920199006919853,-16.8541044667346,0.507126030963918,6.1808638856378,0.30653160732355,0.624871500415073,0,0.663229203184995,-8.69033724509883,-0.542016064015466,3.37103036256767,0.0947879709250974,0.213231087587855,15.6
856,0.2,0.4,0.25,0.25,0.001,1,0.1,"relu",0.9,0.9,0.904787048597694,-17.4026941568965,0.483677906375019,6.01059652672411,0.298761392129767,0.593750273742718,0,0.663086463809513,-8.79771725298464,-0.598886240741897,2.76738438316532,0.0989432540522078,0.202770354819904,15.4
451,1,1,0.75,0.5,0.001,2,0.1,"relu",0.9,0.9,0.877379960594933,-19.2688468347536,0.41196271513889,4.4326619831896,0.238075725117163,0.534812862791078,0,0.662944168738443,-8.18245339742464,-0.408457891066027,2.55599251698008,0.090773610873539,0.217900318099199,15.8
801,0.8,0.4,0.25,0.5,0.001,1,0.1,"relu",0.9,0.1,0.917712446099112,-16.5094007625893,0.516274125554213,6.73523101089487,0.322656667817618,0.62697778920849,0,0.662863684625978,-9.01988017363625,-0.609005362506178,3.41064708719427,0.0979354122497458,0.210554304613919,14.8
981,0.4,0.4,0.5,1,0.002,2,0.2,"relu",0.3,0,0.889955835306161,-19.0518595591762,0.421436961033646,4.13814148751904,0.236823937228832,0.548659084638878,0,0.662487630067424,-7.9958658084508,-0.281623836622763,2.17325959954843,0.0905713977876419,0.21330872928894,14.6
488,0.8,1,0.25,0.25,0.001,1,0.2,"relu",0.7,0.4,0.884358284719573,-19.144394601284,0.41874959441119,4.52914690112253,0.233714101745521,0.543712131630907,0,0.6623431708398,-8.10981327371516,-0.332117871496523,3.05326081718386,0.0858930956693351,0.212251571194342,14.4
625,0.2,0.2,0.5,0.75,0.001,1,0.2,"relu",0.7,0.3,0.882254099311807,-19.2312077801177,0.412569867691167,4.14892115667311,0.228351006729942,0.536973256338273,0,0.661726149089041,-8.30464854982694,-0.396188281835989,2.7794148858176,0.080705963484767,0.200811798778312,16.6
827,0,0,0.5,0,0.001,1,0.2,"relu",1,0.6,0.890505031551343,-18.6963508841318,0.434891219452882,4.50506299601407,0.247021285274092,0.560168004764506,0,0.661706462912553,-7.98259331211107,-0.25556664286605,2.20510342838661,0.0827384716266457,0.204898182834611,17
501,1,1,0.75,0,0.001,1,0.1,"relu",0.6,0.3,0.904851888636541,-17.3058657813951,0.486507729513986,6.11102617426566,0.301454470371666,0.595611314313382,0,0.661696900892731,-8.77091439240875,-0.563830388223005,2.24802579134228,0.0922052926327333,0.201248935611129,16
150,1,0.2,0.5,1,0.002,1,0.2,"relu",0.9,0.5,0.909504077975404,-17.6078031480088,0.478436393735382,5.64706983776613,0.279450224191247,0.598571809635042,0,0.661649775945094,-8.42077836304822,-0.467671088868844,2.60404290276399,0.0922174791618439,0.210595489079882,16
796,0.8,0.2,0.75,0.75,0.002,2,0.2,"relu",1,0.3,0.878831165574244,-19.582940085153,0.401436455572755,4.02186117731462,0.223544206494033,0.528012122279424,0,0.661527894346543,-7.95631366867049,-0.305910968155081,2.77178569670959,0.0890862838351779,0.210664593990031,14.8
217,0.4,0,0.5,1,0.002,1,0.2,"relu",1,0.9,0.911092118391079,-17.5149013102712,0.482676345733124,5.44569744495995,0.289168686323145,0.603477328192559,0,0.661476047830708,-8.64128459056504,-0.575577068459384,2.83721859829445,0.0860752635591966,0.201459858647001,14.2
458,1,1,0.5,0,0.001,1,0.2,"relu",0.7,0.5,0.884335614928892,-19.1732102951843,0.416400238204636,4.32460287180302,0.232745656954405,0.541786300479541,0,0.661447437114617,-7.96932066307321,-0.273368427057901,2.86059264961291,0.0819362808839084,0.209795395755567,15
145,1,0.6,0.25,0.5,0.002,1,0.2,"relu",0.4,0.8,0.90514954779826,-17.7884498930523,0.470972333704506,5.48038468393386,0.278465232892196,0.586754716794324,0,0.661419362510068,-8.67902196903724,-0.544308154625145,4.8133272850237,0.0948460474458262,0.209050374600001,17.2
440,0.2,0.4,1,0.25,0.001,2,0.1,"relu",0.5,0.5,0.878823926764458,-19.2066663299575,0.412487937094756,4.17974697551676,0.235970244798026,0.533597161042819,0,0.661367111785906,-8.35221693192632,-0.440489880217401,2.20204502006846,0.0919554516756022,0.212220124739095,18
515,0.8,1,0,1,0.001,1,0.2,"relu",0.3,0.2,0.908092215575558,-17.5657936271574,0.48031142152097,5.80992546434487,0.289813129231494,0.605312967449927,0,0.66132766537247,-8.37589257248304,-0.393653559387163,2.7067018018836,0.0917619050574962,0.20958310036722,16.6
588,0.6,0,1,1,0.002,1,0.2,"relu",0.4,0.9,0.918261698145008,-16.9328106238362,0.504516812051902,6.08293626313352,0.300323474429273,0.620132162814965,0,0.661234592284146,-8.84402685115466,-0.583997640544749,2.86879013960575,0.0961087530720158,0.21098907986066,17
678,1,0.2,0.5,1,0.002,2,0.2,"relu",0.2,0.1,0.88569353699348,-19.0891703594629,0.420707046930532,4.44120761372911,0.235121703813664,0.544946724811238,0,0.661051760054894,-8.468435761313,-0.486723207041434,2.26780605592022,0.088951526175851,0.217418139828177,16
438,0.4,0,0.25,0.25,0.002,1,0.2,"relu",0.2,0.5,0.906567701840288,-17.6080739310882,0.478548228446236,5.62755355105762,0.282515483661592,0.592980709973614,0,0.661024971282749,-8.94361095301467,-0.66071066410704,3.84741713732264,0.0902398271052399,0.206666905582563,16.8
