"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
136,1,0.8,0.75,0.25,0.002,2,0.1,"relu",0.7,0.8,0.877067822298039,-18.969908313534,0.410538945979843,4.48037084983137,0.243859145797755,0.525729836927125,0,0.672817917275025,-8.01645135106736,-0.399451944060377,2.88503015193393,0.0919076139581221,0.223651321111898,39.4
760,1,0.8,0.5,0,0.002,2,0.1,"relu",0.6,0.9,0.876662445972778,-18.9576144863836,0.410524252977915,4.39081085286676,0.240516166725855,0.524714293317282,0,0.672219345439788,-7.91231941585387,-0.33290501696168,2.2107141180835,0.0903440337435546,0.210160218251265,38.2
304,0.8,0,0.75,0.5,0.002,2,0.2,"relu",0.6,0.1,0.848463405791834,-20.6538421700242,0.339629997138795,3.25690918464556,0.18362057284542,0.464121112004392,0.2,0.671895420258006,-7.4130369359261,-0.1717250929484,2.01913866803743,0.0773324487643067,0.213158779163355,35.4
694,1,0.8,0.5,0.5,0.002,2,0.2,"relu",0.4,0.6,0.84995057871567,-20.568061035218,0.343420969783474,3.32193228599957,0.184946940147277,0.46543433683982,0.2,0.671123865781311,-7.38717648899705,-0.15392101992702,2.13785114220908,0.0826256603599626,0.219612195435633,38.2
145,1,0.6,0.25,0.5,0.002,1,0.2,"relu",0.4,0.8,0.876057471823964,-19.2117183400007,0.401305037973832,4.28284166451157,0.22513138231231,0.523025770045342,0,0.670823583866915,-7.57886168150437,-0.190148151844735,2.36972105334001,0.0879128695292824,0.220948784825526,37.6
296,1,0.6,1,1,0.002,2,0.1,"relu",0.5,1,0.875331111589122,-19.0146032446318,0.407155726255732,4.43751347430775,0.234366970814691,0.524449476547678,0,0.669318863517857,-7.89636006597428,-0.33710131085859,3.03909796655113,0.0897120190050484,0.214880241119704,38.8
45,0.2,0.8,0.25,0,0.002,2,0.1,"relu",0.2,0.7,0.883010151990321,-18.6765267758093,0.422290942164782,4.52895809287831,0.246496269656399,0.5384801010194,0,0.669044899913252,-7.87967018101902,-0.335473184863221,3.02663771018057,0.0873532448351871,0.21024455007718,38.2
24,0.6,0.2,1,0.25,0.001,1,0.1,"relu",0.2,0.2,0.881913426313834,-18.6087522637849,0.425031052793499,4.83057520811909,0.249502616143314,0.54292585154752,0,0.668916214488082,-7.98295209371143,-0.326645348115544,2.55763702740021,0.0899669764021902,0.212805442706262,38
720,0.8,0.8,1,0.25,0.002,1,0.2,"relu",0.4,0.5,0.877006366172751,-19.2794822636152,0.399482090555658,4.16921989743907,0.222968182111523,0.523777375754141,0,0.668619899514775,-7.64960556688031,-0.236531885712686,2.38039164289112,0.0854822533972066,0.213516716979693,40.2
974,0.8,1,1,1,0.001,1,0.1,"relu",0.6,0.7,0.884464159408677,-18.6048284756407,0.42479123496755,4.67819921728317,0.248153865813739,0.546576935267838,0,0.668315469918764,-7.89324093847604,-0.35078730321328,3.20369706908609,0.0900526088291566,0.211254385008166,39
