"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
969,0.8,0,0.25,0.5,0.002,1,0.2,"relu",0.7,0.5,0.860999369113842,-22.1970181785685,0.380319482057214,3.42342844436957,0.215805123453695,0.506771032595668,0,0.663974423761537,-8.10626981693798,-0.0844732038079454,1.93851614392302,0.0776616031074053,0.21149035614314,33.4
395,0.8,0.2,0.5,0,0.002,2,0.1,"relu",0.1,0.3,0.875760900760612,-21.0083475237215,0.424723243344754,4.0929116860466,0.256923609160403,0.540564975556568,0,0.660993600513576,-8.77264355558654,-0.259483678751353,2.23744403042655,0.0884194900013092,0.214203097251551,34.6
343,0,0.8,0.5,0,0.002,1,0.2,"relu",0.1,0.4,0.883305410238226,-20.9014948942633,0.428492112407133,3.93906540804765,0.244914318094079,0.551669549038385,0,0.659100209392817,-8.41534426769991,-0.17395873159917,1.96396483705537,0.079677994117561,0.210717210182735,33
778,0.2,0.8,0.75,1,0.002,1,0.2,"relu",0.9,1,0.884311062010778,-20.9452353369221,0.427526973027193,3.9048539632671,0.251420002729306,0.552824248661676,0,0.65663026820426,-8.40770373626651,-0.171281105754404,2.06643081664186,0.0761325369010229,0.205400076591589,34.4
294,1,0.6,1,1,0.002,2,0.2,"relu",1,0.8,0.857643994112196,-22.6375120500293,0.362851542851777,3.05992768256148,0.202214651589322,0.497190283660706,0,0.656138201056846,-8.24461892711432,-0.111742264095636,1.87346829113879,0.0726768959164544,0.205429283287475,36.8
349,0.4,1,0.25,1,0.001,1,0.2,"relu",0.7,0.8,0.865301379324009,-22.3783498042036,0.373782559083294,3.20645095674716,0.208227046729496,0.520161005692362,0,0.655880188518873,-8.12597690358633,-0.0921905115432286,1.74792087249378,0.0734053996368558,0.201999559686149,38
129,0.6,0.2,0.75,0.25,0.002,1,0.2,"relu",0.4,0,0.867818504783179,-21.7803939420666,0.39606345679459,3.53742695240441,0.228277326358083,0.519440199803728,0,0.65583873170983,-8.46139414624255,-0.180198082334871,1.95486932443005,0.0775250856988785,0.205312158857403,36.8
615,0.6,0.6,0,0.5,0.002,1,0.2,"relu",0.8,0.1,0.897291136131036,-19.8037163240446,0.47151557960521,4.73814697568041,0.302395414296931,0.588255698792178,0,0.655511989345279,-9.04926440963796,-0.47555565522202,2.21768516991088,0.0924937496134005,0.199462072125508,38.6
10,1,0.2,0.25,0.25,0.002,2,0.1,"relu",0.2,0.8,0.879778559474832,-20.7983183239427,0.4315135057493,4.07661376591224,0.262435032740066,0.548963968323239,0,0.654992583987403,-8.60191891977371,-0.229803019814988,2.30606717100887,0.0865570971473038,0.202472615898943,38
543,0.2,0.6,0.25,0.75,0.002,1,0.2,"relu",0.9,0.3,0.879079564564784,-21.0932310910848,0.420721546431196,3.84108976161772,0.24675392418256,0.543833934423368,0,0.654927267464697,-8.74566193098617,-0.308609278371992,1.97780214656719,0.0847821370746382,0.203526320639173,35.8
670,0.6,0,0.75,0.75,0.002,2,0.2,"relu",0.5,0.9,0.842556886043959,-23.1601013388026,0.343475229886147,2.96939917450259,0.188930063571431,0.471916103436289,0,0.654900096655157,-8.19372601997058,-0.110144801599135,1.87554910164891,0.0731595006874283,0.203023288773559,36.8
317,0,0.2,0.25,1,0.002,2,0.2,"relu",0.3,0.8,0.874626478642726,-21.7870529003968,0.396065378419495,3.41757606215692,0.218839202564969,0.534298480706757,0,0.654809270603967,-8.39252604737535,-0.174700378762961,2.82369804819823,0.077562808454903,0.204361329475955,37.2
230,1,0,0.75,0.75,0.002,2,0.2,"relu",1,0.8,0.84404306070095,-23.150128877305,0.343911711890623,2.91720868430367,0.192018980102562,0.473945962727762,0,0.654753531679941,-8.20978705493797,-0.112974199170858,1.80855420263153,0.0754846106282505,0.198855509996946,35.4
574,0,0,1,0.75,0.002,2,0.2,"relu",0.4,0.2,0.860943508590862,-22.3903542946365,0.372040405988217,3.12388699746137,0.206152856298626,0.502498411818897,0,0.654753124859136,-8.24448988958119,-0.150532751398549,1.74704006292228,0.0746666342950899,0.199295276778843,37.6
199,0.4,1,1,0,0.002,1,0.2,"relu",1,0.1,0.864546346043173,-21.8794868370172,0.39249762677129,3.54559340732744,0.223344589022935,0.513970441034188,0,0.654729277584741,-8.54313654479495,-0.248388661176556,2.16009688877484,0.0764628038980518,0.201566427031305,37.8
258,1,0.8,0.5,0,0.002,1,0.2,"relu",0.4,0.9,0.877204126944422,-21.1983797169954,0.418121845420011,3.86610908027351,0.246271380707153,0.540207479119212,0,0.654362599772998,-8.55406861845646,-0.205857699635768,2.22852889798853,0.0797476474836585,0.202028608406747,37.8
846,0,0.4,0.75,0.5,0.002,2,0.2,"relu",0.2,0.1,0.856167561126204,-22.5641189420974,0.366111813829474,3.11291199283202,0.200090688258578,0.494110539245545,0,0.654353380526546,-8.40900458700807,-0.166954097546386,1.79938183324436,0.0723900941526877,0.200121690407255,36
110,1,0.6,0.5,1,0.002,1,0.2,"relu",0.4,0,0.88017337670671,-21.1774335631362,0.41844930363628,3.7701871693229,0.244956683190379,0.546001862917091,0,0.653720668540423,-8.54061947202108,-0.248462288204366,1.97384729768721,0.0766411267590464,0.196163324883814,36.2
135,0.8,0,0,0.5,0.002,2,0.2,"relu",0.6,0.4,0.876214370677917,-21.2770036490802,0.417515783367834,3.91451459783407,0.256351000437801,0.54231739128211,0,0.65371386982169,-8.69611846839516,-0.253684059413186,1.8963082947644,0.0849679279749266,0.194772939535149,37.2
796,0.8,0.8,1,0.5,0.002,2,0.2,"relu",0.6,0.7,0.844227272878894,-23.0823809745733,0.345847365775234,2.94403792854125,0.192799882266172,0.473377601711896,0.2,0.653608757236982,-8.25673171097878,-0.114467754593278,2.1476545102391,0.0735392590608143,0.200831712214296,37
922,0.6,0.8,0.25,0.25,0.002,2,0.1,"relu",0.7,0.3,0.875308018890371,-21.0877209792788,0.421053216226048,3.94150816793741,0.258241727389373,0.538043720465062,0,0.653425658699027,-8.96807463869644,-0.389870898222167,2.03470079974756,0.0863264989575469,0.195406537161361,39.8
253,1,0,0.25,0.25,0.002,1,0.2,"relu",0.7,0.1,0.872414049595588,-21.3986821881519,0.40988063091758,3.74375757617016,0.23873702644883,0.532879156215847,0,0.653384644959254,-8.5635860217241,-0.202734447015784,1.94750182229702,0.0835260820075797,0.202322730196387,37.8
496,1,0.8,0.75,0,0.002,2,0.2,"relu",0.8,0.6,0.849453065360511,-22.8940204398685,0.353001385770801,3.01170368764589,0.197438280804699,0.483142466939906,0,0.653299110577652,-8.14850122315966,-0.0990572971813869,1.88157715087326,0.0770640558946803,0.205469320226628,37
801,0.8,0.6,0.75,0,0.002,2,0.2,"relu",0.5,0.5,0.844960894237532,-23.0776642743702,0.346095529470011,2.92894732482398,0.191736433945818,0.47481120903181,0,0.653025568305471,-8.16045103672962,-0.0978867467307331,1.88433832004426,0.0756224503363643,0.205364210502656,37.2
992,0.6,1,0.5,0.5,0.002,2,0.1,"relu",0.1,0.9,0.875331003048109,-20.9601585514098,0.426018311014653,4.17029037450361,0.257140085001605,0.540729832694339,0,0.652960308831022,-8.94570005540702,-0.330518341605491,2.78759046071448,0.0840118673039877,0.19979973731702,38.2
632,0,0.6,0.5,0.25,0.002,1,0.1,"relu",0.9,0.7,0.89522755870172,-19.56640082372,0.477384228241845,4.99653108697379,0.300755375874385,0.586063726280772,0,0.652887297202497,-9.42040603786515,-0.740087158153828,3.79040330603181,0.0911139977481032,0.198822074341922,38.2
126,0.4,0.4,1,0.75,0.001,1,0.1,"relu",0.8,0.6,0.876722692395506,-21.0129798044453,0.424555901138684,4.10705013337823,0.256579389195063,0.546524437930966,0,0.652804125810141,-8.62832826210605,-0.189916847193592,2.23423435381519,0.0771309016348292,0.194173340876505,38.8
902,0,0.4,0.75,0.5,0.001,1,0.2,"relu",1,0.4,0.855416257002212,-22.6125156435541,0.363792337166498,3.14331736970625,0.200516189468906,0.49803219603215,0,0.6527602322804,-8.13414730055571,-0.0916084390693077,1.8330121169321,0.0711678170283674,0.196681047563156,37.4
325,0,0.6,0.5,0,0.002,2,0.1,"relu",1,0.2,0.883818440149781,-20.5375460928413,0.442037562716839,4.28001453862631,0.267165033832448,0.556995644707454,0,0.652604292303383,-8.84626339395796,-0.313236743213136,2.13643174205451,0.0862518338240455,0.205824038975484,38.2
95,0.4,1,0,0.75,0.002,2,0.2,"relu",0.3,0.4,0.880973806624685,-21.0327854369091,0.427227091700951,4.01949391854176,0.265958744429639,0.551660466009046,0,0.652602385776564,-8.72340714825331,-0.237976658689356,2.00078276801848,0.0889864624009742,0.197118019734871,37.8
16,0.8,0.8,0.5,0.75,0.002,2,0.1,"relu",0.6,0.5,0.878755795298721,-20.8307879266741,0.43056244119109,4.13960975318676,0.264070342792178,0.546490675212344,0,0.652490123724108,-8.93386964709823,-0.369822338354638,2.41649946137856,0.0856525206361087,0.203338128960236,38.6
553,0.6,0.6,1,0.5,0.002,2,0.2,"relu",0.9,0,0.848152336294372,-22.8639388794364,0.35456360542908,3.06994749979836,0.201207412261939,0.482073027116512,0,0.652488572249398,-8.28216219226824,-0.120445341910258,2.02610095628215,0.0746389417561049,0.195931584406331,37.6
74,0.8,0,1,0.75,0.002,1,0.2,"relu",0.2,0.9,0.869378075086853,-21.6751305237335,0.400835419451187,3.6626369844543,0.233381965001571,0.525587441183852,0,0.652450083689357,-8.48180893317108,-0.183241645897976,1.96401380072728,0.0754668766078093,0.196925719498655,35.6
195,0.4,0.4,0.5,1,0.001,2,0.1,"relu",0.2,0.7,0.85507634822508,-22.6909603480963,0.360502032656818,3.15249994488059,0.204734945012732,0.498599581072084,0,0.652251229622712,-8.32932793141181,-0.128192430702932,1.74773707940001,0.072750863070729,0.19216557577403,35.8
94,0.2,0,0,0.5,0.001,1,0.1,"relu",1,0.7,0.896573160109473,-19.6496925248304,0.475198415752356,5.11844456256192,0.296742139356135,0.592164218641939,0,0.652092099923199,-9.21149141049179,-0.526286908385538,2.07294933324542,0.0864455650475388,0.194171699056096,38
619,0,0.2,0.75,0,0.002,2,0.1,"relu",0.9,0.7,0.882026023217616,-20.6335324841404,0.438362186947887,4.22249998848863,0.262940641036115,0.553691963765881,0,0.652022683149115,-8.93662871794354,-0.379667002728388,2.13362562258564,0.0878251829610714,0.207099387261873,38.2
501,1,0.6,0.5,0,0.002,1,0.2,"relu",0.1,0.5,0.870684476489819,-21.604862012952,0.403029832508973,3.62259330433003,0.234452923365779,0.52523076943899,0,0.651962613588177,-8.47307204562724,-0.214930610135196,1.92189346054334,0.0788058532240368,0.201796800958883,37.2
770,0.2,0.2,0.25,1,0.001,2,0.1,"relu",0.7,0.1,0.859407619497379,-22.4091223173502,0.371120575172605,3.26171075471511,0.212696304341727,0.510215437426075,0,0.651929600311359,-8.2718514528832,-0.118020151963708,1.75195903700984,0.0778629466582887,0.19407101447851,38.4
664,1,0.4,0.75,0.5,0.002,1,0.1,"relu",0.9,0.6,0.892073897428993,-19.7935661412425,0.469005414372834,5.00054732439716,0.292556106728542,0.577572328934213,0,0.651869494846202,-9.18887371062014,-0.513975832541089,2.1857868137673,0.0854992892360701,0.197521270128886,35
21,0.8,0,0.5,0,0.002,2,0.2,"relu",0.2,0.6,0.841886068084222,-23.1802854031519,0.342220453920284,2.95382281614512,0.192623510040397,0.471282310203655,0,0.65186224827969,-8.29666115758839,-0.138670096744242,1.70920662429068,0.0711871363875036,0.195941181714282,39
64,0.4,0.8,0.25,0.25,0.002,2,0.1,"relu",0.8,0.9,0.872905435016917,-21.185929367349,0.416929797407063,3.90866350864278,0.25185484762497,0.533630292418886,0,0.651770689264339,-8.73034008895868,-0.304418142759275,2.47437472591721,0.0814437822704194,0.197110306068053,38.8
723,0,0.2,1,0,0.002,1,0.2,"relu",0.7,0.1,0.879971882491079,-21.0982142408374,0.422267920604665,3.82502228226273,0.238352675681755,0.544748964541494,0,0.65173733930257,-8.47972543733556,-0.204305771124503,1.92214184017377,0.0777620437822387,0.206819722832643,36.2
100,1,0.8,0.75,1,0.002,1,0.2,"relu",0.7,0,0.886653585694507,-20.7970015104414,0.433174464605468,3.96435484995873,0.255227036791794,0.557925624430578,0,0.651669051910861,-8.73757896697149,-0.298930099635359,1.8886737617688,0.0776639289358621,0.198341073900789,39.6
940,0.6,1,0.5,0.5,0.002,2,0.2,"relu",0.4,0,0.843525710786982,-23.1036803502758,0.344969551608775,2.94784829038519,0.193006245060925,0.472998059970285,0,0.651652883896329,-8.2465621407878,-0.11279383572522,1.69942159004444,0.0690485594637642,0.194041136666385,36.2
644,0.2,0.6,0.5,0.5,0.002,1,0.2,"relu",0.9,0.5,0.876441289555152,-21.2574376601187,0.416021768377769,3.80912773688972,0.242280806712269,0.540026912475101,0,0.65163065775479,-8.56292802933399,-0.216466165354091,1.92841087969709,0.078373942225066,0.1965295197138,35.4
606,0,0.4,1,0.25,0.002,2,0.2,"relu",0.7,0.1,0.856572246088027,-22.4469211034958,0.369653091796512,3.12152249478837,0.204550464784876,0.496221618300353,0,0.651622100538459,-8.38385573557191,-0.172353319602576,1.93408740908135,0.07699905506586,0.200744690125405,36.4
852,0,0,1,0,0.002,1,0.2,"relu",0.8,0.5,0.884205751165218,-20.7362625316797,0.4353192542583,4.09623321014323,0.248786762287415,0.556969581392692,0,0.65148964063503,-8.7370639926493,-0.291618587276023,2.00427085424007,0.0792288315432822,0.197565960957453,37.4
331,0.8,0.8,1,1,0.002,2,0.1,"relu",0.8,0.3,0.881834701658061,-20.8016641344269,0.432153663193256,4.06241279103496,0.259852743860339,0.553333973564925,0,0.65139347233113,-8.7667649603042,-0.31871213088048,2.00852810442397,0.0810249145633643,0.194791391064337,38.2
201,0.4,0.2,1,0,0.002,2,0.2,"relu",1,0.9,0.845076427872267,-23.0075493325896,0.348741117947765,2.99303109647531,0.195479821977043,0.475680834062925,0,0.651364216300773,-8.28406195235366,-0.158571343876737,1.72869612035956,0.0704446784345642,0.19680404814149,37.6
362,0.6,0.8,0.75,0.75,0.001,1,0.2,"relu",0.8,0.7,0.848539545575746,-22.9917553222682,0.348874846406274,3.00578968148664,0.194805998011623,0.485827165971015,0.2,0.651301481326989,-8.0844562622387,-0.0662538870503858,1.73920488515288,0.0717766493165437,0.199866699682553,38.2
43,0.4,1,0.75,0,0.002,2,0.1,"relu",0.2,0.4,0.865225515330959,-21.6452218166859,0.399973393746307,3.73656892432819,0.237845492320204,0.51982235014538,0,0.651259427883069,-8.67243639821631,-0.26272267807057,2.34674312133196,0.0751417451543754,0.192821967336374,37.8
581,0.8,0.4,0.25,0.75,0.002,2,0.2,"relu",0.7,0.4,0.857745492185711,-22.5000363707893,0.367374590686837,3.13752659593979,0.206696184522579,0.501246440885443,0,0.651094846941514,-8.20496165946859,-0.111218441369111,1.9758751129832,0.0725351674414217,0.19392190388179,39.4
65,0.6,0.4,0.5,0.5,0.002,1,0.2,"relu",0.6,0.3,0.868436630648017,-21.7200095733507,0.398177975553608,3.55199371341709,0.232841959534172,0.522455712546666,0,0.65103631647138,-8.41382490708003,-0.169886479399923,1.71028838509972,0.0764437719707727,0.196419641325107,37.6
235,0.6,1,0.75,0.75,0.001,1,0.2,"relu",0.4,0.6,0.850927910096157,-22.7854911964563,0.356321284081205,3.06524233654322,0.200677227998419,0.489627594515056,0,0.650974786876668,-8.18400778692453,-0.109091273178198,1.89266564070283,0.0724095007534177,0.198917716438404,39.6
560,0,0.2,0.5,1,0.002,2,0.1,"relu",0.4,0.9,0.896322342448449,-19.8550301779536,0.466574001367259,4.56862140384423,0.284477406785492,0.585221672217442,0,0.650894395600604,-9.02657583897044,-0.405314115077769,2.40833140400002,0.0876863830981014,0.194701002833525,40
955,0,0,0.25,0.5,0.001,2,0.1,"relu",0.3,0,0.845279421664157,-22.9244270568319,0.350589443158053,3.09260413846762,0.198314436238574,0.482769982007262,0,0.650858342706226,-8.22716210855784,-0.115978653048056,1.81116375401795,0.0751707543934308,0.199533845697675,39.2
144,1,0.6,0.75,0,0.001,1,0.1,"relu",0.8,0.6,0.872035504850123,-21.2275905230517,0.414457151414925,3.92085871407897,0.247435921413478,0.536542885017016,0,0.650783299835527,-8.68465328994037,-0.230506638335644,2.05948045781824,0.0812141525836564,0.202084624964877,38.6
170,0.8,0.2,0.25,0,0.002,1,0.2,"relu",0.9,0.2,0.870926388076296,-21.5619520307999,0.404470247049645,3.65172451507635,0.235321391967353,0.528225314385549,0,0.650760684555412,-8.59063958586851,-0.238577402989926,1.96882183411806,0.078515794437938,0.201178645673889,38.2
533,1,0.4,1,1,0.002,1,0.2,"relu",1,0.8,0.880450655893653,-21.1010253546177,0.421797684191112,3.96395925035454,0.244769145226318,0.549086474493728,0,0.650758168654815,-8.51657090605336,-0.233965696168219,1.93489135665661,0.0732066366264169,0.19316156337712,36.8
