"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
286,0.6,0.4,0.5,0.5,0.001,1,0.1,"relu",0.2,0.4,0.88824117164936,-26.7836074674089,0.526744274034526,3.12698455499406,0.371675744679097,0.650706925004573,0,0.665978014301224,-12.4004522828964,-0.396801206138959,1.67432141658344,0.130531259294528,0.251822453876851,6.4
15,0.4,0,1,0.5,0.001,1,0.2,"relu",1,0.2,0.861660989990551,-29.9210156306903,0.446990769781811,2.48858051807892,0.295925390672271,0.599225219279885,0,0.665623462944968,-11.1340390434459,-0.0291868904243772,1.54237338616627,0.117339406069577,0.263136937483829,8.2
651,0,0.6,1,0.75,0.002,2,0.2,"relu",0.7,0.4,0.850573631360771,-30.4792593975732,0.429961423123937,2.37715367847037,0.280450196661206,0.582901502012673,0,0.663818572534472,-11.2999654426559,-0.0722357995743278,1.46443815255512,0.109079240144811,0.247280501011927,8
18,0.6,1,1,0,0.002,2,0.2,"relu",0.9,0,0.851508876087557,-30.5864112311133,0.427851108547761,2.33330978028206,0.282636328899571,0.580298075558098,0,0.661416026487957,-11.3406421978964,-0.0852257164018876,1.5030178287431,0.109999645842503,0.252716121779415,8.4
563,0.2,0.6,0.5,0.25,0.001,2,0.1,"relu",0.6,0,0.857232724270339,-29.8250804921847,0.448169131587293,2.53374178122512,0.305694587981251,0.595043154622641,0,0.661405220379538,-11.6209704721395,-0.145937993635016,1.53157051090562,0.117196172057956,0.247154054413268,7.2
284,0.8,0.4,0.75,0.25,0.001,1,0.2,"relu",0.7,0.3,0.859414671489384,-30.0025933371222,0.443407950686881,2.45593169696355,0.294087397349001,0.595954565641909,0,0.66134640729483,-11.3088511898832,-0.0573949795603677,1.51079127610087,0.111409937728174,0.24962503398541,8.8
426,0.4,0,0.25,1,0.001,2,0.1,"relu",0.6,0,0.870903711685517,-28.7204027425001,0.476896983787702,2.69934311058215,0.324760895047105,0.619809885062217,0,0.661164337876294,-11.6796418458552,-0.174119673550347,1.54417443574557,0.122976441882098,0.245109371862512,8.2
154,0,0,0.75,0,0.001,1,0.2,"relu",0.4,0,0.86807745602348,-29.272910061989,0.46298601985742,2.5551042282965,0.307167005939743,0.613008635745573,0,0.659192736295784,-11.2757325901914,-0.0749894157816452,1.49825376863035,0.113335434170712,0.252486774647705,7.4
494,0.4,0.8,1,0.5,0.001,1,0.2,"relu",0.8,0.8,0.856744472161553,-30.1847707562892,0.439471892445623,2.45079347260794,0.290360682295212,0.592084252180198,0,0.658838454475177,-11.285095075248,-0.0642909530447708,1.50287651139141,0.115159937040522,0.25199458837505,7.6
21,0.8,0,0.5,0,0.002,2,0.2,"relu",0.2,0.6,0.854062822350569,-30.3111720442388,0.434739896930499,2.41869322942923,0.288310526313827,0.585086007041484,0,0.658541122252759,-11.2034065324305,-0.0476089534892856,1.65425882179306,0.107148859884013,0.246348227953738,8.4
