UTM_E,UTM_N
559380,4908110
567429,4904826
559069,4906844
568830,4905948
562060,4898855
566409,4905644
561772,4899699
561523,4898458
560727,4904273
559836,4897180
568424,4905487
565954,4904963
562682,4901132
566740,4904503
565612,4903947
559531,4905949
557638,4905945
565031,4904352
564607,4903596
561269,4904331
559905,4904157
564142,4900864
563239,4900683
561506,4903045
565879,4903183
560966,4899982
562804,4900021
562363,4899611
560528,4899462
562481,4902252
559781,4899188
555665,4898922
559007,4898550
557449,4898230
556932,4896401
557647,4896180
556046,4895953
558513,4895962
557910,4895668
555122,4899228
556312,4894446
562145,4894663
562541,4893290
561397,4893019
564488,4892832
556854,4891361
559534,4891481
557737,4891311
558826,4891351
565581,4892903
563893,4892954
564342,4896049
565592,4895774
567374,4899019
567367,4898518
567339,4895095
567977,4899592
561071,4897180
569855,4894866
569577,4895393
567092,4898047
567001,4902618
568792,4903058
568200,4903500
563836,4899195
565355,4900444
566025,4900660
566147,4901320
565090,4901358
570775,4896043
570483,4895464
561664,4897213
562273,4896274
563178,4896142
561155,4895781
562725,4897644
562042,4895853
561600,4895723
562701,4895822
564870,4898229
564813,4899999
563839,4897717
564940,4900934
567031,4899518
567939,4902193
567990,4900501
560272,4896225
