UTM_E,UTM_N
564940,4900934
565090,4901358
565355,4900444
566025,4900660
566147,4901320
564488,4892832
562541,4893290
562145,4894663
563893,4892954
561397,4893019
559534,4891481
558826,4891351
557737,4891311
556854,4891361
560272,4896225
565581,4892903
563836,4899195
561664,4897213
567374,4899019
567977,4899592
567990,4900501
567001,4902618
567939,4902193
568200,4903500
568792,4903058
564813,4899999
564870,4898229
567367,4898518
567031,4899518
565954,4904963
566409,4905644
564607,4903596
565031,4904352
568830,4905948
567429,4904826
568424,4905487
565612,4903947
566740,4904503
565879,4903183
564142,4900864
567092,4898047
570775,4896043
570483,4895464
569855,4894866
569577,4895393
563839,4897717
562725,4897644
557449,4898230
555665,4898922
555122,4899228
559836,4897180
561523,4898458
562060,4898855
561772,4899699
562363,4899611
562804,4900021
563239,4900683
561071,4897180
562273,4896274
561155,4895781
562701,4895822
561600,4895723
563178,4896142
562042,4895853
565592,4895774
564342,4896049
567339,4895095
559380,4908110
557638,4905945
559531,4905949
559069,4906844
559905,4904157
560727,4904273
561269,4904331
561506,4903045
562481,4902252
562682,4901132
557647,4896180
556932,4896401
556312,4894446
556046,4895953
558513,4895962
557910,4895668
559781,4899188
559007,4898550
560528,4899462
560966,4899982
