"cor", "rowname", "colname", "spp1", "spp2"
-0.550475687215752, "221", "4", "R1778_88__Insecta_Lepidoptera_Noctuidae_Diarsia_Diarsia_esurialis_BOLD_ABX6710_size.165", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.529631817234387, "84", "4", "R843_71__Insecta_Hymenoptera_Ichneumonidae_Xylophrurus_Xylophrurus_fasciatus_BOLD_AAG8236_size.10", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.508216261424844, "78", "4", "R1445_70__Insecta_Coleoptera_BOLD_ACT4370_size.16", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.503407322153671, "388", "4", "R2493_7__Insecta_Lepidoptera_Crambidae_Eudonia_NA_BOLD_AAE4522_size.106", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.495277258063025, "784", "4", "R821_88__Insecta_Lepidoptera_Pyralidae_Honora_Honora_mellinella_BOLD_ACJ4618_size.4", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.494996194037864, "794", "4", "R3143_16__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACT6205_size.14", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.483519275237298, "433", "4", "R1647_110__Insecta_Lepidoptera_Crambidae_Catoptria_Catoptria_oregonicus_BOLD_ACE2907_size.186", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.483330216055168, "663", "4", "R3136_35__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_ACD1255_size.4", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.477781952871395, "633", "4", "R432_72__Insecta_Diptera_Asilidae_Laphria_Laphria_sadales_BOLD_AAH2346_size.25", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
-0.47753473467907, "760", "4", "R1811_66__Insecta_Coleoptera_Elateridae_Athous_Athous_vittiger_BOLD_AAP7797_size.16", "R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247"
0.874998651223046, "210", "206", "R911_126__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACI7290_size.20", "R2220_96__Insecta_Diptera_Chironomidae_NA_NA_BOLD_AAN5311_size.57"
0.875664898420945, "519", "518", "R1399_118__Insecta_Hymenoptera_Ichneumonidae_Euceros_NA_BOLD_ABZ1521_size.8", "R1510_145__Insecta_Diptera_Anthomyiidae_Delia_Delia_albula_BOLD_AAP8834_size.16"
0.87641738840964, "812", "803", "R1630_46__Insecta_Diptera_Tachinidae_Lixophaga_sp_BOLD_ACU4625_size.10", "R1_54__Insecta_Lepidoptera_Noctuidae_Syngrapha_Syngrapha_celsa_BOLD_ABY6570_size.33"
0.876442897962509, "315", "627", "R3334_10__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE1293_size.2", "R3136_35__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_ACD1255_size.4"
0.88090527097221, "520", "518", "R1497_175__Insecta_Hymenoptera_Ichneumonidae_Helcostizus_sp_BOLD_ACI8855_size.12", "R1510_145__Insecta_Diptera_Anthomyiidae_Delia_Delia_albula_BOLD_AAP8834_size.16"
0.881803738318049, "792", "535", "R2533_25__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_AAP6400_size.12", "R5936_6__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACB7604_size.18"
0.884958343014781, "262", "728", "R1513_114__Insecta_Diptera_Sciaridae_Bradysia_Bradysia_placida_BOLD_ACR4350_size.36", "R2235_49__Insecta_Diptera_BOLD_ABA5305_size.56"
0.888776557155191, "519", "520", "R1399_118__Insecta_Hymenoptera_Ichneumonidae_Euceros_NA_BOLD_ABZ1521_size.8", "R1717_125__Insecta_Hymenoptera_Formicidae_Camponotus_NA_BOLD_ACU6885_size.12"
0.889346003167915, "298", "278", "R3379_24__Insecta_Hemiptera_Miridae_Dichaetocoris_sp_BOLD_AAE7491_size.17", "R49_138__Insecta_Diptera_Bombyliidae_Anthrax_sp_BOLD_ABZ2018_size.109"
0.896874009783905, "110", "107", "R943__Insecta_Psocodea_Dasydemellidae_Teliapsocus_Teliapsocus_conterminus_BOLD_AAP4627_size.2060", "R1011_2__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_Pristoceuthophilus_cercalis_BOLD_AAG2718_size.2593"
