"cor", "rowname", "colname", "spp1", "spp2"
-0.559724338852123, "411", "125", "R2712_33__Arachnida_Araneae_Gnaphosidae_Sergiolus_sp_BOLD_AAP4007_size.116", "R911_126__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACI7290_size.20"
-0.536061006854584, "134", "411", "R1667__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_ACX1094_size.5909", "R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871"
-0.532009315091521, "411", "508", "R2712_33__Arachnida_Araneae_Gnaphosidae_Sergiolus_sp_BOLD_AAP4007_size.116", "R1261_90__Insecta_Coleoptera_NA_NA_sp_BOLD_AAY8856_size.240"
-0.530311198616588, "660", "411", "R1065_42__Insecta_Lepidoptera_Gelechiidae_Chionodes_Chionodes_obscurusella_BOLD_AAA4439_size.9", "R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871"
-0.526636189576658, "532", "411", "R1373_108__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ADC1777_size.55", "R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871"
-0.516782355822856, "197", "463", "R1976_21__Insecta_Diptera_Anthomyiidae_NA_NA_BOLD_ACC2962_size.581", "R872_44__Insecta_Coleoptera_Tenebrionidae_Pseudocistela_Pseudocistela_pinguis_BOLD_ACI9140_size.113"
-0.515566707157703, "411", "689", "R2712_33__Arachnida_Araneae_Gnaphosidae_Sergiolus_sp_BOLD_AAP4007_size.116", "R1882_75__Insecta_Lepidoptera_Gelechiidae_Monochroa_sp_BOLD_ACA7615_size.58"
-0.512904595877176, "608", "411", "R1702_54__Insecta_Hymenoptera_Ichneumonidae_Bathythrix_Bathythrix_fragilis_BOLD_AAQ2908_size.29", "R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871"
-0.51177679011409, "411", "147", "R2712_33__Arachnida_Araneae_Gnaphosidae_Sergiolus_sp_BOLD_AAP4007_size.116", "R1182_210__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ADQ9158_size.64"
-0.508287897843853, "710", "411", "R2632_47__Insecta_Diptera_Muscidae_Hebecnema_sp_BOLD_ABA0532_size.217", "R1665_20__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_AAI8832_size.871"
0.87297954720941, "57", "481", "R1105_28__Insecta_Diptera_Therevidae_Thereva_sp_BOLD_AAP6533_size.16", "R2426_3__Insecta_Hymenoptera_Ichneumonidae_Ophion_NA_BOLD_AAG8110_size.22"
0.873398545711105, "311", "164", "R1229_11__Insecta_Lepidoptera_Geometridae_Xanthorhoe_Xanthorhoe_macdunnoughi_BOLD_AAA4416_size.124", "R905_109__Insecta_Diptera_Hybotidae_NA_NA_BOLD_ACZ0135_size.13"
0.874009533684273, "598", "335", "R5957_6__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACX8043_size.5", "R1662_12__Insecta_Lepidoptera_Geometridae_Eupithecia_Eupithecia_maestosa_BOLD_AAA7998_size.317"
0.880789704635745, "787", "343", "R3647_10__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_conjunctus_BOLD_AAG0897_size.7", "R4115__Insecta_Coleoptera_BOLD_ACG3777_size.859"
0.885754910210015, "311", "819", "R1229_11__Insecta_Lepidoptera_Geometridae_Xanthorhoe_Xanthorhoe_macdunnoughi_BOLD_AAA4416_size.124", "R1241_60__Insecta_Diptera_Pipunculidae_Cephalops_NA_BOLD_AAG1658_size.13"
0.887037718597059, "774", "481", "R2024_28__Insecta_Diptera_Calliphoridae_Melanodexia_sp_BOLD_ADK9028_size.123", "R2426_3__Insecta_Hymenoptera_Ichneumonidae_Ophion_NA_BOLD_AAG8110_size.22"
0.89029466390309, "787", "786", "R3647_10__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_conjunctus_BOLD_AAG0897_size.7", "R1476_46__Insecta_Diptera_Xylophagidae_NA_sp_BOLD_AAP8015_size.30"
0.891717169494646, "819", "164", "R831_54__Insecta_Diptera_BOLD_ABX2860_size.19", "R905_109__Insecta_Diptera_Hybotidae_NA_NA_BOLD_ACZ0135_size.13"
0.894073524705936, "787", "552", "R3647_10__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_conjunctus_BOLD_AAG0897_size.7", "R355_54__Insecta_Diptera_Simuliidae_Stegopterna_NA_BOLD_ABZ7375_size.9"
0.901849445672304, "835", "295", "R2238_37__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_AAQ2882_size.10", "R1396_172__Insecta_Diptera_Dolichopodidae_Medetera_NA_BOLD_ACD0799_size.24"
