"otu","order","family","genus","species"
"R200_218__Insecta_Diptera_Syrphidae_Blera_Blera_scitula_BOLD_ABY7981_size.595","Diptera","Syrphidae","Blera","scitula"
"R1157__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_ACX1094_size.7106","Diptera","Rhagionidae","NA","NA"
"R1__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_maculata_BOLD_AAB6388_size.104247","Hymenoptera","Vespidae","Dolichovespula","maculata"
"R588_218__Insecta_Diptera_Rhagionidae_Symphoromyia_sp_BOLD_AAP9925_size.163","Diptera","Rhagionidae","Symphoromyia","NA"
"R1063_28__Insecta_Diptera_Rhagionidae_Symphoromyia_sp_BOLD_AAP6399_size.99","Diptera","Rhagionidae","Symphoromyia","NA"
"R1411_26__Insecta_Diptera_Rhagionidae_Symphoromyia_sp_BOLD_ACY3832_size.444","Diptera","Rhagionidae","Symphoromyia","NA"
"R2910_16__Insecta_Diptera_BOLD_AAH2298_size.184","Diptera","NA","NA","NA"
"R1535_6__Insecta_Hymenoptera_Vespidae_Eumenes_Eumenes_consobrinus_BOLD_AAG9053_size.2148","Hymenoptera","Vespidae","Eumenes","consobrinus"
"R2678_7__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6997_size.972","Raphidioptera","Raphidiidae","Agulla","NA"
"R3296_24__Arachnida_Araneae_Gnaphosidae_Orodrassus_Orodrassus_canadensis_BOLD_ACD2419_size.6","Araneae","Gnaphosidae","Orodrassus","canadensis"
"R1335_4__Insecta_Diptera_Syrphidae_Milesia_Milesia_pulchra_BOLD_AAY9056_size.32780","Diptera","Syrphidae","Milesia","pulchra"
"R829_203__Insecta_Diptera_Asilidae_Coleomyia_sp_BOLD_ABV9527_size.217","Diptera","Asilidae","Coleomyia","NA"
"R943__Insecta_Psocodea_Dasydemellidae_Teliapsocus_Teliapsocus_conterminus_BOLD_AAP4627_size.2060","Psocodea","Dasydemellidae","Teliapsocus","conterminus"
"R2227_16__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_ACU3161_size.231","Diptera","Rhagionidae","NA","NA"
"R1_12__Insecta_Diptera_Asilidae_Nevadasilus_sp_BOLD_AAH2298_size.1262","Diptera","Asilidae","Nevadasilus","NA"
"R1612_25__Insecta_Diptera_Muscidae_Phaonia_Phaonia_nigricauda_BOLD_AAP6480_size.789","Diptera","Muscidae","Phaonia","nigricauda"
"R2617_70__Insecta_Diptera_Piophilidae_Mycetaulus_sp_BOLD_AAP6246_size.53","Diptera","Piophilidae","Mycetaulus","NA"
"R1104_210__Insecta_Diptera_Simuliidae_Prosimulium_NA_BOLD_AAA1296_size.19","Diptera","Simuliidae","Prosimulium","NA"
"R2818_9__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACI9191_size.1172","Hymenoptera","Ichneumonidae","NA","NA"
"R829_72__Arachnida_Araneae_Philodromidae_Philodromus_Philodromus_oneida_BOLD_AAN9004_size.28","Araneae","Philodromidae","Philodromus","oneida"
"R2703_26__Insecta_Coleoptera_Elateridae_Hemicrepidius_sp_BOLD_ACJ3091_size.132","Coleoptera","Elateridae","Hemicrepidius","NA"
"R2901_6__Insecta_Coleoptera_Scraptiidae_Anaspis_Anaspis_rufa_BOLD_AAP7041_size.871","Coleoptera","Scraptiidae","Anaspis","rufa"
"R1435_81__Insecta_Hemiptera_BOLD_AAZ3083_size.90","Hemiptera","NA","NA","NA"
"R895__Insecta_Diptera_Syrphidae_Parasyrphus_Parasyrphus_relictus_BOLD_AAL3233_size.790","Diptera","Syrphidae","Parasyrphus","relictus"
"R2173_35__Arachnida_Araneae_Clubionidae_Clubiona_sp_BOLD_AAB2563_size.127","Araneae","Clubionidae","Clubiona","NA"
"R2486_41__Insecta_Hemiptera_Aphididae_Cinara_Cinara_occidentalis_BOLD_ADA7334_size.6","Hemiptera","Aphididae","Cinara","occidentalis"
"R1884_64__Insecta_Hemiptera_Miridae_NA_NA_BOLD_ACC4475_size.89","Hemiptera","Miridae","NA","NA"
"R1213_204__Insecta_Hymenoptera_BOLD_ABX5312_size.9","Hymenoptera","NA","NA","NA"
"R1821_9__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAM6113_size.145","Diptera","Cecidomyiidae","NA","NA"
"R3149_11__Insecta_Diptera_Piophilidae_Mycetaulus_sp_BOLD_AAP7658_size.26","Diptera","Piophilidae","Mycetaulus","NA"
"R4111_5__Insecta_Coleoptera_Elateridae_Pseudanostirus_Pseudanostirus_propolus_BOLD_ACG1380_size.63","Coleoptera","Elateridae","Pseudanostirus","propolus"
"R1101__Insecta_Coleoptera_Cerambycidae_Pidonia_Pidonia_scripta_BOLD_AAD6095_size.66","Coleoptera","Cerambycidae","Pidonia","scripta"
"R1344_141__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_ACX1094_size.39","Diptera","Rhagionidae","NA","NA"
"R2766_10__Insecta_Hymenoptera_Ichneumonidae_Ichneumon_Ichneumon_memorator_BOLD_ACE4814_size.127","Hymenoptera","Ichneumonidae","Ichneumon","memorator"
"R1667__Insecta_Diptera_Rhagionidae_NA_sp_BOLD_ACX1094_size.5909","Diptera","Rhagionidae","NA","NA"
"R2343_26__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_discretus_BOLD_ABZ0149_size.1441","Neuroptera","Hemerobiidae","Hemerobius","discretus"
"R2909_35__Insecta_Hymenoptera_Formicidae_Formica_Formica_pacifica_BOLD_AAI5674_size.68","Hymenoptera","Formicidae","Formica","pacifica"
"R395_219__Insecta_Diptera_Heleomyzidae_Suillia_sp_BOLD_ACD3130_size.273","Diptera","Heleomyzidae","Suillia","NA"
"R2265__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_ABW9771_size.575","Diptera","Mycetophilidae","Cordyla","NA"
"R687_218__Insecta_Hemiptera_Aphididae_NA_NA_BOLD_ACU7326_size.113","Hemiptera","Aphididae","NA","NA"
"R2457_7__Insecta_Diptera_Mycetophilidae_NA_sp_BOLD_ACS9352_size.641","Diptera","Mycetophilidae","NA","NA"
"R4285_18__Insecta_Hemiptera_Cicadellidae_NA_NA_BOLD_ACU7499_size.71","Hemiptera","Cicadellidae","NA","NA"
"R1141_209__Insecta_Psocodea_Caeciliusidae_Valenzuela_NA_BOLD_AAP4636_size.27","Psocodea","Caeciliusidae","Valenzuela","NA"
"R1623_131__Insecta_Diptera_Keroplatidae_NA_sp_BOLD_ACI9068_size.197","Diptera","Keroplatidae","NA","NA"
"R1168_208__Insecta_Hemiptera_Cicadellidae_Empoasca_sp_BOLD_AAN5445_size.46","Hemiptera","Cicadellidae","Empoasca","NA"
"R1975_31__Insecta_Psocodea_Lachesillidae_Lachesilla_NA_BOLD_ACB8951_size.6","Psocodea","Lachesillidae","Lachesilla","NA"
"R1243_204__Insecta_Hymenoptera_Pteromalidae_NA_sp_BOLD_ACJ0781_size.29","Hymenoptera","Pteromalidae","NA","NA"
"R1849_144__Insecta_Diptera_BOLD_ACI9068_size.9","Diptera","NA","NA","NA"
"R1972_80__Insecta_Hymenoptera_Diapriidae_NA_NA_BOLD_ACI9478_size.28","Hymenoptera","Diapriidae","NA","NA"
"R113_12__Insecta_Coleoptera_Curculionidae_NA_NA_BOLD_ADQ7967_size.9","Coleoptera","Curculionidae","NA","NA"
"R3179_24__Insecta_Diptera_Mycetophilidae_Novakia_sp_BOLD_ADD0679_size.4","Diptera","Mycetophilidae","Novakia","NA"
"R1032__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_arenaria_BOLD_AAC0675_size.41572","Hymenoptera","Vespidae","Dolichovespula","arenaria"
"R603_18__Insecta_Diptera_Tabanidae_Hybomitra_Hybomitra_rhombica_BOLD_AAG4571_size.6761","Diptera","Tabanidae","Hybomitra","rhombica"
"R100_2__Insecta_Coleoptera_Cerambycidae_Leptura_Leptura_obliterata_BOLD_AAG5563_size.14703","Coleoptera","Cerambycidae","Leptura","obliterata"
"R2074_10__Insecta_Hymenoptera_Apidae_Bombus_Bombus_sitkensis_BOLD_ACU8557_size.539","Hymenoptera","Apidae","Bombus","sitkensis"
"R1468_10__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE8616_size.343","Hymenoptera","Ichneumonidae","NA","NA"
"R1585_176__Insecta_Coleoptera_Cerambycidae_Xestoleptura_sp_BOLD_AAB9227_size.224","Coleoptera","Cerambycidae","Xestoleptura","NA"
"R886__Insecta_Lepidoptera_Geometridae_Ceratodalia_Ceratodalia_gueneata_BOLD_AAA5705_size.9756","Lepidoptera","Geometridae","Ceratodalia","gueneata"
"R2462_11__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACF5187_size.75","Hymenoptera","Ichneumonidae","NA","NA"
"R1357_194__Insecta_Diptera_Dryomyzidae_Paradryomyza_Paradryomyza_setosa_BOLD_AAI6087_size.54","Diptera","Dryomyzidae","Paradryomyza","setosa"
"R931_71__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABY7035_size.185","Hymenoptera","Ichneumonidae","NA","NA"
"R2105__Insecta_Diptera_Limoniidae_NA_NA_BOLD_AAV1806_size.119","Diptera","Limoniidae","NA","NA"
"R2576_2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACJ0826_size.884","Diptera","Keroplatidae","NA","NA"
"R447__Insecta_Diptera_Mycetophilidae_Mycomya_sp_BOLD_ACJ6978_size.57","Diptera","Mycetophilidae","Mycomya","NA"
